430,syr. 434,syr. 611,syr. 612
ܥܠܒܫ̈ܢܝܐܘܒܛܠܡܕܥܗ܂ܘܫܪܝܫܛܘܪܐܡܒܕܕܩܢܝܘܬܝܘܡܙܘܢܝܘܡܚܐ,,ܐܒܝܣܐܒܠܗ܂ܘܐܗܦܟܗܪܥܝܢܗ܂ܘܐܩܦܢܕܢܒܪܝܥܠ,ܐܒܝܣܐܒܠܗ܂ܘܐܗܦܟܗܪܥܝܢܗ܂ܘܐܩܦܢܕܢܒܪܝܥܠ
,,ܢܟ̈ܣܝܘܩܢܝ̈ܢܝ܂,ܢܟܣܝ̈ܘܩܢܝܢܝ̈܂
,,ܡܒܕܪܘܠܐܚܐܣ,ܡܒܕܪܘܠܐܚܐܣ
ܥܒܕܝ̈,,ܥܒܕܝ̈,ܥܒܕܝ̈
ܘܐܡܗܬܝ܂ܘܡܙܒܢܣܘܣܝܬܝܘܟܘܕܢ̈ܘܬܝܘܟܠܡܐܕܫܦܝܪܒܥܝܢܘ̈ܗܝܥܒܕ܂ܟܕ,,ܟܫܝܪ̈ܐܘܡܢܓܕ,ܟܫܝܪ̈ܐܘܡܢܓܕ
,,ܗ̄ܘ̣ܐ,ܗ̄ܘܐ
,,ܠܗܘܢܩܕܡܝ܂ܘܐܦ,ܠܗܘܢܩܕܡܝ܂ܘܐܦ
,,ܪ̈ܓܫܝܘܟܘܕ̈ܢܝܬ݂ܝ,ܪ̈ܟܫܝܘܟܘܕܢܝܬ݂̈ܝ
,,ܡܩܛܠܘܡܙܒܢ܂ܘܟܕܕܝܢ,ܡܩܛܠܘܡܙܒܢ܂ܘܟܕܕܝܢ
ܚܙܝܬ,,ܚܙܝܬ,ܚܙܝܬ
ܗܠܝܢܘܕܠܝܬܠܗܚܘܣܢܐܥܠܡܕܡܕܩܢܐܐ̄ܢܐܘܥܠܐ̄ܢܫܝ̈ܒܝܬܝ܂,,ܗܟܢ,ܗܟܢ
,,ܥܒܝܕ̈ܬܗ܂,ܥܒܝܕܬ̈ܗ܂
ܐܡܪܬܠܗ,,ܐܡܪܬܠܗ,ܐܡܪܬܠܗ
ܠܐܬܩܪܘܒܠܩܢܝܘܬܝ܂ܘܠܐܬܥܝܩܐ̄ܢܫܝ̈ܒܝܬܝܘܥܒܕܝ̈܂ܟܡܐܕܐܝܬܝܒܚܝ̈ܐ,,ܕܠܢܟܣܝ̈ܒܪܝ,ܕܠܢܟܣܝ̈ܒܪܝ
ܠܐ,,ܠܐ,ܠܐ
,,ܬܩܪܘܒ܂ܐܡܝܪ,ܬܩܪܘܒ܂ܐܡܝܪ
,,ܒܡܬ̈ܠܐ܂,ܒܡܬܠܐ܂
,,ܕܐܝܕܐܕܠܐܩܢܝܬܥܝܢܐܠܐܚܣܬ܂,ܕܐܝܕܐܕܠܐܩܢܝܬܥܝܢܐܠܐܚܣܬ܂
,,ܘܚ̇ܘܝܬ,ܘܚܘܝܬ
,,ܐܢܝ̈ܢܗܠܝܢ,ܐܢܝ̈ܢܗܠܝܢ
,,ܠܡܪܝ,ܠܡܖܝ
,,ܡܠܟܐ܂ܘܦܩܕܕܠܐ,ܡܠܟܐ܂ܘܦܩܕܕܠܐ
ܐ̄ܢܫ,,ܐ̄ܢܫ,ܐ̄ܢܫ
