430,syr. 434,syr. 611,syr. 612
,,ܐܦܘ̈ܗܝܘܗܦܟܒܝܕܡܠܟܗܕܢܕܢܒܪܝܟܕܐܡܪܠܗ܂ܐܘܡܪܝܡܠܟܐܙܠܠܒܝܬܟܒܢܝܚܐ܂ܘܐܢܐܠܐܚܝܩܪܐܚܕܐ̄ܢܐܠܗܟܕܐܣܝܪ,ܐܦܘ̈ܗܝܘܗܦܟܒܝܕܡܠܟܗܕܢܕܢܒܪܝܟܕܐܡܪܠܗ܂ܐܘܡܪܝܡܠܟܐܙܠܠܒܝܬܟܒܢܝܚܐ܂ܘܐܢܐܠܐܚܝܩܪܐܚܕܐ̄ܢܐܠܗܟܕܐܣܝܪ
,,ܒܣܘ̈ܛܡܐ,ܒܣܘܛܡ̈ܐ
,,ܘܒܫܫ̈ܠܬܐܘܡܫܠܡܐ̄ܢܐܠܗ,ܘܒܫܫ̈ܠܬܐܘܡܫܠܡܐ̄ܢܐܠܗ
,,ܒܐܝܕ̈ܝܟ܂,ܒܐܝܕܝ̈ܟ܂
ܥܠ,,ܥܠ,ܥܠ
ܡܪܘܬܟ܂ܘܐܙܕܠܠܬܒܥܝܢܘ̈ܗܝ܂ܗܝܕܝܢܡܠܟܐ,,ܕܥܒܕܒܝܫܬܐܥܡܟ܂ܟܕ,ܕܥܒܕܒܝܫܬܐܥܡܟ܂ܟܕ
ܗܦܟ,,ܗܦܟ,ܗܦܟ
ܠܒܝܬܐܘܗܘ̤,,ܢܕܢܡܢܠܘܬܡܠܟܐ,ܢܕܢܡܢܠܘܬܡܠܟܐ
ܐܬܐܠܘܬܝܘܐܡܪ,,ܐܬܐܠܘܬܝܘܐܡܪ,ܐܬܐܠܘܬܝܘܐܡܪ
ܠܝ,,ܠܝ܂,ܠܝ܂
ܒܐܠܗܐ,,ܒܐܠܗܐ,ܒܐܠܗܐ
ܣܓܝܚܕܝܒܟܡܠܟܐܣܢܚܪܝܒܘܫܒܚܟܡܛܠ,,ܕܝܠܟܐܒܝܝܡܐܐ̄ܢܐܠܟ܂ܒܗܕܐܥܒܝܕܬܐ,ܕܝܠܟܐܒܝܝܡܐܐ̄ܢܐܠܟ܂ܒܗܕܐܥܒܝܕܬܐ
ܕܥܒܕܬ,,ܕܥܒܕܬ,ܕܥܒܕܬ܆
ܐܟܡܐܕܟܬܒܠܟܒܐܓܪܬܐ܂ܘܗܫܐܫܕܪܢܝܠܘܬܟܢܬܛܝܒܐܢܐܘܐܢ̄ܬܩܕܡܘܗܝܠܚܘܕܐܝܬ܂ܡܛܠܗܕܐܦܩܘܕܠܚܝܠܘ̈ܬܐܕܢܗܦܟܘܢܠܒܬܝ̈ܗܘܢ܂ܗܝܕܝܢܦܩܕܬܠܚܝ̈ܠܘܬܐܕܢܐܙܠ̄ܘܢܟܠܐ̄ܢܫܠܒܝܬܗܘܐܬܝܢ,,,
,,ܛܒ,
,,ܣܓܝ,ܣܓܝ
,,,ܛܒ
,,ܩܠܣܟ܂ܘܪܡܪܡܟ,
,,,ܩܠܣܟܘܪܡ̱ܪܡܟ
,,ܡܠܟܐܣܪܚܕܘܡܥܠܕܫܡܠܝܬܦܘܩܕܢܐܓܪܬܗ܂ܗܫܐܕܝܢܫܠܚܢܝܒܬܪܟܕܢܬܛܝܒ,ܡܠܟܐܣܪܚܕܘܡܥܠܕܫܡܠܝܬܦܘܩܕܢܐܓܪܬܗ܂ܗܫܐܕܝܢܫܠܚܢܝܒܬܪܟܕܢܬܛܝܒ
,,ܒܠܚܘܕ̈ܝܢܠܘܬܗ܂,ܒܠܚܘܕܝܢܠܘܬܗ܇
,,ܘܐܪܦܐܠܚܝܠܐܟܠܚܕܕܢܐܙܠܠܒܝܬܗ܂ܟܢܐܪܦܝܬ,ܘܐܪܦܐܠܚܝܠܐܟܠܚܕܕܢܐܙܠܠܒܝܬܗ܂ܟܢܐܪܦܝܬ
ܐܢܐ,,ܐܢܐ,ܐܢܐ
ܘܢܐܕܢ,,ܚܝܠܐ,ܠܚܝܠܐ
,,ܘܐܬܝܬܥܡܢܕܢ,ܘܐܬܝܬܥܡܢܕܢ
ܠܘܬ,,ܠܘܬ,ܠܘܬ
ܡܠܟܐ܆ܘܐܡܪܬܠܗܫܠܡܐ܂,,ܡܠܟܐ܂ܘܫܠܡܬܥܠܘܗܝ܂,ܡܠܟܐ܂ܘܫܠܡܬܥܠܘܗܝ܂
ܘܟܕ,,ܘܟܕ,ܘܟܕ
,,ܗܟܝܠ,
ܚܙܢܝܐܡܪ,,ܚܙܢܝܐܡܪ,ܚܙܢܝܐܡܪ
ܠܝ,,ܠܝ܂,ܠܝ܂
ܐܬܝܬ,,ܐܬܝܬ,ܐܬܝܬ
ܐܘ̇,,,
ܐܚܝܩܪ,,ܐܚܝܩܪ,
ܢܘܛܪܝܘܡܕܒܪܢܐܕܡܠܟܘܬܝ܂ܕܐܢ̄ܬܚܒܝܒܗ̄ܘܝܬܥܠܝܘܕܐܡܪܬ,,ܣܦܪܐܕܝܠܝܘܡܕܒܪ,ܣܦܪܐܕܝܠܝܘܡܕܒܪ
,,ܡܠܟܘܬܝ܂,ܒܝܬܝܘܡܠܟܘܬܝ܂
,,ܐܢ̄ܬܘܗܘܕܪܚܝܡܥܠܝ܂,ܐܢ̄ܬܘܗܘܕܪܚܝܡܥܠܝ܂
,,ܐܡ̇ܪܢܐ,ܐܡܪܐ̄ܢܐ
ܠܟܙܠ,,ܠܟܙܠ,ܠܟܙܠ
ܢܘܚܒܒܝܬܟܡܛܠܣܝܒܘܬܟ܂ܐܢ̄ܬܚܠܦܗܕܐܗܦܟܬ,,ܠܒܝܬܐ,ܠܒܝܬܟ
,,ܘܠܐܣܟܬܬܚܙܐܩܕܡܝ܂ܗܫܐܕܝܢܗܦܟܬ̤,ܘܠܐܣܟܬܬܚܙܐܩܕܡܝ܂ܗܫܐܕܝܢܗܦܟܬ̤
,,ܪܚܡ̱ܬܟ,ܪܚܡܬܟ
,,ܠܣܢܐ̱ܬܐ܂,ܠܣܢܐ̱ܬܐ܂
ܘܗܘܝܬ,,ܘܗܘܝܬ,ܘܗܘܝܬ
ܥܡ,,ܠܟܡ̣ܢ,ܠܟܡ̣ܢ
ܒܥܠܕܒܒܝ̈܂,,ܒܥܠܕܒܒ̈ܝ܂,ܒܥܠܕܒܒܝ̈܂
ܘܐܦܩܘܝܗَܒ,,ܟܢܐܦܩ,ܟܢܐܦܩ
,,ܘܝܗ̄ܒܠܝ,ܘܝܗ̄ܒ
ܠܝ,,,ܠܝ
ܐܓܪ̈ܬܐ,,ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ
ܗܢܝܢ,,ܗܢܘܢ,ܗܢܝܢ
ܕܟܬܒܢܐܕܢܡ̣ܢܦܪܨܘܦܘܕܡܝ,,ܕܢܕܢܒܪܝܟܬܒ,ܕܢܕܢܒܪܝܟܬܒ
,,ܡ̣ܢ,ܡܢ
,,ܠܫܢܝܘܐܝܟ,ܠܫܢܝܘܐܝܟ
ܟܝܪܬ,,ܟܝܪܬ,ܟܝܪܬ
ܐܝܕܗܠܕܝܠܝ܂ܘܕܚ̣ܬܝ̈ܡܢ,,ܐܝܕ̈ܝ,ܐܝܕܝ̈
,,ܕܚܬܡ,ܕܚܬܡ
,,ܗ̄ܘ̣ܐܐܢܝ̈ܢ,ܗ̄ܘܐܐܢܝܢ
ܒܚܬܡܝ܂ܘܟܕܩܪܝܬ,,ܒܚܬܡܝ܂ܘܟܕܩܪܝܬ,ܒܚܬܡܝ܂ܘܟܕܩܪܝܬ
ܐܢܝܢ,,ܐܢܝ̈ܢ,ܐܢܝܢ
ܐܬܪܗܒܬ,,ܐܬܪܗܒܬ,ܐܬܪܗܒܬ
ܘܓܪ̈ܡܝܟ݁ܠܗܘܢܐܬܦܩܥܘ܂ܘܠܫܢܝܐܬܐܣܪ܂ܘܒܥܝܬܕܐܡܠܠܚܕܐ,,ܘܦܫܬܒܪܥܠܐ,ܘܦܫܬܒܪܥܠܐ
,,ܘܕܚܠܬܐ,ܘܕܚ̱ܠܬܐ
,,ܘܐܬܐ̱ܣܪܠܫܢܝ܂ܘܟܕܨܒܝܬܠܡܡܠܠܘ,ܘܐܬܐ̱ܣܪܠܫܢܝ܂ܘܟܕܨܒܝܬܠܡܡܠܠܘ
ܡܠܬܐ,,ܡܠܬܐ,ܡܠܬܐ
ܕܚܟܡܬܐܠܐܐܬܡܨܝܬ܂ܗܝܕܝܢܦܥܪܠܝܦܘܡܗܥܠܝܢܐܕܢܘܐܡܪܦܘܩ,,ܚܕܐܡ̣ܢ,ܚܕܐܡ̣ܢ
,,ܡ̈ܠܝ,ܡܠܝ̈
,,ܚܟܡ̱̈ܬܐܘܠܐ,ܚܟܡ̱̈ܬܐܘܠܐ
,,ܐܫܟܚܬ܂,ܐܫܟܚܝܬ܂
,,ܗܝܕܝܢܐܙܥܩܥܠܝܢܕܢܘܐܡܪܠܝ܂ܐܬܦܫܚ,ܗܝܕܝܢܐܙܥܩܥܠܝܢܕܢܘܐܡܪܠܝ܂ܐܬܦܫܚ
ܡ̣ܢܩܕܡܡܠܟܐܐܘܣܒܐܣܟܠܐ,,ܡ̣ܢܩܕܡܡܠܟܐܐܘܣܒܐܣܟܠܐ,ܡ̣ܢܩܕܡܡܠܟܐܐܘܣܒܐܣܟܠܐ
ܐܘ̇ܣܒܐܒܝܫܐ܂,,ܐܘܒܝܫܓܕܐ,ܐܘܒܝܫܓܕܐ
ܘܗܒܐܝܕܝ̈ܟ,,ܘܗܒܐܝܕܝ̈ܟ,ܘܗܒܐܝܕܝ̈ܟ
ܕܢܬܐܣܪ̈ܢ܂ܘܦܩܕܘܐܝܬܝܣܘܛ̈ܡܐܘܐܣܪܕ̈ܓܠܝܘܐܪܡܝܫ̈ܫܠܬܐܒܐܝܕܝ̈܂ܘܐܦܡܠܟܐܐܗܦܟܦܪܨܘܦܗܡܢܝ܂ܘܐܬܚܡܬܛܒܘܐܡܪ,,ܐܣܘܪ̈ܐ,ܠܐܣܘܪ̈ܐ
,,ܘܪ̈ܓܠܝܟ,ܘܪ̈ܓܠܝܟ
,,ܠܣܘܛ̈ܡܐ܂ܒܬܪܟܢܡܠܟܐ,ܠܣܘܛܡ̈ܐ܂ܒܬܪܟܢ
,,ܐܦܢܝܐܦܘ̈ܗܝܡܢܝܒܚܡܬܐܕܠܐܡܬܡܠܠܐ܂ܘܦܩܕ,ܐܦܢܝܐܦܘ̈ܗܝܡܢܝܒܚܡܬܐܕܠܐܡܬܡܠܠܐ܂ܘܦܩܕ
ܠܐܣܦܘܩܠܛܪܐܕܫܡܗ,,ܠܐܣܦܘܩܠܛܪܐܕܫܡܗ,ܠܐܣܦܘܩܠܛܪܐܕܫܡܗ
ܝܒܘܣܡܝܟܡܣܟܢܝܟܬܝ܂,,ܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ,ܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ܂
,,ܘܐܡܪ܂,ܘܐܡܪ܂
ܩܘܡ,,ܩܘܡ,ܩܘܡ
ܕܒܪ,,ܣܒ,ܣܒ
ܐܚܝܩܪܘܙܠܩܛܘܠܝܗܝ܂ܘܐܪܚܩܪܫܗ,,ܐܚܝܩܪܘܙܠܩܛܘܠܝܗܝ܂ܘܐܪܚܩܪܫܗ,ܐܚܝܩܪܘܙܠܩܛܘܠܝܗܝ܂ܘܐܪܚܩܪܫܗ
ܡ̣ܢ,,ܡܢ,ܡܢ
ܫܠܕܗܡܐܐ,,ܫܠܕܗܡܐܐ,ܫܠܕܗܡܐܐ
ܐܡܝ̈ܢ܂,,ܐܡܝ̈ܢ܂,ܐܡܝܢ܂ܗܝܕܝܢ
ܗܝܕܝܢܐܢܐܐܚܝܩܪܩܒܠܬܐܪܥܐܩܕܡܡܠܟܐ,,ܗ̇ܝܕܝܢ,
,,ܣܓܕܬܠܡܠܟܐܐܢܐܐܚܝܩܪ,ܣܓܕܬܠܡܠܟܐܐܢܐܐܚܝܩܪ
ܘܐܡܪܬ,,ܘܐܡܪܬ,ܘܐܡܪܬ
ܬܚܐܡܪܝܡܠܟܐܠܥܠܡ܂ܡܟܝܠܕܦܩܕܬܒܩܛܠܝ܂ܘܬܗܘܐܢܦ̮ܫܝܚܠܦܚܝܝ̈ܟܡܘܗܒܬܐ܂,,ܠܗ܂ܬܚܐܡܪܝܡܠܟܐܠܥܠܡܕܨܒܝܬ,ܠܗ܂ܬܚܐܡܪܝܡܠܟܐܠܥܠܡܕܨܒܝܬ
,,ܩܛܠܝ,ܩܛܠܝ܇
ܒܪܡ,,,
ܚܕܐܝܕܥܢܐܕܠܝܬܠܝܚܛܝܬܐܘܠܐܣܘܪܚܢܐܡܕܡ܂ܐܠܐܚܕܐܫܐܠܢܐܡܢܟ,,ܢܗܘܐܦܘܩܕܢܟ܂ܡܛܠܕܠܝܬܠܝܣܘܪܚܢܐܐܝܟ,ܢܗܘܐܦܘܩܕܢܟ܂ܡܛܠܕܠܝܬܠܝܣܘܪܚܢܐܐܝܟ
,,ܕܝܕܥܢܐ܂,ܕܝܕܥܐ̄ܢܐ܂
,,ܒܪܡ,ܒܪܡ
,,ܡܦܝܣܢܐ,ܡܦܝܣܢܐ
,,ܡ̣ܢ,ܡܢ
ܡܪܝܡܠܟܐ,,ܡܪܝܡܠܟܐ,ܡܪܝܡܠܟܐ
ܕܒܬܪܥܐܕܒܝܬܝܬܦܩܘܕܕܢܩܛܠܢܝܘܢܬܝܗܒ,,ܕܒܬܪܥܒܝܬܝܢܗܘܐܩܛܠܝ܂ܘܐܦ,ܕܒܬܪܥܒܝܬܝܢܗܘܐܩܛܠܝ܂ܘܐܦ
ܦܓܪܝ,,ܦܓܪܝ,ܦܓܪܝ
ܠܥܒ̈ܕܝܕܢܩܒܪܘܢܗ܂,,ܢܬܝܗܒ,ܢܬܝܗܒ
,,ܠܥܒܕ̈ܝ,ܠܥܒܕܝ̈
,,ܐܝܟܕܢܩܒܪܘܢܢܝ܂,ܐܝܟܕܢܩܒܪܘܢܢܝ܂
ܗܝܕܝܢ,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
ܐܡܪܡܠܟܐܠܐܣܦܘܩܠܛܪܐܙܠ,,ܐܡܪܡܠܟܐܠܐܣܦܘܩܠܛܪܐܙܠ,ܐܡܪܡܠܟܐܠܐܣܦܘܩܠܛܪܐܙܠ
ܘܛܘܠܝܗܩܕܡܬܪܥܐܕܒܝܬܗܘܗܒ݂ܦܓ݂ܪܗܠܐ̄ܢܫܘ̈ܗܝܕܢܩܒܪܘܢܗ܂,,ܐܟܡܐܕܐܡܪܐܚܝܩܪܥܒܕܩܠܝܠܐܝܬ܂,ܐܟܡܐܕܐܡܪܐܚܝܩܪܥܒܕܩܠܝܠܐܝܬ܂
ܒܬܪ,,ܒܬܪܟܢ,ܒܬܪ
ܗܕܐܐܢܐܐܚܝܩܪܟܕܢܦܩܬ,,,ܟܢ
,,ܢܦܩܢܢ,ܢܦܩܢܢ
ܡ̣ܢܩܕܡܡܠܟܐ,,ܡ̣ܢܩܕܡܡܠܟܐ,ܡ̣ܢܩܕܡܡܠܟܐ
ܫܕܪܬܠܘܬܫܘܬܦܬܝܘܦܩܕܬ,,ܟܠܢ܂ܘܫܠܚܬ,ܟܠܢ܂ܘܫܠܚܬ
,,ܠܐܢ̄ܬ݁ܬܝ,ܠܐܢ̄ܬܬܝ
,,ܐܫܦܓܢܐܐܝܟܢܐ,ܐܫܦܓܢܐܐܝܟܢܐ
ܕܬܦܘܩܠܐܘܪܥܝ,,ܕܬܦܘܩܠܐܘܪܥܝ,ܕܬܦܘܩܠܐܘܪܥܝ
ܟܕܐܝܬܥܡܗ,,ܥܡ,ܥܡ
ܐܠܦ,,ܐܠܦ,ܐܠܦ
ܒܢܬ̈ܐܒܬ̈ܘܠܬܐ܂ܘܠܒ̈ܝܫܢܙܚܘܪ̈ܝܬܐܘܐܪ̈ܓܘܢܐ܂ܕܢܪ̈ܩܕܢ,,ܥܠܝܡ̈ܬܐ܂,ܥܠܝܡ̈ܬܐ܂
,,ܒܠܒܘܫ̈ܐ,ܒܠܒܘ̈ܫܐ
,,ܪ̈ܓܝܓܐ,ܪ̈ܓܝܓܐ
,,ܘܗܕܝܪ̈ܐ܂,ܘܗܕܝܪ̈ܐ܇
,,ܐܝܟ,ܐܝܟ
,,ܕܢܝܠܠܘܢ,ܕܢܝܠ̱ܠܘܢ
,,ܘܢܒܟܘܢ,ܘܢܒܟܘܢ
ܥܠܝܩܕܡ,,ܥܠܝܩܕܡ,ܥܠܝܩܕܡ
ܡܘܬܐ܂ܘܐܢ̄ܬܘ̄ܐܫܘܬܦܬܝܐܫܦܓܢܐܗܦܘܟܝ,,ܕܐܡܘܬ܂ܘܠܒܪܬܙܘܓܝܥܗܝܕܬܐܕܬܗܦܘܟ,ܕܐܡܘܬ܂ܘܠܒܪܬܙܘܓܝܥܗܝܕܬܐܕܬܗܦܘܟ
ܠܒܝܬܐ,,ܠܒܝܬܐ,ܠܒܝܬܐ
ܘܛܝܒܝܦܬܘܪܐܠܐܣܦܘܩܠܛܪܐܘܐܝܠܝܢܕܥܡܗ܂ܘܣܝܡܠܗܘܢܫܟܪܐܘܚܡܪ̈ܢܐܣܘܓܐܐܘܫܡܫܝܐܢܘܢ܂ܘܐܝܟܕܐܡܪܬ,,ܘܬܛܝܒܝܡܐܟܠܐܘܡܫܬܝܐܥܠܦܬܘܪ̈ܐܕܙܢܝ̈ܢܙܢܝ̈ܢ܂ܘܬܣܝܡܝܠܟܠܗܘܢ,ܘܬܛܝܒܝܡܐܟܠܐܘܡܫܬܝܐܥܠܦܬܘܪ̈ܐܕܙܢܝ̈ܢܙܢܝ̈ܢ܂ܘܬܣܝܡܝܠܟܠܗܘܢ
,,ܡܫܡܫ̈ܢܐ,ܡܫܡܫܢ̈ܐ
,,ܕܡܠܟܐܘܐܣܦܘܩܠܛܪܐܚܡܪܐܛܒܐܘܥܬܝܩܐ,ܕܡܠܟܐܘܐܣܦܘܩܠܛܪܐܚܡܪܐܛܒܐܘܥܬܝܩܐ
,,ܒܐܝܕ̈ܝܗ܂,ܒܐܝܕܝ̈ܗ܂
,,ܗܝܕܝܢܐܫܦܓܢܐܐܢ̄ܬܬܝܡܪܬܝܕܥܬܐܪܒܬܐ,ܗܝܕܝܢܐܫܦܓܢܐܐܢ̄ܬܬܝܡܪܬܝܕܥܬܐܪܒܬܐ
,,ܘܣܟܘܠܬܢܝܬܐ܂,ܘܣܟܘܠܬܢܝܬܐ܇
ܥܒܕܬ,,ܥܒܕܬ,ܥܒܕܬ
ܒܕܚܟܝܡܬܐܗ̄ܘܬܣܓܝ܂,,ܐܟܡܐ,ܐܟܡܐ
,,ܕܦܩܕܬܗ̇܂,ܕܦܩܕܬܗ܂
ܘܟܕܐܟܠܘܘܐܫܬܝܘ,,ܘܟܕܐܟܠܘܘܐܫܬܝܘ,ܘܟܕܐܟܠܘܘܐܫܬܝܘ
ܘܪܘܝܘ܂ܘܗܝܡܫܡܫܐܠܗܘܢ܂ܘܕܡܟܘܟܠܢܫܒܕܘܟܬܗ܂ܗܝܕܝܢܐܢܐ,,,ܘܪܘܝܘ
,,ܫܟܒܘ,ܫܟܒܘ
,,ܒܕܘܟܝ̈ܬܗܘܢ܂ܗ̇ܝܕܝܢ,ܒܕܘܟܝܬܗܘܢ܂ܗܝܕܝܢ
,,ܐܢܐܐܚܝܩܪ,ܐܢܐܐܚܝܩܪ
ܐܡܪܬ,,ܐܡܪܬ,ܐܡܪܬ
ܠܐܣܦܘܩܠܛܪܐ,,ܠܐܣܦܘܩܠܛܪܐ,ܠܐܣܦܘܩܠܛܪܐ
ܐܪܝܡ,,ܬܠܝ,ܬܠܝ
ܚܝܪܟ,,ܚܝܪܟ,ܚܝܪܟ
ܠܥܠܘܐܬܕܟܪ,,ܠܘܬܐܠܗܐܒܪܘܝܐ,ܠܘܬܐܠܗܐܒܪܘܝܐ
,,ܕܫܡܝܐ܂,ܕܫܡܝܐܘܕܐܪܥܐ܂
,,ܘܥܗܘܕ,ܘܥܗܘܕ
ܠܚܡܐ,,ܠܚܡܐ,ܠܚܡܐ
,,ܘܡܝ̈ܐ,
ܕܐܟܠܢܢ,,ܕܐܟܠܢܢ,ܕܐܟܠܢܢ
ܥܡܚܕܕ̈ܐ܂ܘܕܥܕܠܝܬܠܝܚܛܝܬܐܡܕܡ܆ܐܠܐܢܐܕܢܢܟܠܢܝ܂ܘܐܢ̄ܬ,,ܫܘܝܐܝܬ܂,ܫܘܝܐܝܬ܂
,,ܘܝܕܥܢܐ,ܘܝܕܥܐ̄ܢܐ
,,ܓܝܪܕܣܘܪܚܢܐܘܚܛܝܬܐܠܝܬܠܝ܂ܘܢܕܢܐܨܛܢܥܥܠܝܘܫܕܠܢܝ܂ܐܢ̄ܬܕܝܢ,ܓܝܪܕܣܘܪܚܢܐܘܚܛܝܬܐܠܝܬܠܝ܂ܘܢܕܢܐܨܛܢܥܥܠܝܘܫܕܠܢܝ܂ܐܢ̄ܬܕܝܢ
ܠܐܬܥܘܠ,,ܠܐܬܥܘܠ,ܠܐܬܥܘܠ
ܒܗܕܐܚܛܝܬܐ,,ܒܚܛܝܬܐܕܝܠܗ,ܒܚܛܝܬܐܕܝܠܗ
ܘܬܩܛܠܢܝ,,ܘܬܩܛܠܢܝ,ܘܬܩܛܠܢܝ
ܕܛܠܝܡܐ̄ܢܐ܆ܘܐܝܬܐ,,ܛܠܝܡܐܝܬ܂ܗܘܝܬܓܝܪܡܬܕܟܪܘܡܝܬܐ,ܛܠܝܡܐܝܬ܂ܗܘܝܬܓܝܪܡܬܕܟܪܘܡܝܬܐ
ܥܠܒܠܟܝܘܡܐܕܪܓܙܥܠܝܟ,,ܥܠܒܠܟܝܘܡܐܕܪܓܙܥܠܝܟ,ܥܠܒܠܟܝܘܡܐܕܪܓܙܥܠܝܟ
ܣܪܚܕܘܡ,,ܣܢܚܪܝܒ,ܣܢܚܪܝܒ
ܐܒܘܗܝ,,ܐܒܘܗܝ,ܐܒܘܗܝ
ܕܗܢܐܡܠܟܐ܂ܘܦܩܕܢܝ,,ܕܡܠܟܐ,ܕܡܠܟܐ
,,ܗܢܐ܂,ܗܢܐ܇
,,ܘܦܩܕ,ܘܦܩܕ
ܕܐܩܛܠܟ܂ܘܟܕ,,ܕܐܩܛܠܟ܂ܘܟܕ,ܕܐܩܛܠܟ܂ܘܟܕ
,,ܕܝܢ,ܕܝܢ
ܝܕܥܬܕܠܝܬܠܟ,,ܝܕܥܬܕܠܝܬܠܟ,ܝܕܥܬܕܠܝܬܠܟ
ܣܘܪܚܢܐ,,ܣܘܪܚܢ܂,ܣܘܪܚܢ܇
ܛܫܝܬܟܘܠܐ,,ܛܫܝܬܟܘܠܐ,ܛܫܝܬܟܘܠܐ
ܩܛܠܬܟ܂ܥܕܡܐ,,ܩܛܠܬܟ܂ܥܕܡܐ,ܩܛܠܬܟ܂ܥܕܡܐ
ܕܢܚ,,ܕܫܠܝ,ܕܫܠܝ
ܪܘܓܙܗ,,ܪܘܓܙܗ,ܪܘܓܙܗ
ܘܐܨܛܒܝܒܟ܂ܘܦܩܕܘܐܩܝܡܬܟܩܕܡܘܗܝ܂ܘܩܒܠܬܡܢܗ,,ܕܡܠܟܐܘܐܬܕܟܪ,ܕܡܠܟܐܘܐܬܕܟܪ
,,ܛܒܬ̈ܟ܂,ܛܒ̈ܬܟ܂
ܡܘܗ̈ܒܬܐ,,,
ܪܘܪ̈ܒܬܐ܂ܐܦ,,ܘܦܩܕܘܛܝܒܬܟ,ܘܦܩܕܘܛܝܒܬܟ
,,ܩܕܡ܏ܘ܆ܩܕܡܘܗܝ܆,ܩܕܡܘܗܝ܇
,,ܘܐܛܐܒܠܟܘܝܗ̄ܒܠܟ,ܘܐܛܐܒܠܟܘܝܗ̄ܒܠܟ
,,ܡܘܗ̈ܒܬܐ,
,,,ܡܘܗ̱̈ܒܬܐܣܓܝܐܬܐ̈܂
,,ܣ̈ܓܝܐܐ܂,
,,ܘܐܦ,ܘܐܦ
ܐܢ̄ܬ,,ܐܢ̄ܬ,ܐܢ̄ܬ
ܦܪܘܥܝܢܝܦܘܪܥܢܐܕܦܪܥܘܬܟ܂ܘܐܝܟ,,ܬܘܒܗܫܐܛܫܢܝ܂ܘܦܪܘܥܝܢܝܐܟܡܐ,ܬܘܒܗܫܐܛܫܢܝ܂ܘܦܪܘܥܝܢܝܐܟܡܐ
ܕܥܒܕܬ,,ܕܥܒܕܬ,ܕܥܒܕܬ
ܥܒܕܥܡܝ܂ܘܛܫܢܝܒܕܘܟܬܐܡܕܡ܂,,ܥܡܟ܂,ܥܡܟ܂
ܘܗܐܐܝܬܠܝܥܒܕܐ,,ܘܗܐܐܝܬܠܝܥܒܕܐ,ܘܗܐܐܝܬܠܝܥܒܕܐ
ܫܘܐܠܡܘܬܐܕܐܣܟܠܒܣܓܝ̈ܐܬܐܘܗܐ,,ܚܝܒܐ,ܚܝܒܐ
ܪܡܐ,,ܪܡܐ,ܪܡܐ
ܒܝܬܐܣܝܪ̈ܐ܂,,ܒܚܒܘܫܝܐ,ܒܚܒܘܫܝܐ
ܘܫܡܗܡܕܝܦܪ܂,,ܘܫܡܗܡܕܝܦܪ܂,ܘܫܡܗܡܕܝܦܪ܂
,,ܘܚܝܒܠܩܛܠܐܡܛܠ,ܘܚܝܒܠܩܛܠܐܡܛܠ
,,ܒܝܫ̈ܬܗ܂,ܒܝܫܬܗ̈܂
ܐܦܩܝܗܝ,,ܐܦܩܝܗܝ,ܐܦܩܝܗܝ
ܘܐܠܒܫܝܗܝܠܒܘܫܝ܂ܘܦܩܘܕܠܐܝܠܝܢ,,ܗܫܐܘܢܠܒܫܠܒܘܫܝ̈܂ܘܐܦܩܠܓܒܪ̈ܐ,ܗܫܐܘܢܠܒܫܠܒܘܫܝ̈܂ܘܐܦܩܠܓܒܪ̈ܐ
ܕܥܡܟ,,ܕܥܡܟ,ܕܥܡܟ
ܕܢܬܛܝܒܘܢ,,ܗܠܝܢܪ̈ܘܝܐ܂ܘܢܩܛܠܘܢܝܗܝ,ܗܠܝܢܪ̈ܘܝܐ܂ܘܢܩܛܠܘܢܝܗܝ
ܟܕ,,ܟܕ,ܟܕ
ܪܘܐܝܢ܂ܘܡܬܩܛܠܘܠܐ,,ܠܐ,ܠܐ
ܝܕܥܝܢ,,ܝܕܥܝܢ,ܝܕܥܝܢ
ܡ̇ܢܐܬܘܛܠ܂,,ܠܡ̇ܢܩܛܠܘ܂,ܠܡ̇ܢܩܛܠܘ܂
ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ,,ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ,ܘܐܪܚܩܪܫܗܡ̣ܢܫܠܕܗܡܐܐ
ܐܡ̈ܝܢ܂,,ܐܡܝ̈ܢ܂,ܐܡܝܢ܂
ܘܗܒܦܓܪܗ,,ܘܗܒܦܓܪܗ,ܘܗܒܦܓܪܗ
ܕܢܬܩܒܪ܂,,ܕܢܩܒܪܘܢܝܗܝ܂,ܕܢܩܒܪܘܢܝܗܝ܂
ܘܢܦܘܩܛܒܐܒܐܬܘܪ,,ܘܢܦܘܩܛܒܐܒܐܬܘܪ,ܘܢܦܘܩܛܒܐܒܐܬܘܪ
ܘܢܝܢܘܐ܂,,ܘܢܝܢܘ̈ܐ,ܘܢܝܢܘܐ
ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ,,ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ,ܕܐܚܝܩܪܐܬܩܛܠ܂ܗܝܕܝܢ
ܩܡ,,,
