162,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 7200,Ar 7/229,Manuscrit 4122,Or. 2313,Sachau 162,Sachau 162,Sado no. 9,Syr 80
ܡܬܠܘ̈ܗܝ,ونينوىوالموصل_وماجرامنهومنابناختهنادان_كانفيايامالملكابنسرحادومملكارضاتورونينوىوبلادها_رجلحكيميقالله,[܂]ܢܬ[܂܂܂]ܡܪܗܘܐܠܝ܂ܠܟ܂ܘܥܘܬܪܐܣܓܝܐܐܐܝܬܗܘܐܠܝ܂ܢـ[܂]ܐܫ[܂܂܂][܂]ܣܒ[܂]ܠܝ܂ܘܒܢ݀ܝܬ,وصايا,ܥܠ,omisit,ܥܠ,ܥܠ,ܥܠ
,حيقار,,حيقار,ܚܝܠܗܕܡܪܢܝܫܘܥ,,ܚܝܠܐܕܐܠܗܐܟܬܒܝܢܢ,ܚܝܠܗܕܡܪܢܝܫܘܥ,ܚܝܠܗܕܡܪܢܝܫܘܥ
,_وكانوزيرالملكسنحاريبوكاتبهوكانذومالجزيلورزقكثير_وكانماهرحكيمفيلسوفذومعرفهورايوتدبير_وكانقدتزوجستينامراه,,الحكيملابناختهܦܘܩܕ̈ܢܐ,ܡܫܝܚܐ,,,ܡܫܝܚܐ,ܡܫܝܚܐ܆
,,,,ܡܫܪܝܢܢܠܡܟܬܒ,,,ܡܫܪܝܢܢܠܡܟܬܒ,ܡܫܪܝܢܢܠܡܟܬܒ
,,,,ܬܫܥܝܬܐ,,ܬܫܥܝܬܐ,ܬܫܥܝܬܐ,ܬܫܥܝܬܐ
ܕܚܝܩܪ,,,ܕܚܝܩܪ,ܕܐܚܝܩܐܪ,,ܕܚܝܩܪ,ܕܐܚܝܩܪ,ܕܐܚܝܩܪܣܦܪܐܘܚܟܝܡܐܕܢܚܝܪܒ
,,,ܚܟܝܡܐܕܠܘܬ,ܣܦܪܐ,,ܣܦܪܐ,,
,,,,ܚܟܝܡܐ,,ܘܡ̈ܬܠܘܗܝܫܦܝܪ̈ܐܒܫ̈ܢܝܣܢܚܪܝܒ,ܚܟܝܡܐ,
,,,,ܕܣܢܚܪܝܒ,,,ܘܣܦܪܐ܇ܘܕܣܢܚܪܒ,
,,,,ܡܠܟܐܕܐܬܘܪ,,,ܡܠܟܐܕܐܬܘܪ,ܡܠܟܐܕܐܬܘܪ
,,,,ܘܕܢܝ̈ܢܘܐ܀܀܀܀܀܀܀܀܀,,,ܘܕܢܝܢܘܐ,ܘܕܢܝܢܘܐ܂
,,,,ܒܫܢܬܥܣܪܝܢ,,,ܒܫܢܬܥܣܪܝܢ,ܒܫܢܬܥܣܪܝܢ
,,,,ܕܣܢܚܪܝܒ,,,ܕܣܢܚܪܒ,ܕܣܢܚܪܝܒ
,,,,ܡܠܟܐܕܐܬܘܪ,,ܡܠܟܐܕܐܬܘܪ,ܡܠܟܐܕܐܬܘܪ,ܡܠܟܐܕܐܬܘܪ
,,,,ܘܕܢܝ̈ܢܘܐ܆,,ܘܕܢ,ܘܕܢܝܢܘܐ܆,ܘܕܢܝܢܘܐ܂
