162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
ܠܡܗܦܟܘ,ܠܡܗܦܟܘ,ܠܡܗܦܟܘ,ܕܙܕܝܩ̈ܐ܇ܘܠܐܬܫܬܝܘܗܝ,ܠܡܗܦܟܘ,,ܠܡܥܪܓܠܘ,ܠܡܗܦܟܘ,ܠܡܗܦܟܘ
ܘܠܡܥܓܠܘ,ܟܐ̈ܦܐ,ܟܐܦܐ,,ܟܐܦ̈ܐ,,,ܟܐܦ̈ܐ,ܟܐܦ̈ܐ
,,,ܥܡ,,,,,
ܟ̈ܐܦܐ,,,ܐܢܫ̈ܐ,,,ܟ̈ܐܦܐ,ܥܡ܂܂,
ܥܡ,ܥܡ,ܥܡ,,ܥܡ,,ܥܡ,,ܥܡ
ܓܒܪܐ,ܓܒܪܐ,ܓ[܂܂]ܐ,,ܓܒܪܐ,,ܓܒܪܐ,ܓܒܪܐ,ܓܒܪܐ
ܚܟܝܡܐ܂,ܚܟܝܡܐ܂,ܚܟܝܡܐ܂,,ܚܟܝܡܐ,,ܚܟܝܡܐ,ܚܟܝܡܐ,ܚܟܝܡܐ܆
ܛܒ,,ܛܒ,,,,ܛܒ,,
ܡܢܕܠܡܫܬܐܚܡܪܐ,ܡܢܕܠܡܫܬܐܚܡܪܐ,ܡܢܕܠܡܫܬܐܚܡܪܐ,,ܡܢܕܠܡܫܬܐܚܡܪܐ,,ܡܢܕܠܡܫܬܐܚܡܪܐ,ܡܢܕܠܡܫܬܐܚܡܪܐ,ܡܢܕܠܡܫܬܐܚܡܪܐ
ܥܡ,ܥܡ,ܥܡ,,ܥܡ,,ܥܡ,ܥܡ,ܥܡ
ܓܒܪܐ,ܓܒܪܐ,ܓܒܪܐ,,ܓܒܪܐ,,ܓܒܪܐ,ܓܒܪܐ,ܓܒܪܐ
ܣܟܠܐ܂ܒܪܝ,ܣܟܠܐ܀,ܣܟܠܐ܂܂,,ܣܟܠܐ܆,,ܣܟܠܐ܀,ܣܟܠܐ܂܂,ܣܟܠܐ܂ܒܪܝ
,,,,ܒܪܝܐܫܘܕܚܡܪܟܥܠܩܒܪܐ,,,,
,ܒܪܝ,,,,,ܒܪܝ,,
ܛܒܠܡܛܥܢ,,,,,,,ܒܪܝ,
,ܐܫܘܕܚܡܪܟܥܠ,,,,,ܐܫܘܕܚܡܪܟܥܠ,ܐܫܘܕܚܡܪܟܥܠ,ܐܫܘܕܚܡܪܟܥܠ
,,,,ܕܙܕܝ̈ܩܐ܆ܘܠܐܬܫܬܝܘܗܝܥܡܐَܢܫܐܥܠܘ̈ܠܐ܆,,,,
,,,,,,ܩܒܪܐ,ܩܒܪܐ,ܩܒܪܐ
,ܩܒܪ̈ܐܕܙܕܝܩ̈ܐ܉,,,,,,,
,,,,,,ܕܙܕܝܩ̈ܐ,ܕܙܕܝܩ̈ܐ,ܕܙܕܝܩ̈ܐ܆
,ܘܠܐ,,,,,ܛܒܡܢܕܠܡܫܬܐܥܡܐܢ̈ܫܐ,ܘܠܐ,ܘܠܐ
,ܬܫܬܝܘܗܝ,,,,,,ܬܫܬܝܘܗ̱ܝ,ܬܫܬܝܘܗܝ
,ܥܡ,,,,,,ܥܡ,ܥܡ
,ܐ̄ܢܫܐ,,,,,,ܐ̄ܢܫ̈ܐܥܘܠ̈ܐ܂܂ܒܪܝܥܡ,ܐܢܫܥܘ̈ܠܐ܂
,ܥܘ̈ܠܐ܀,,ܥܘ̈ܠܐ܀,,,ܥܘ̈ܠܐ܀,,
,,,١١܆ܒܪܝܕܘܫܐܣܟܘܦܬܐܕܚܟܝܡܐ܆ܘܡܢܒܝܬܐܕܥܬܝܪ̈ܐܐܪܚܩ܇١٢܆,,,,,
,,,ܒܪܝܠܐܬܩܛܘܪܪܐܙܐܥܡܐܢ̈ܫܐ,,,ܒܪܝܠܐܬܩܛܘܪܪܐܙܐܥܡܐܢ̈ܫܐ,,
,,,ܣܟ̈ܠܐ,,,ܣ̈ܟܠܐ܂,,
,,,ܡܛܠܕܠܐܡܫܟܚܝܢ,,,ܡܛܠܕܠܐܡܫܟܚܝܢ,,
,,,ܠܡܣܟܝܘܬܗ,,,,,
,,,ܠܡܟܣܝܘܬܗ܀,,,ܠܡܟܣܝܘܬܗ܀,,
,,,١٣܆ܒܪܝܐܬܕܒܩܠܐܢܫ̈ܐ,,,,,
,,,ܚܟܝܡ̈ܐ,,,,ܚܟܝܡ̈ܐ,
,,,ܕܬܗܘܐܚܟܝܡܐܟܘܬܗܘܢ܂ܘܠܐܬܬܢܩܦܠܐܢܫ̈ܐܣܟ̈ܠܐܕܕܠܡܐܬܐܠܦܡܢܐܘܪ̈ܚܬܗܘܢ܀١٤܆,,,,ܠܐ,
,,,ܒܪܝܐܢܩܢܐܐܢܬ,,,ܒܪܝܐܢܩܢܐܐܢܬ,,
,,,ܪܚܡܐ܇ܒܢܣܝܘܢܐܩܢܝܗܝ܂ܘܥܕܠܐܬܒܩܐ܆,,,ܚܡܐܒܢܣܝܢܐܩܢܝܘܗܝ܂ܘܥܕܠܐܒܩܐ,,
,,,ܠܐܢܫܠܐܬܫܒܚ܂,,,ܠܐܢܫܠܐܬܫܒܚ܂,,
,,,ܒܩܝ܆,,,ܒܩܝ,,
,,,ܘܗܝܕܝܢ,,,ܘܗܝܕܝܢ,,
,,,ܩܢܝ܀١٥܆,,,ܢܝ܀,,
,ܒܪܝܥܡܚܟܝܡܐܠܐ,ܒܪܝܥܡܚܟܝܡܐܠܐ,ܒܪܝܥܡܚܟܝܡܐܠܐ,ܒܪܝܥܡܚܟܝܡܐܠܐ,,ܒܪܝܥܡܚܟܝܡܐܠܐ,,ܒܪܝܥܡܚܟܝܡܐܠܐ
,ܬܣܪܘܚ܉,ܬܣܪܘܚ܂,ܬܣܪܘܚ,ܬܣܪܘܚ܆,,ܬܣܪܘܚ,ܬܣܪܘܚ,ܬܣܪܘܚ܆
,,,ܡ̈ܠܝܟ܂,,,ܠܝ̈ܟ܂,,
,ܘܥܡܣܪܘܚܐ,ܘܥܡܣܪܘܚܐ,ܘܥܡܣܪܘܚܐ,ܘܥܡܣܪܘܚܐ,,ܘܥܡܣܪܘܚܐ,ܘܥܡܣܪܘܚܐ,ܘܥܡܣܪܘܚܐ
,ܠܐ,ܠܐ,ܘܣܟܠܐܠܐ,ܬܬܚܟܡ܆,,ܘܣܟܠܐܠܐ,,ܬܬܚܟܡ܂ܒܪܝ
,ܬܬܚܟܡ܀,ܬܬܚܟܡ܂܂,ܬܬܚܟܡ܀,,,ܬܬܚܟܡ,ܬܬܚܟܡ,
,,,١٦܆,,,܀,܂܂ܒܪܝܠܐ,
,ܒܪܝ,ܒܪܝ,ܒܪܝ,ܒܪܝ,,ܒܪܝ,,
,ܐܬܠܘܐܠܓܒܪܐܚܟܝܡܐܕܬܬܚܟܡ,ܐܬܠܘܐܠܓܒܪܐܚܟܝܡܐܕܬܬܚܟܡ,ܐܬܠܘܐܠܓܒܪܐܚܟܝܡܐܕܬܬܚܟܡ,ܐܬܠܘܐܠܓܒܪܐܚܟܝܡܐܕܬܬܚܟܡ,,ܐܬܠܘܐܠܓܒܪܐܚܟܝܡܐܕܬܬܚܟܡ,ܐܬܠܘܐܠܓܒܪܐܚܟܝܡܐܕܬܬܚܟܡ,ܐܬܠܘܐܠܓܒܪܐܚܟܝܡܐܕܬܬܚܟܡ
,ܐܟܘܬܗ܉,ܐܟܘܬܗ܂,ܐܟܘܬܗ܂,ܐܟܘܬܗ܆,,ܟܘܬܗ܂,ܐܟܘܬܗ܂,ܐܟܘܬܗ܂
,ܘܠܐ,ܘܠܐ,ܘܠܐ,ܘܠܐ,,ܘܠܐ,ܘܠܐ,ܘܠܐ
,ܬܬܠܘܐ,ܬܬܠܘܐ,ܬܬܢܩܦ,ܬܬܠܘܐ,,ܬܬܢܩܦ,ܬܬܠܘܐ,ܬܬܠܘܐ
,ܠܓܒܪܐ,ܠܓܒܪܐ,ܠܓܒܪܐ,ܠܓܒܪܐ,,ܠܓܒܪܐ,ܠܓܒܪܐ,ܠܓܒܪܐ
,ܦܟܢܐ,ܣܟܠܐ܇,ܣܟܠܐ,ܦܟܢܐ,,ܣܟܠܐ,ܦܟܢܐ,ܦܟܢܐ
,ܘܠܫܢܐ,ܕܠܡܐ,ܕܠܡܐ,ܘܠܫܢܢܐ܆,,ܕܠܡܐ,ܘܠܫܢܐ,ܘܠܫܢܢܐ܂
,ܕܠܐ,,,ܕܠܐ,,,ܕܠܐ,ܕܠܐ
,ܬܬܡ̱ܢܐ,ܬܬܡܢܐ,ܬܬܡܢܐ,ܬܬܡܢܐ,,ܬܬܡܢܐ,ܬܬܡ̱ܢܐ,ܬܬܡܢܐ
,ܥܡܗ܀,ܐܟܘܬܗ܂܂,ܬܬܕܡܐܒܥܒܝ̈ܕܬܗ܀١٧܆,ܥܡܗ܆,,ܘܬܬܕܡܐܒܥܒܝܕܬܗ܀,ܥܡܗ܂܂,ܥܡܗ܂
,ܒܪܝ,,ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ,ܒܪܝ
,ܥܕܐܝܬ,ܥܕܐܝܬ,ܥܕܐܝܬ,ܥܕܐܝܬ,,ܥܕܐܝܬ,ܥܕܐܝܬ,ܥܕܐܝܬ
,ܡܣܢ̈ܐ,ܡـ,ܡܣܐܢܐ,,,ܡ̈ܣܐܢܐ,ܡܣܢ̈ܐ,
,ܒܪ̈ܓܠܝܟ,ܒܪ̈ܓܠܝܟ,ܒܪ̈ܓܠܝܟ,ܒܪ̈ܓܠܝܟ,,ܒܪ̈ܓܠܝܟ,ܒܪܓܠܝܟ̈܂܂,ܒܪ̈ܓܠܝܟ
,,,,ܡܣܢ̈ܐ܆,,,,ܡܣܢ̈ܐ܆
,ܕܘܫ,ܕܘܫ,ܕܘܫ,ܕܘܫ,,ܕܘܫ,ܕܘܫ,ܕܘܫ
,ܕܪܕܪ̈ܐ܉,,ܥܠ,ܕܪ̈ܕܪܐ,,ܥܠ,ܕܪ̈ܕܪܐ,ܕܟܕ̈ܟܐ
,,ܕܪܕܪ̈ܐ,ܕܪܕܪ̈ܐ,,,ܟܘ̈ܒܐܘܕܪܕܪܐ,,
,,,ܘܟܘ̈ܒܐ܇,,,,,
,ܘܥܒܕ,ܘܥܒܕ,ܘܥܒܕ,ܘܥܒܕ,,ܘܥܒܕ,ܘܥܒܕ,ܘܥܒܕ
,,,ܠܗܘܢ,,,,,
,ܐܘܪܚܐ,ܐܘܪܚܐ,ܐܘܪܚܐ,ܐܘܪܚܐ,,ܐܘܪܚܐ,ܐܘܪܚܐ,ܐܘܪܚܐ
,ܠܒ̈ܢܝܟܘܠܒ̈ܢܝܒ̈ܢܝܟ܀ܒܪܝ,ܠܒܢܝ̈ܟ,ܠܒܢܝ̈ܟ,ܠܒܢܝ̈ܟ,,ܠܒ̈ܢܝܟܘܠܒ̈ܢܝܒ̈ܢܝܟ܀ܒܪܝ,ܠܒܢܝ̈ܟ,ܠܒܢ̈ܝܟ
,,ܘܠܒ[܂܂]ܒܢ̈ܝܟ܂܂,ܘܠܒܢ̈ܝ,ܘܠܒܢܝ̈ܒܢܝ̈ܟ܆,,,ܒܢܝܟ̈܂܂,ܘܠܒܢ̈ܝ
,,,ܒܢ̈ܝܟ܆١٨܆,,,,,ܒܢ̈ܝܟ܂
,,ܒܪܝ,,,,,ܒܪܝ,
,,,ܒܪܝ,,,,,
,ܒܪܥܬܝܪ̈ܐ,ܒܪܥܬܝܪ̈ܐ,,ܒܪܝܒܪ,,,ܒܪܥܬܝܪ̈ܐ,ܒܪܝܒܪ
,ܐܟܠ,ܐܟܠ,ܥܕܢܫܒܐܐܪܘܫܦܐܝܡܐܡܢܡܚܫܘ̈ܠܐ܇ܬܪܘܨܐܠܦܟܠܠܡܐܢܐܥܕܠܐܡܫܬܓܫܝܡܐܘܡܬܬܪܝܡܝܢܓ̈ܠܠܘܗܝܘܡܬܛܒܥܐܐܠܦܐܡܢܟܐܡܘ̈ܢܐ܀١٩܆ܒܪܝ܂,,,ܐܟܠ,ܐܟܠ,
,ܚܘܝܐ܉,,ܥܬܝܪܐ,ܥܬܝܪܐ,,ܥܬܝܪܐ,,ܥܬܝܪܐ
,,,ܐَܟܠ,ܐܟܠ,,ܚܘܝܐܐܡܪܝܢ,,ܐܟܠ
,,ܚܘܝܐ܂,ܚܘܝܐ܂,ܚܘܝܐܘܐܡܪܝܢ,,,ܚܘܝܐ܂,ܚܘܝܐ܇ܘܐܡܪܟ
,ܘܐܡܪܝܢ,ܘܐܡܕܠܐܣܝܘܬܐ,ܘܐܡܪܝܢܐܢܫ̈ܝܢ,,,,ܘܐܡܪܝܢ,
,ܠܐܣܝܘܬܐ,,ܠܐܣܝܘܬܐ,,,ܠܐܣܝܘܬܐ,ܠܐܣܝܘܬܐ,
,ܐܟܠܗ܂,ܐܟܠܗ܂,ܐܟܠܗ܂,,,ܐܟܠܗ܂,ܐܟܠܗ܂,
,ܘܐܟܠܗܒܪ,ܘܐܟܠܗܒܪ,ܘܐܟܠ,,,ܘܐܟܠ,ܘܐܟܠܗܒܪ,
,ܡܣ̈ܟܢܐ܉,ܡܣܟ̈ܢܐ܂ܘܐܡܪ,ܡܣܟܢܐܘܐܡܪܝܢ,,,ܡܣܟܝܢܐܘܐܡܪܝܢܡܢܟܦܢܗ,ܡܣܟܢ̈ܐ,
,ܘܐܡܪܝܢ,ܠܟܦܢܗ,ܠܟܦܢܗ,,,,ܘܐܡܪܝܢ,
,ܕܠܟܦܢܗ,ܐܟܠܗ܂܂,,ܕܠܟܦܢܗ,,,ܕܠܟܦܢܗ,ܕܠܟܦܢܗ
,ܐܟܠܗ܀,,ܐܟܠܗ܂,ܐܟܠܗ܆,,ܐܟܠܗ܀,ܐܟܠܗ܂,ܐܟܠ܂
,ܒܪܝܐܟܘܠ,ܒܪܝܐܟܘܠ,ܡܛܠܕܟܐܢܐܘܙܕܝܩܐܠܡܚܣܢܡܫܬܟܚܘ(ܡܫܬܟܚܝܢ)܇)܂٢٠܆ܒܪܝܒܛܒܬܐ,ܒܪܝܐܟܘܠ,,ܒܪܝܐܟܘܠ,ܒܪܝܐܟܘܠ,ܒܪܝܐܟܘܠ
,ܡܢܬܟ܉,ܡܢܬܟ܂,,ܡܢܬܟ,,ܡܢܬܟ,ܡܢܬܟ,ܡܢܬܟ
,ܘܥܠ,ܘܥܠ,,ܘܥܠ,,ܒܠܚܘܕ܂ܘܥܠܗܝܕܚܒܪܟܠܐܬܣܬܪܗܒ܀ܒܪܝܒܛܒ̈ܬܐܕܣܐܢܟܠܐܬܚܣܡ,ܘܥܠ,ܘܥܠ
,ܚܒܪ̈ܝܟܬܒܣܪ܀,ܕܚܒܪܠܐܬܘܫܛܐܝܕܟ܂܂,,ܚܒܪܟ,,,ܚܒܪ̈ܝܟ̈ܬܣܒܪ܂܂,ܚܒܪܟ
,ܒܪܝܥܡܡܢܕܠܐ,,,ܬܫܦܪ,,,ܒܪܝܥܡܡܢܕܠܐ,ܬܫܦܪ܂
,ܡܬܚܡܨ܉,,,,,,ܡܬܚܡܬ,
,ܐܦܠܐܠܚܡܐ,,,,,,ܐܦܠܐܠܚܡܐ,
,ܠܡܐܟܠ܀,,,,,,ܠܡܑܟܠ܂܂ܒܪܝܒܡܝܒܘܬܗܕܣܥܐܝܟ̈ܠܐܬܩܨܦ܂܂,
,ܒܪܝܒܛܒ̈ܬܗ,,,ܒܪܝܒܛܒ̈ܬܗ,,,,ܒܪܝܒܛܒ̈ܬܗ
,,,,,,,ܘܐܦܠܐ,
,ܕܣܢܐܟܠܐ,,ܕܣܢܐܟܠܐ,ܕܣܢܐܟܠܐ,,,ܒܒܝܫܬܗܬܚܕܐ܂܂,ܕܣܢܐܟܠܐ
,ܬܩܨܦ܉ܘܐܦܒܒܝܫ̈ܬܗ,,ܬܚܣܡ܆,ܬܩܨܦ܆,,,,ܐܩܨܦ܆
,,,,ܘܐܦܠܐ,,,,ܘܐܦܠܐ
,,,ܘܒܒܝܫ̈ܬܗ,,,ܘܒܒܝܫ̈ܬܗ,,
,ܠܐܬܚܕܐ܀,,ܠܐܬܚܕܐ܀,ܒܒܝ̈ܫܬܗܬܚܕܐ܆,,ܠܐܬܚܕܐ܀,,ܒܒܝܬ̈ܬܗـܬܚܕܐ܂
,,,٢١܆,,,,,
,ܒܪܝ,ܒܪܝ,ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ,ܒܪܝ
,ܠܐܬܬܩܪܒ,ܥܡ,ܥܡ,ܠܐܬܬܩܪܒ,,ܥܡ,ܠܐܬܬܩܪܒ,ܠܐܬܬܩܪܒ
,,ܕܠܐܡܬܚܡܨܠܚܡܠܐܬܐܟܘܠ܂ܒܪܝܐܢܚܙܐܐܢܬܣܢܐܟܕܢܦܝܠ܂,ܐܢܬܬܐ,ܠܐܢَܬܬܐ,,ܐܢܬܬܐ,ܠܐܢ̄ܬܬܐ,ܠܐܢ̄ܬܬܐ
,,,ܦܟܝܢܬܐ,ܠܚܘܫܬܢܝܬܐ܆,,ܦܟܢܝܬܐ,ܠܚܘܫܬܢܝܬܐ,ܠܚܘܫܬܢܝܬܐ܆
,,ܠܐ,ܠܐ,,,ܠܐ,,
,,ܬܗܠܒܗ܂ܕܠܡܐܢܩܘܡܘܢܦܪܥܟ܂܂ܒܪܝܒܛܒܬܗ̈ܕܣܢܐܟܠܐܬܗܘܐܚܣܡ܂ܘܒܒܝ̈ܫܬܗܠܐܬܚܕܐ܂ܒܪܝ,ܬܡܠܠ܆ܘܠܐܝܢܐ,,,ܬܡܠܠܣܟ܂,,
,ܠܐܢܬܬܐ,ܠܐܢܬܬܐ,,,,,,
,ܠܚܘܫܬܢܝܬܐ܉,ܠܫܢܝܬܐܘܦܟܚܬܐ,,,,,,
,ܘܠܐܝܕܐ,ܘܠܐܝܕܐ,,ܘܠܐܝܕܐ,,ܘܠܐܝܕܐ,ܘܠܐܝܕܐ,ܘܠܐܝܕܐ
,ܕܪܡ,ܕܪܡ,ܕܪܡ,ܕܪܡ,,ܕܪܡ,ܕܪܡ,ܕܪܡ
,ܩܠܗ܀,ܩܠܗܠܐ,ܩܠܗܠܐ,ܩܠܗ܆,,ܩܠܗܠܐ,ܩܠܗ܂܂,ܩܠܗ܂
,,ܬܬܩܪܒ܂ܡܛܠܕܫܘܦܪܗ,ܬܬܩܪܒ܆܂܂܂܂܂܂٢٢܆,,,ܬܬܩܪܒ,,
,ܒܪܝ,,,ܒܪܝ,,ܒܪܝ,ܒܪܝ,ܒܪܝ
,ܒܬܪܫܘܦܪܐ,,,ܫܘܦܪܗܕܐَܢܬܬܐ,,ܒܬܪܫܘܦܪܐ,ܒܬܪܫܘܦܪܐ,ܒܬܪܫܘܦܪܐ
,ܕܐܢܬܬܐ,ܕܐܢܬܬܐ,,,,ܕܐܢܬܬܐ,ܕܐܢ̄ܬܬܐ,ܕܐܢ̄ܬܬܐ
,ܠܐ,ܛܥܡܗ܂,,ܠܐ,,ܠܐ,ܠܐ,ܠܐ
,ܬܐܙܠ܉,,,ܬܐܙܠ,,ܬܐܙܠ܂,ܬܐܙܠ,ܬܐܙܠ܂
,ܘܠܐ,,,ܘܠܐ,,ܘܒܫܘܦܕܐܢܬܬܐܠܐܬܛܥܐܫܘܦܪܐ,ܘܠܐ,ܠܐ
,ܬܪܓܝܗܒܠܒܟ܂ܡܛܠܕܫܘܦܪܐ,,,ܬܪܓܗܒܠܒܟ܆ܡܛܠܕܫܘܦܪܗܕܐܢَܬܬܐ,,,ܬܪܓܝܗܒܠܒܟ܂ܡܛܠܕܫܘܦܪܐ,ܬܪܓܝܗܒܠܒܟ܂ܡܛܠܕܫܘܦܪܐ
,ܕܐܢܬܬܐ,,,,,ܕܐܢܬܬܐ,ܕܐܢ̄ܬܬܐܛܥܡܗ܂,ܕܐܢ̄ܬܬܐܛܥܡܗ܂
,ܛܥܡܗ܆,,,ܛܥܡܗ܆,,ܐܝܡܛܟܣܘܬܗ,,
,ܘܡܠܬܦܘܡܗ,ܘܡܠܬܦܘܡܗ,,ܘܡܠܬܦܘܡܗ,,ܘܡܠܬܦܘܡܗ,ܘܡܠܬܦܘܡܗ,ܘܡܠܬܦܘܡܗ
,ܗܕܪܗ܀,ܗܕܪܗ܂܂,,ܗܕܪܗ܆,,ܘܛܥܘ܀ܒܪܝܫܘܦܪܐܕܐܢܬܬܐܣܪܝܬܛܥܡܘܡܠܬܐ܂,ܗܕܪܗ܂܂,ܗܕܪܗ܂
,,,ܐܝܟܩܕܫܐ,,,ܐܝܟܩܕܫܐ,,
,,,ܕܕܗܒܐܒܐܕܢ̈ܝܗܕܚܙܝܪܬܐ܆,,,ܕܗܒܐܒܐܕܢܗܕܚܙܝܪܐ,,
,,,ܗܟܢܐ,,,ܗܟܢܐ,,
,,,ܐܝܬܝܗܐܢܬܬܐܫܦܝܪܬܐunclearܣܪܝܬܛܥܡܐܘܡܠܬܐ܀٢٣܆,,,ܐܝ܏ܬܘܐܝܬܘܗܝܫܘܦܪܐܕܐܢܬܬܐ܀,,
,ܒܪܝܐܢ,ܒܪܝܐܢ,ܒܪܝܐܢ,ܒܪܝܐܢ,,ܒܪܝܐܢ,ܒܪܝܐܢ,ܒܪܝܐܢ
,ܐܪܥܟ,ܐܪܥܟ,ܐܪܥܠܟܣܐܢܟ,ܐܪܥܟ,,ܐܪܥܠܟܣܐܢܟ,ܐܪܥܟ,ܐܪܥܢ
,ܣܢܐܟ,ܣܢܐܟ,ܒܒܝܫ܆ܐܪܢܝܗܝ,ܣܢܐܟ,,ܒܒܝܫ,ܣܢܐܟ,ܣܢܐܟ
,ܒܒܝܫܬܐ܉ܐܪܘܥܝܗܝܐܢܬܒܚܟܡ̱ܬܐ܀,ܒܒܝܫ܂,ܐܢܬ,ܒܒܝܫܬܐ܆,,ܐܢܬ,ܒܒܝܫܬܐ܂ܐܪܡ̱ܝܗܝ,ܒܒܝܫܬܐ܆
,,ܐܪܘܥ,ܒܛܒ܆ܘܒܚܟܡܬܐ,ܐܪܘܥ,,ܐܪܥܘܗܝܒܛܒܘܒܚܟܡܬܐ܂,,ܐܪܘܥܝܘܗܝ
,,ܐܢܬܒܛܒ܂܂ܒܪܝܐܢܚܙܐܐ[܂܂],ܡܠܠܥܡܗ܀,ܐܢَܬܒܚܟܡܬܐ܆,,ܡܠܠܥܡܗ܀,ܐܢ̄ܬ,ܐܢ̄ܬ
,ܒܪܝ,,܂܂܂܂܂܂٢٤܂ܒܪܝ܂,,,ܒܪܝ,ܒܚܟܡܬܐ܂܂,ܒܚܟ̱ܡܬܐ܂
,,,,ܒܪܝܐܢ,,,ܒܪܝܐܢ,ܒܪܝܐܢ
,,,ܚܟܝܡܐ,,,,,
,,,ܐܢ,,,,,
,ܢܦܠ,,,ܢܦܠ,,ܢܦܠ,ܢܦܠ,ܢܦܠ
,,,,,,ܚܟܝܡܐ,,
,,,ܢܦܠ,,,,,
,ܥܘܠܐܘܠܐ,,,ܥܘܠܐܘܠܐ,,,ܥܘܠܐܘܠܐ,ܥܘܠܐܘܠܐ
,ܩܐܡ܂,,ܘܡܬܟܪܗ܆ܦܫܝܩܠܗܠܐܣܝܐܕܢܥܨܒܝܘܗܝ܂,ܩܐܡ܆,,ܘܩܐܡ܂,ܩܐܡܡܐܢܐܠܐܡܬܬܙܝܥ܂,ܩܐܡ܂
,ܘܟܐܢܐܠܐ,,ܘܣܟܠܐ,ܘܟܐܢܐܠܐ,,ܘܣܟܠܐ,,ܘܟܐܢܐܠܐ
,ܡܬܬܙܝܥ܉,,ܕܢܦܠ܆ܠܝܬܣܡܐܕܢܥܨܘܒܠܚܒܪ̈ܬܗ܀٢٥܆ܒܪܝ܂,ܡܬܬܙܝܥ܆,,ܟܠܝܘܡܡܬܬܩܠ܀,,ܡܬܬܙܝܥ܆
,ܡܛܠ,,,ܡܛܠ,,,ܡܛܠ,ܡܛܠ
,ܕܐܠܗܥܡܗ܀,,,ܕܐܠܗܐܥܡܗ,,,ܕܐܠܗܐܥܡܗ,ܕܐܠܗܐܥܡܗ
,,,,ܗَܘ܆,,,ܗܘ܂܂,ܗܘ܂
,ܒܪܝ,,,ܒܪܝ,,ܒܪܝ,ܒܪܝ,ܒܪܝ
,ܒܪܟܡܢ,,ܒܪܟܡܢ,ܒܪܟܡܢ,,ܒܪܟܡܢ,ܒܪܟܡܢ,ܒܪܟܡܢ
,ܡܚ̈ܘܢ,,,ܡܚ̈ܘܢ,,ܡܚ̈ܘܬܐ,ܡܚܘܢ,ܡܚܘ̈ܢ
,,,ܡܚܘ̈ܬܐ,,,,,
,ܠܐ,,ܠܐ,ܠܐ,,ܠܐ,ܠܐ,ܠܐ
,ܬܟܠܐ܂,,ܬܟܠܐ܂,ܬܟܠܐ,,ܬܟܠܐ,ܬܟܠܐ,ܬܟܠܐ܂
,ܡܛܠ,,ܡܛܠ,ܡܛܠ,,ܡܛܠ,ܡܛܠ,ܡܛܠ
,,,,,,,,ܡܚܘ̈ܬܐ
,ܕܡܚܘ̈ܬܐ,,ܕܡܚܘ̈ܬܐ,ܕܡܚ̈ܘܬܐ,,ܕܡܚܘܬܐ,ܕܡܚ̈ܘ̈ܬ̈ܐ,
,ܠܛܠܝܐ,,ܠܛܠܝܐ܆,ܠܛܠܝܐ,,ܠܛܠܝܐ,ܠܛܠܝܐ,ܠܛܠܝܐ
,ܐܝܟܙܒܠܐ,,ܐܝܟܙܒܠܐ,ܐܝܟܙܒܠܐ,,ܐܝܟܙܒܠܐ,ܐܝܟܙܒܠܐ,ܐܝܟܙܒܠܐ
,ܠܦܪܕܝܣܐ܂,,ܠܐܪܥܐ܂,ܠܚܩܠܐ܆,,ܠܐܪܥܐ܂,ܠܦܪܕܝܣܐ܂,ܠܚܩܠܐ܇
,ܘܐܝܟ,,ܘܐܝܟ,ܘܐܝܟ,,ܘܐܝܟ,ܘܐܝܟ,ܘܐܝܟ
,ܐܣܪܐ,,ܐܣܪܐ,ܐܣܪܐ܆,,ܐܣܪܐ,ܐܣܪܐ,ܐܣܪܐ
,ܠܚܡܪܐ܂,,ܠܚܝܘܬܐ,,,ܠܚܝܘܬܐ,ܠܚܡܪ̈ܐ,
,ܐܘ,,,,,,ܐܘ,
,ܠܟܠ,,,ܠܟܠ,,,ܠܟܠ,ܠܟܠ
,ܚܝܘܬܐ܂,,,ܚܝܘܬܐ,,,ܚܝܘܬܐ,ܚܝܘܬܐ܂
,ܘܐܝܟ,,ܘܐܝܟ,ܘܐܝܟ,,ܘܐܝܟ,ܘܐܝܟ,ܘܐܝܟ
,ܚܒܠܐܒܪܓܠܗ,,ܙܓܡܐ,ܚܒܠܐܒܪܓܠܗ,,ܙܓܡܐ,ܚܒܠܐܒܪܓܠܗ,ܚܒܠܐܒܪܓܠܗ
,ܕܚܡܪܐ܀,,ܠܬܪܥܐ܆٢٦܆,ܕܚܡܪܐ܆,,ܠܬܪܥܐ܀,ܕܚܡܪܐ܂,ܕܚܡܪܐ܂
,ܒܪܝܟܒܘܫ,,ܒܪܝܪܕܝ,ܒܪܝܟܒܘܫ,,ܒܪܝܪܕܝ,ܒܪܝܟܒܘܫ,ܒܪܝܟܒܘܫ
,ܒܪܟ,,ܒܪܟ,ܒܪܟ,,ܒܪܟ,ܒܪܟ,ܒܪܟ
,,,ܘܢܢܝܚܟ܂,,,ܘܢܢܝܚܟ,,
,,,ܘܟܒܫ,,,ܘܟܒܫ,,
,,,ܡܬܢܬ̈ܗحٍالبَيهِܙܓܡܐܙܘܓܡܐ)(عارضةالباب,,,ܡܬܢܘܗ,,
