162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
,ܢܕܢ,,,ܢܕܢ܆,,,ܢܕܢ,
ܐܢ,ܐܢ,ܐܢ,,ܐܢ,,ܐܢ,ܐܢ,ܐܢ
ܫܡܥܬ,ܫܡܥܬ,ܫܡܥܬ,,ܫܡܥܬ,,ܬܫܡܥܡܠܬܐ܀ܬܡܘܬܝܗ,ܫܡܥܬ,ܫܡܥܬ
ܡܠܬܐ,ܡܠܬܐ,ܡܠܬܐ,ܡܠܬܐ,ܡܠܬܐ,,,ܡܠܬܐ,ܡܠܬܐ
,,,,,,ܒܠܒܟ,,
ܬܡܘܬܝ,ܬܡܘܬ,ܬܡܘܬ,ܬܡܘܬ,ܬܡܘܬ,,,ܬܡܘܬ,ܬܡܘܬ
,,,,ܒܠܒܟ,,,ܒܠܒܟ,
ܒܠܒܟ܂,ܒܠܒܟ܂,ܒܠܒܟ܆,ܒܠܒܟ܇,,,,,ܒܠܒܟ܂
ܘܠܐܢܫ,ܘܠܐ̄ܢܫ,ܘܠܐܢܫ,ܘܠܐܢܫ,ܘܠܐَܢܫ,,ܘܠܐܢܫ,ܘܠܢܫ,ܘܠܐ̄ܢܫ
ܠܐ,ܠܐ,ܠܐ,ܠܐ,ܠܐ,,ܠܐ,ܠܐ,ܠܐ
ܬܓܠܐ܂,ܬܓܠܝܗ܂,ܬܓܠܐ,ܬܓܠܝܗ܂,ܬܓܠܐ܆,,ܬܓܠܝܗ܁ܠܡܐ,ܬܓܠܐ,ܬܓܠܐ܆
ܕܠܐ,ܕܠܡܐ,ܕܠܐ,ܕܠܡܐ,ܕܠܡܐ,,,ܕܠܡܐ,ܕܠܡܐ
ܬܗܘܐ,ܬܗܘܐ,ܗܘܐ,ܬܗܘܐ,ܬܗܘܐ,,ܬܗܘܐ,ܬܗܘܐ,ܬܗܘܐ
