Brit_Libr_Or_9321,Brit_Mus_Add_7209,Cod_Arab_236,DFM_00614,Mingana_Syr_258,Sachau_290_Sachau_339,Vat_sir_159
قصّةأحيقار,وايضا,,بسم,بسم,,بسم
,,,الآب,الاب,,اللهالرحمانالراحيم
,,,والابنوروحالقدس,والابنوروحالقدس,,
,,,إلآه,الاهً,,
,,,واحد,واحد_,,
,,,أمين,,,
,,نبتدي,نبتدي,نبتدي,,نبتدي
,بعونالله,بعونالله,بعونالله,بعونالله,,بعونالله
,نكتب,وحسنتوفيقه,وحسنتوفيقه,وحسنتوفيقه,,
,,ونكتب,ونكتب,ونكتب,,ونكتب
,قصة,قصت,قصة,قصة,قصة,قصة
,حيقر,حيقار,حقار,حيقار,حيقار,حيقار
,الحكيم,الحكيم,,الحكيم,الحكيم,الحاكيموكانفى
,,الفارسيالفيلسوف,,الفارسيالفيلسوف,كان,
,,الماهر,الماهر,الماهر_,,
الحكيم,,,الحكيم,ربانتاغفرلكاتبهاوقاريهاوسامعهايقولايضا,,
,,,العارفاللبيبالحادقالفهيم,,,
الذي,,الذي,الذي,,,
خَدَمَسنحاريبوأسرحدومالملكانالاثوريانالكراسالاوّلكانفيعهدسنحاريبواسرحدومملكاآثورونينوارجلاسمهاحيقارحكيماوكاتبًاووكيلالملكينالمذكورينواقفًافيخدمتهماعلىالدوامبدونخللٍ_فلمامات,,كانعليايام,ماكانمثلحداقتهوكيفجرىلهمع,,,
,,سنحاريبالملك,سنحاريبالملك,,,
,,ملكالموصلكان,ومعنادانابناختهفيذلكالزمانأمينقيل,,,
,في,في,في,في,في,
,ايام,ايام,ايام,ايام,ايام,ايام
سنحاريب,سنحاريب,سنحاريب,سنحاريب,سنحاريب,سنحاريب,سنحاريب
,ابنسرحادوم,ابنسرحادوم,ابنسرحادوم,ابنسرحادوم,ابنسرحادوم,
ملك,ملك,ملك,ملك,ملك,ملك,ملك
اثور,اتور,اتور,اثور,اتور,اثور,اتور
وذلكسنةستمائةوتسعوسبعونقبلالمسيح_فهذااحيقاريخبرعننفسهويقولهكذا:اني,ونينوا,ونينوا,ونينوى,ونينوى,ونينوى,
,,الحكيمالماهرحيقارالفارسي_وكان,قالحقار,,_,
انا,,,,,,
احيقاركبرتُجدًاوخدمتاسرحدومابنسنحاريبالملكايضًا_حينئذٍقال,كنتانا,,كنتانا,كنتانا,كنتانا,كنتانا
,حيقر,,حقاروزير,حيقار,حيقار,حيقار
لي,,,,,,
السحرةوالمنجمونكافةًانهيولدلكولدواحدوهويرثمالككله_ولماقالواليذلكتزوجتبستينامراةوشيدت,وزيره,كاتب,كاتب,وزيره,وزيرهُوكاتبهُ_,وزيره
,وكاتبه,الملكومتقدمعندهجدًا_فلماكان,سنحاريبملكالمذكور,وكاتبه_,,
,ولما,,ولما,ولما,ولما,ولما
,كنت,,كنت,كنتوا,كنت,كنت
,,,انا,,,
,,,,,شابًا,
,شاب,شاب_,شاب,شاب_,,شاب
,قالوا,حكمتلهُ,عرفّوني,قالوا,قالوا,قالوا
