430,syr_422,syr_434,syr_611,syr_612
ܫܠܡܘܡܬ̈ܠܐܕܐܚܝܩܪܚܟܝܡܐ܀ܐܢܐܟܝܬ,,omisit,ܗܟܢ,ܗܟܢ
,ܗܪܟܐܩܦܣ,,ܗܪܟܐܩܦܣ,ܗܪܟܐܩܦܣ
ܐܚܝܩܪ,ܐܚܝܩܪ,,ܐܚܝܩܪ,ܐܚܝܩܪ
ܣܒܪܬܟܠܡܐܕܐܠܦܬܠܢܐܕܢܒܪܚܬܝܢܛܝܪܠܘܬܟܘܐܬܪܫܡܥܠܠܘܚܝ̈ܠܒܗ܁ܘܣܓܝܝܬܪܡܢܗ܂ܘܗܘ̤ܐܚܕܕܘܟܬܝܠܘܬܣܢܚܪܝܒܡܠܟܐܘܢܫܡܫܝܘܗܝ܂,ܡ̈ܠܐ,,ܡ̈ܠܐ,ܡ̈ܠܐ
,ܕܚܟܡ̱ܬܗ܂ܕܠܢܕܢܡܠܦ܂ܟܕܡܚܘܐܐܚܝܩܪܠܡܠܟܐܟܠܕܥܒܕܢܕܢܠܩܢܝܢܘ̈ܗܝܘܠܢܟܣܘ̈ܗܝ܂ܗܝܕܝܢܐܢܐܐܚܝܩܪ,,ܕܚܟܡ̱ܬܗ,ܕܚܟ̱ܡܬܗܗܟܢܗܪܟܐܩܦܣ
,,,ܕܡܠܦܗ̄ܘܐ,ܕܡܠܦܗ̄ܘܐ
,ܗܢܐܝܘܠܦܢܐ,,,
,ܐܠܦܬܗ,,ܠܢܕܢ܆,ܠܢܕܢ
,,,܀ܗܝܕܝܢܐܢܐܐܚܝܩܪܡܢܒܬܪ,܀ܗܝܕܝܢܐܢܐܐܚܝܩܪܡܢܒܬܪ
,,,ܗܢܐܝܘܠܦܢܐ,ܗܢܐܝܘܠܦܢܐ
,,,ܕܐܠܦܬ,ܕܐܠܦܬ
,ܠܢܕܢܒܪ,,ܠܢܕܢܒܪ,ܠܢܕܢܒܪ
,ܚܬܝ܂ܟܕ,,ܚܬܝ,ܚܬܝ
,ܣܒܪܗ̄ܘܝܬܕܟܠܗܝܘܠܦܢܐ,,ܣܒܪܗ̄ܘܝܬܕܟܠܗܝܘܠܦܢܐ,ܣܒܪܗ̄ܘܝܬܕܟܠܗܝܘܠܦܢܐ
,ܕܐܠܦܬܗ܂ܢܚܕܝܘܗܝܒܠܒܗ,,ܗܢܐܢܐܚܕܝܘܗܝܒܠܒܗ܂,ܗܢܐܢܐܚܕܝܘܗܝܒܠܒܗ܂
,ܘܢܩܘܡܒܬܪܥܡܠܟܐ,,ܘܢܩܘܡܒܬܪܥܡܠܟܐ,ܘܢܩܘܡܒܬܪܥܡܠܟܐ
ܘܠܐܝܕܥܬ,ܘܠܐܝܕܥܬ,,ܘܢܗܘܐܠܝ,ܘܢܗܘܐܠܝ
ܕܟܠܡܐܕܐܠܦܬܗܠܐܝܬܪ,ܕܠܐ,,,
ܡܢܗ,,,ܡܢܗ,ܡܢܗ
ܡܕܡ܂,,,ܚܕܘܬܐܘܗܢܝܐܘܬ,ܚܕܘܬܐܘܗܢܝܐܘܬ
,,,ܚܝ̈ܐ܂,ܚܝ̈ܐ܁
,,,ܒܪܡܕܝܢܒܗܦܟܐܥܒܕ,ܒܪܡܕܝܢܒܗܦܟܐܥܒܕ
ܘܠܐ,,,ܘܠܐ,ܘܠܐ
ܫܡܥ,ܫܡܥ,,ܫܡܥ,ܫܡܥ
ܡܠܬܝܟܠܟܠܗ܂,,,ܐܢܝ̈ܢ,ܐܢܝܢ
,,,ܡܠܝ̈,ܡܠܝ̈
,,,ܐܠܐ,ܐܠܐ
,,,ܪܕܐ,ܪܕܐ
,ܐܢܝ̈ܢ,,ܐܢܝ̈ܢ,ܐܢܝ̈ܢ
,ܠܡ̈ܠܝ܂,,,
ܐܠܐ,ܐܠܐ,,,
ܒܣܪܒܗ̇ܘܫܛܗ̇܂,ܕܪܐܐܢܝܢ,,,
,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,ܕܒܪܘܚܐ܂,,ܕܒܪܘܚܐ܂,ܕܒܪܘܚܐ܆
,ܘܗܦܟ,,ܘܗܦܟ,ܘܗܦܟ
ܘܐܡܪ,ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
ܐܚܝܩܪ,ܕܐܚܝܩܪ,,ܕܐܚܝܩܪ,ܐܚܝܩܪ
ܥܠܒܫ̈ܢܝܐܘܒܛܠܡܕܥܗ܂ܘܫܪܝܫܛܘܪܐܡܒܕܕܩܢܝܘܬܝܘܡܙܘܢܝܘܡܚܐܥܒܕܝ̈ܘܐܡܗܬܝ܂ܘܡܙܒܢܣܘܣܝܬܝܘܟܘܕܢ̈ܘܬܝܘܟܠܡܐܕܫܦܝܪܒܥܝܢܘ̈ܗܝܥܒܕ܂ܟܕܚܙܝܬܗܠܝܢܘܕܠܝܬܠܗܚܘܣܢܐ,ܐܒܝܣܐܒܠܗ܂ܘܐܗܦܟܗܪܥܝܢܗ܂ܘܐܩܦܢܕܢܒܪܝ,,ܐܒܝܣܐܒܠܗ܂ܘܐܗܦܟܗܪܥܝܢܗ܂ܘܐܩܦܢܕܢܒܪܝ,ܐܒܝܣܐܒܠܗ܂ܘܐܗܦܟܗܪܥܝܢܗ܂ܘܐܩܦܢܕܢܒܪܝ
ܥܠ,ܥܠ,,ܥܠ,ܥܠ
ܡܕܡܕܩܢܐܐ̄ܢܐ,ܢܟܣ̈ܝܘܩܢܝܢ̈ܝ܂,,ܢܟ̈ܣܝܘܩܢܝ̈ܢܝ܂,ܢܟܣܝ̈ܘܩܢܝܢܝ̈܂
,ܡܒܕܪܘܠܐܚܐܣ,,ܡܒܕܪܘܠܐܚܐܣ,ܡܒܕܪܘܠܐܚܐܣ
,ܥܒܕ̈ܝ,,ܥܒܕܝ̈,ܥܒܕܝ̈
,ܟܫܝܪ̈ܐ,,ܟܫܝܪ̈ܐ,ܟܫܝܪ̈ܐ
,ܕܢܢܓܕܐܢܘܢܩܕܡܝ,,ܘܡܢܓܕ,ܘܡܢܓܕ
ܘܥܠ,ܘܥܠ,,ܗ̄ܘ̣ܐ,ܗ̄ܘܐ
ܐ̄ܢܫܝ̈ܒܝܬܝ܂,,,ܠܗܘܢܩܕܡܝ܂ܘܐܦ,ܠܗܘܢܩܕܡܝ܂ܘܐܦ
,ܪ̈ܓܫܝ,,,
,,,ܪ̈ܓܫܝ,
,ܘܟܘܕܢܝܬܝܕܡܩܛܠ܂ܘܟܕܚܙܝܬܠܥܒܝ̈ܕܬܗ,,,ܪ̈ܟܫܝܘܟܘܕܢܝܬ݂̈ܝ
,,,ܘܟܘܕ̈ܢܝܬ݂ܝ,
,,,ܡܩܛܠܘܡܙܒܢ܂ܘܟܕܕܝܢܚܙܝܬܗܟܢ,ܡܩܛܠܘܡܙܒܢ܂ܘܟܕܕܝܢܚܙܝܬܗܟܢ
,,,ܥܒܝܕ̈ܬܗ܂,ܥܒܝܕܬ̈ܗ܂
ܐܡܪܬܠܗ,ܐܡܪܬܠܗ,,ܐܡܪܬܠܗ,ܐܡܪܬܠܗ
,ܕܠܢܟܣ̈ܝ,,ܕܠܢܟܣܝ̈,ܕܠܢܟܣܝ̈
,ܒܪܝ,,ܒܪܝ,ܒܪܝ
ܠܐ,ܠܐ,,ܠܐ,ܠܐ
ܬܩܪܘܒܠܩܢܝܘܬܝ܂ܘܠܐܬܥܝܩܐ̄ܢܫܝ̈ܒܝܬܝܘܥܒܕܝ̈܂ܟܡܐܕܐܝܬܝܒܚܝ̈ܐ,ܬܬܩܪܒ,,ܬܩܪܘܒ܂,ܬܩܪܘܒ܂
,ܐܡܝܪ,,ܐܡܝܪ,ܐܡܝܪ
,ܒܡܬ݂ܠ̈ܐ,,ܒܡܬ̈ܠܐ܂,ܒܡܬܠܐ܂
,ܕܐܝܕܐܕܠܐܩܢܝܬܥܝܢܐ,,ܕܐܝܕܐܕܠܐܩܢܝܬܥܝܢܐ,ܕܐܝܕܐܕܠܐܩܢܝܬܥܝܢܐ
ܠܐ,ܠܐ,,ܠܐ,ܠܐ
,ܚܣܬ܂,,ܚܣܬ܂,ܚܣܬ܂
,ܘܚْܘܝܬ,,ܘܚ̇ܘܝܬ,ܘܚܘܝܬ
,ܐܢܝ̈ܢܗܠܝܢ,,ܐܢܝ̈ܢܗܠܝܢ,ܐܢܝ̈ܢܗܠܝܢ
,ܠܡܪܝ,,ܠܡܪܝ,ܠܡܖܝ
,ܡܠܟܐ܂,,ܡܠܟܐ܂,ܡܠܟܐ܂
,ܟܕܢܦܩܕܡܠܟܐ܂,,ܘܦܩܕ,ܘܦܩܕ
,ܕܠܐ,,ܕܠܐ,ܕܠܐ
,,,ܐ̄ܢܫ,ܐ̄ܢܫ
,ܢܬܩܪܒ,,ܢܬܩܪܒ,ܢܬܩܪܒ
ܐ̄ܢܫ,ܐ̄ܢܫ,,,
ܢܫܬܠܛܥܠܩܢܝܢܝ܂ܗܝܕܝܢܐܢܐܐܚܝܩܪܢܣܒܬܠܘܬܝܐܚܐܕܢܐܕܢܢܒܘܙܪܕܢܘܐܝܬܝܬܗܠܒܝܬܝ܂ܕܐܠܦܝܘܗܝܘܢܐܚܘܕܕܘܟܬܗܕܐܚܘܗܝ܂ܘܟܕܚܙܝܗܝܢܐܕܢ,ܠܩܢܝܢܘ̈ܗܝܕܐܚܝܩܪ,,ܠܩܢܝܢܘ̈ܗܝܕܐܚܝܩܪ,ܠܩܢܝܢܘ̈ܗܝܕܐܚܝܩܪ
,ܣܦܪܐ܂ܗܟܢܐܕܐܟܡܐܕܐܚܝܩܪܒܚܝ̈ܐܐܝܬܘ̈ܗܝܐ̄ܢܫܠܢܟܣܘ̈ܗܝܘܠܒܝܬܗܠܐܢܬܩܪܒ܂ܟܕ,,ܣܦܪܐܟܡܐ,ܣܦܪܐܟܡܐ
,,,ܕܒܚ̈ܝܐ,ܕܒܚܝ̈ܐ
,,,ܐܝܬܘܗܝ܂ܒܬܪܟܢ,ܐܝܬܘܗܝ܂ܒܬܪܟܢ
,ܢܣܒܐܚܝܩܪ,,ܢܣܒܐܚܝܩܪ,ܢܣܒܐܚܝܩܪ
ܠܐܚܘܗܝ,ܠܐܚܘܗܝ,,ܠܢܒܘܙܪܕܢ,ܢܒܘܙܪܕܢ
