162,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 7200,Ar 7/229,Manuscrit 4122,Or. 2313,Sachau 162,Sachau 162,Sado no. 9,Syr 80
omisit,omisit,omisit,٦٠܆,ܒܪܝܒܝܕ,ܒܪܝ܂ܒܡܠܝܒܡܥܠܝܘܒܡܦܩܝ,omisit,ܒܪܝܒܝܕ,ܒܪܝܒܝܕ
,,,,ܡܠܐ,,,ܡܠܐ,ܡܥܠܐ
,,,,ܕܝܠܝ,,,ܕܝܠܝ,ܕܝܠܝ
,,,,ܘܡܦܩܐ܆,,,ܘܡܦܩܐ,ܘܡܦܩܐ܂
,,,,ܘܥܢܝܬܘܐܡܪܬ,ܘܥܢܝܬܘܐܡܪܬ,,ܘܥܢܝܬܘܐܡܪܬ,ܘܥܢܝܬܘܐܡܪܬ
,,,,ܡܢܗܕܐ,ܠܗ,,ܡܢܗܕܐ,ܡܢܗܕܐ
,,,,ܟܘܟܬܐ,,,ܕܘܟܬܐ,ܕܘܟܬܐ
,,,,ܐܣܪܚܥܠܘܗܝ,,,ܐܣܪܚܥܠܘܗܝ,ܐܣܪܚܥܠܘܗܝ
,,,,ܝܘܠܦܢܐ,,,ܝܘܠܦܢܐ,ܝܘܠܦܢܐ܂
,,,,ܕܐܠܦܗ,,,ܕܐܠܦܗ,ܕܐܠܦܗ
,,,,ܗَܘܐ,,,ܗܘܐ,ܗ̄ܘܐ
,,,,ܡܢܩܕܝܡܐܚܝܩܪ,,,ܡܢܩܕܝܡܐܚܝܩܪ,ܡܢܩܕܝܡܐܚܝܩܪ
,,,,ܠܢܕܢ,ܠܢܕܢ,,ܠܢܕܢ,ܠܢܕܢ
,,,ܒܪܝ܂,ܒܪ,ܒܪܝ܂,,ܒܪܟܬܗ,ܒܪ
,,,,ܚܬܗ,,,,ܚܬܗ܂
,,,,ܘܐܡܪܬܠܗܒܪܝ,,,ܘܐܡܪܬܠܗܒܪܝ,ܘܐܡܪܬܠܗܒܪܝ
,,,,,,,,ـ
,,,ܡܢܕܠܐ,ܡܢܕܠܐ,ܡܢܕܠܐ,,ܡܢܕܠܐ,ܡܢܕܠܐ
,,,ܫܡܥ,ܫܡܥ,ܫܡܥ,,ܒܐܕܢ̈ܘܗܝ,ܫܡܥ
,,,ܒܐܕܢܗ,ܒܐܕܢܘ̈ܗܝ,,,,ܒܐܕܢܘ̈ܗܝ܂
,,,ܡܢ,,ܡܢ,,,
,,,ܐܕܢܘܗ̈ܝ܆,,ܐܕܢܘ̈ܗܝ,,,
,,,ܡܢܒܣܬܪ,ܡܢܒܣܬܪ,ܡܢܒܣܬܪ,,ܡܢܒܣܬܪ,ܡܢܒܣܬܪ
,,,ܩܕܠܗ,ܩܕܠܟܡܫܡܫܝܢܠܗ܆,ܩܕܠܗ,,ܩܕܠܗ,ܩܕܠܗ
,,,ܡܫܡܥܝܢ,,ܡܫܡܥܝܢ,,ܡܫܡܥܝܢ,ܡܫܡ̱ܥܝܢ
,,,ܠܗ܀܂܂܂܂٦١܆,,ܠܗ܂,,ܠܗܘܠܫܢܐ,ܠܗ܂
,,,,ܘܥܢܐ,ܥܢܐ,,,ܘܥܢܐ
,,,,ܢܕܢ,ܢܕܢ,,ܢܕܢ,ܢܕܢ
,,,,,ܒܪܝ,,ܒܪܝ,
,,,,ܘܐܡܪ,ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
,,,,ܠܝ܆ܘܐܢَܬ,ܠܝ܂,,ܠܝ܂,ܠܝ܂
,,,,,,,ܐܢ̄ܬܡܢܐܐܬܚܡܬ܂,ܘܐܢ̄ܬ
,,,,ܡܪܝ,,,,ܡܪܝ
,,,,ܠܡܢܐ,ܠܡܢܐ,,,ܠܡܢܐ
,,,,ܐܬܚܡܬ,ܗܟܢܐܬܚܡܬܬ,,,ܐܬܚܡܬ
,,,,ܥܠ,ܥܠ,,ܥܠ,ܥܠ
,,,,ܒܪ,ܒܪܟܥܢܝܬܘܐܡܪܬܠܗ܂ܐܢܐ,,ܒܪ,ܒܪ
,,,,ܚܬܟ܆,,,ܚܬܟ܂,ܚܬܟ܂
,,,,ܬܘܒ,,,ܘܬܘܒ,ܬܘܒ
,,,,ܐܡܪܬܠܗ,,,ܐܡܪܬܠܗ,ܐܡܪܬܠܗ
,,,,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ,,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ
,,,,ܐܘܬܒܬܟ܆ܘܐܢَܬ,ܐܘܬܒܬܟ܂ܘܐܢܬ,,ܐܘܬܒܬܟ܂,ܐܘܬܒܬܟ܂
,,,,,,,ܘܐܢ̄ܬ܂܂,ܘܐܢ̄ܬ
,,,,ܡܢܟܘܪܣܝ,ܡܢܟܘܪܣܝ,,ܡܢܟܘܪܣܝ,ܡܢܟܘܪܣܝ
,,,,ܣܚܦܬܢܝ܆,ܣܚܦܬܢܝ܂,,ܣܚܦܬܢܝ,ܣܚܦ܆ܬܢܝ܂
,,,,ܘܠܝ,ܘܠܝ,,ܘܠܝ,ܘܠܝ
,,,,ܟܐܢܘܬܐܫܘܙܒܬܢܝ,ܟܐܢܘܬܝܫܘܙܒܬܢܝ܂,,ܟܐܢܘܬܐܫܘܙܒܬܢܝ,ܟܐܢܘܬܐܫܘܙܒܬܢܝ
,,,,,,,ܒܪܝ,܂
,,,,ܒܪܝ܆,,,,ܒܪܝ܆
,,,ܗܘܝܬ,ܗܘܝܬ,ܗܘܝܬ,,ܗܘܝܬܠܝ,ܗܘܝܬܠܝ
,,,,ܒܝܬ,ܠܝܒܪܝܐܝܟ,,ܒܝܬ,ܒܝܬ
,,,,,,,,ـ
,,,,ܥܩܪܒܐ,ܥܩܪܒܐ,,ܥܩܪܒܐ,ܥܩܪܒܐ
,,,,ܕܡܚܝܬ,ܕܡܚܐܠܫܘܥܐ܂ܘܐܡܪܠܗ܂ܥܠܠܒܐܫܠܝܐܡܚܝܬܝ܂ܘܡܚܬܠܡ[܂܂]ܠܐܘܐܡܪܝܢܠܗ܂ܡܚܝܬܝ,,ܕܡܚܝܬ,ܕܡܚܝܬ
,,,,ܠܡܪܫܐ,,,ܠܡܪܫܐ܆,ܠܡܪܫܐ
,,,,,ܠܥܘܩܣܐ,,,
,,,,ܕܟܐܦܐ,,,ܕܟܐܦܐ,ܕܟܐܦܐ
,,,,ܕܕܟܪܐ܇,,,ܕܟܪܐ܂ܕܟܪܐ,ܕܕܟܪܐ܂
,,,,ܘܥܢܐ,,,ܘܥܢܐ,ܘܥܢܐ
,,,,ܘܡܪ,,,ܘܐܡܪ,ܘܐܡܪ
,,,,ܠܗܠܠܒܐ,,,ܠܗܠܠܒܐ,ܠܗܠܠܒܐ
,,,,ܫܢܝܐ,,,ܫܐܘܢܐ,ܫܢܝܐ
,,,,ܡܚܝܬ,,,ܡܚܝܬ,ܡܚܝܬ
,,,,ܠܡܚܛܐ,,,ܠܥܘܣܩ̈ܐ,ܠܡܚܛܐ܂
,,,,ܘܐܡܪܬ,,,,ܘܐܡܪܬ
,,,,ܕܡܚܝܬܠܢܘܩܣܐ,,,,ܕܡܚܝܬ
,,,,,,,,ܠܥܘܩܣܐ
,,,,ܕܒܝܫܡܢ,ܕܒܝܫܡܢ,,ܕܒܝܫܡܢ,ܕܒܝܫܡܢ
,,,,ܕܝܠܟܝ܆,ܕܝܠܟܝ܂,,ܕܐܟܝܘܬܘܒܡܚܝܬ,ܕܝܠܟܝ܂
,,,,ܘܡܚܝܬ,,,,ܘܡܚܝܬ
,,,,ܠܓܡܠܐ,,,ܠܓܡܠܐ,ܠܓܡܠܐ
,,,,ܡܢܟܦܪܣܬܗ,,,ܒܦܪܣܬܐ,ܒܦܪܣܬܗ܂
,,,,ܘܐܪܝܡ,,,ܘܐܪܝܡ,ܘܐܪܝܡ
,,,,ܪܫܗ,,,ܪܫܬ,ܪܫܗ
,,,,ܠܫܡܝܐ,,,ܠܫܡܝܐ,ܠܫܡܝܐ
,,,,ܘܐܡܪ,,,ܘܐܡܪܬ,ܘܐܡܪ
,,,,ܠܗܐܝܟܢܦܫܝܬܗܘܐ,,,ܠܗܐܝܟܢܦܫܝܬܗܘܐ,ܠܗܐܝܟܢܦܫܝܬܗܘܐ
,,,,ܢܦܫܟܝ܆,,,ܢܦܫܟ,ܢܦܫܟܝ܂
