162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
omisit,ܘܒܗܒܫܥܬܐ,omisit,omisit,ܘܒܗܒܫܥܬܐ,omisit,omisit,omisit,ܘܒܗܒܫܥܬܐ
,ܐܬܢ̱ܦܚܢܕܢ,,,ܐܬܢܦܚ,,,,ܐܬܢܦܚ
,ܐܝܟܙܩܐ,,,ܐܝܟܙܩܐ,,,,ܐܝܟܙܩܐ
,,,,ܘܦܩܥ,,,,ܘܦܩܥ
,ܘܡܝܬ܂,,,ܘܡܝܬ܆,,,,ܘܡܝܬ܂
,ܘܕܥܒܕܛܒ܉ܕܛܒܡܬܦܪܥ܂ܘܕܥܒܕܕܒܝܫ܉ܒܝܫܬܐܡܬܦܪܥ܂ܘܡܢܕܚܦܪ,,,ܕܥܒܕ,,,,ܕܥܒܕ
,,,,ܛܒܬܐ܆,,,,ܛܒܬܐ
,,,,ܛܒܬܐ,,,,ܛܒܬܐ
,,,,ܡܫܟܚ,,,,ܡܫܟܚ܂
,,,,ܘܕܚܦܪ,,,,ܘܕܚܦܪ
,ܓܘܡܨܐ,,,ܓܘܡܨܐ,,,,ܓܘܡܨܐ
,ܠܚܒܪܗ,,,ܠܚܒܪܗ,,,,ܠܚܒܪܗ܂
,ܒܩܘܡܬܗܡܡܠܐܠܗ܂ܘܠܐܠܗܐܫܘܒܚܐܘܥܠܝܢܪ̈ܚܡܘܗܝܐܡܝܢ܂,,,,,,,
,,,,,,,,ܡܕܠܐ
,,,,ܩܘܡܗ,,,,ܩܘܡܗ
,,,,ܡܕܠܐ,,,,
,,,,,,,,ܒܗ܀
,,,,ܒܗ܀܀܀܀܀܀,,,,
