162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
,ܡܢܕܠܐ,,ܡܢܕܠܐ,ܡܢܕܠܐ,ܡܢܕܠܐ,,ܡܢܕܠܐ,ܡܢܕܠܐ
,ܫܡܥ,,ܫܡܥ,ܫܡܥ,ܫܡܥ,,ܒܐܕܢ̈ܘܗܝ,ܫܡܥ
,,,ܒܐܕܢܗ,ܒܐܕܢܘ̈ܗܝ,,,,ܒܐܕܢܘ̈ܗܝ܂
,ܡܢ,,ܡܢ,,ܡܢ,,,
,ܐܕܢܘܗ̈ܝ܉,,ܐܕܢܘܗ̈ܝ܆,,ܐܕܢܘ̈ܗܝ,,,
,ܡܢܒܣܬܪ,,ܡܢܒܣܬܪ,ܡܢܒܣܬܪ,ܡܢܒܣܬܪ,,ܡܢܒܣܬܪ,ܡܢܒܣܬܪ
,ܩܕܠܗ,,ܩܕܠܗ,ܩܕܠܟܡܫܡܫܝܢܠܗ܆,ܩܕܠܗ,,ܩܕܠܗ,ܩܕܠܗ
,ܡܫܡ̱ܥܝܢ,,ܡܫܡܥܝܢ,,ܡܫܡܥܝܢ,,ܡܫܡܥܝܢ,ܡܫܡ̱ܥܝܢ
,,,,ܘܥܢܐ,,,,
,ܠܗ܂,,ܠܗ܀܂܂܂܂٦١܆,,ܠܗ܂,,ܠܗܘܠܫܢܐ,ܠܗ܂
,,,,,,,,ܘܥܢܐ
,ܥܢܐ,,,,ܥܢܐ,,,
,ܢܕܢ,,,ܢܕܢ,ܢܕܢ,,ܢܕܢ,ܢܕܢ
,ܒܪܝ,,,,ܒܪܝ,,ܒܪܝ,
,ܘܐܡܪ,,,ܘܐܡܪ,ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
,ܠܝ܂,,,ܠܝ܆ܘܐܢَܬ,ܠܝ܂,,ܠܝ܂,ܠܝ܂
,,,,,,,ܐܢ̄ܬܡܢܐܐܬܚܡܬ܂,ܘܐܢ̄ܬ
,,,,ܡܪܝ,,,,ܡܪܝ
,ܠܡܢܐ,,,ܠܡܢܐ,ܠܡܢܐ,,,ܠܡܢܐ
,,,,ܐܬܚܡܬ,ܗܟܢ,,,ܐܬܚܡܬ
,ܐܬܚܡܬܬ,,,,ܐܬܚܡܬܬ,,,
,ܥܠ,,,ܥܠ,ܥܠ,,ܥܠ,ܥܠ
,ܒܪܟ܂,,,ܒܪ,ܒܪܟ,,ܒܪ,ܒܪ
,ܥܢܝܬܘܐܡܪܬܠܗ܂ܐܢܐ,,,ܚܬܟ܆,ܥܢܝܬܘܐܡܪܬܠܗ܂ܐܢܐ,,ܚܬܟ܂,ܚܬܟ܂
,,,,ܬܘܒ,,,ܘܬܘܒ,ܬܘܒ
,,,,ܐܡܪܬܠܗ,,,ܐܡܪܬܠܗ,ܐܡܪܬܠܗ
,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ,,,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ,,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ,ܒܪܝܥܠܟܘܪܣܝܐܕܐܝܩܪܐ
,ܐܘܬܒܬܟ܂,,,ܐܘܬܒܬܟ܆ܘܐܢَܬ,ܐܘܬܒܬܟ܂,,ܐܘܬܒܬܟ܂,ܐܘܬܒܬܟ܂
,ܘܐܢܬ,,,,ܘܐܢܬ,,ܘܐܢ̄ܬ܂܂,ܘܐܢ̄ܬ
,ܡܢܟܘܪܣܝ,,,ܡܢܟܘܪܣܝ,ܡܢܟܘܪܣܝ,,ܡܢܟܘܪܣܝ,ܡܢܟܘܪܣܝ
,ܣܚܦܬܢܝ܂,,,ܣܚܦܬܢܝ܆,ܣܚܦܬܢܝ܂,,ܣܚܦܬܢܝ,ܣܚܦ܆ܬܢܝ܂
,ܘܠܝ,,,ܘܠܝ,ܘܠܝ,,ܘܠܝ,ܘܠܝ
,ܟܐܢܘܬܝܫܘܙܒܬܢܝ܂,,,ܟܐܢܘܬܐܫܘܙܒܬܢܝ,ܟܐܢܘܬܝܫܘܙܒܬܢܝ܂,,ܟܐܢܘܬܐܫܘܙܒܬܢܝ,ܟܐܢܘܬܐܫܘܙܒܬܢܝ
,,,,,,,,܂
,,,,,,,ܒܪܝ,
,,,,ܒܪܝ܆,,,,ܒܪܝ܆
,ܗܘܝܬ,,ܗܘܝܬ,ܗܘܝܬ,ܗܘܝܬ,,ܗܘܝܬ,ܗܘܝܬ
,ܠܝ,,,,ܠܝ,,ܠܝ,ܠܝ
,ܒܪܝ,,,,ܒܪܝ,,,
,,,,ܒܝܬ,,,ܒܝܬ,ܒܝܬ
,ܐܝܟ,,,,ܐܝܟ,,,ـ
,ܥܩܪܒܐ,,,ܥܩܪܒܐ,ܥܩܪܒܐ,,ܥܩܪܒܐ,ܥܩܪܒܐ
,ܕܡܚܝܐ,,,ܕܡܚܝܬ,ܕܡܚܐ,,ܕܡܚܝܬ,ܕܡܚܝܬ
,ܠܫܘܥܐ܂,,,ܠܡܪܫܐ,ܠܫܘܥܐ܂,,ܠܡܪܫܐ܆,ܠܡܪܫܐ
,,,,ܕܟܐܦܐ,,,ܕܟܐܦܐ,ܕܟܐܦܐ
,,,,ܕܕܟܪܐ܇,,,ܕܟܪܐ܂ܕܟܪܐ,ܕܕܟܪܐ܂
,,,,ܘܥܢܐ,,,ܘܥܢܐ,ܘܥܢܐ
,ܘܐܡܪ,,,ܘܡܪ,ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
,ܠܗ,,,ܠܗ,ܠܗ܂,,ܠܗ,ܠܗ
,ܥܠܠܒܐܫܠܝܐܡܚܝܬܝ܂ܘܡܚܬ,,,ܠܠܒܐ,ܥܠܠܒܐܫܠܝܐܡܚܝܬܝ܂ܘܡܚܬ,,ܠܠܒܐ,ܠܠܒܐ
,,,,ܫܢܝܐ,ܠܡ[܂܂]ܠܐ,,ܫܐܘܢܐ,ܫܢܝܐ
,ܠܡܚܛܐ܂,,,,,,,
,ܘܐܡܪܝܢܠܗ܂ܡܚܝܬܝ,,,ܡܚܝܬ,ܘܐܡܪܝܢܠܗ܂ܡܚܝܬܝ,,ܡܚܝܬ,ܡܚܝܬ
,,,,,,,,ܠܡܚܛܐ܂
,,,,ܠܡܚܛܐ,,,ܠܥܘܣܩ̈ܐ,
,ܠܥܘܩܣܐ,,,,ܠܥܘܩܣܐ,,,
,,,,ܘܐܡܪܬ,,,,ܘܐܡܪܬ
,,,,ܕܡܚܝܬܠܢܘܩܣܐ,,,,ܕܡܚܝܬ
,,,,,,,,ܠܥܘܩܣܐ
,ܕܒܝܫܡܢ,,,ܕܒܝܫܡܢ,ܕܒܝܫܡܢ,,ܕܒܝܫܡܢ,ܕܒܝܫܡܢ
,ܕܝܠܟܝ܂,,,ܕܝܠܟܝ܆,ܕܝܠܟܝ܂,,ܕܐܟܝܘܬܘܒܡܚܝܬ,ܕܝܠܟܝ܂
,,,,ܘܡܚܝܬ,,,,ܘܡܚܝܬ
,,,,ܠܓܡܠܐ,,,ܠܓܡܠܐ,ܠܓܡܠܐ
,,,,ܡܢܟܦܪܣܬܗ,,,ܒܦܪܣܬܐ,ܒܦܪܣܬܗ܂
,,,,ܘܐܪܝܡ,,,ܘܐܪܝܡ,ܘܐܪܝܡ
,,,,ܪܫܗ,,,ܪܫܬ,ܪܫܗ
,,,,ܠܫܡܝܐ,,,ܠܫܡܝܐ,ܠܫܡܝܐ
,,,,ܘܐܡܪ,,,ܘܐܡܪܬ,ܘܐܡܪ
,,,,ܠܗܐܝܟܢܦܫܝܬܗܘܐ,,,ܠܗܐܝܟܢܦܫܝܬܗܘܐ,ܠܗܐܝܟܢܦܫܝܬܗܘܐ
,,,,ܢܦܫܟܝ܆,,,ܢܦܫܟ,ܢܦܫܟܝ܂
,ܗܘܝܬܠܝܒܪܝ,,,ܗܘܝܬܠܝܒܪܝ,ܗܘܝܬܠܝܒܪܝ,,ܗܘܝܬܠܝܒܪܝ,ܗܘܝܬܠܝܒܪܝ
,ܐܝܟ,,,,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,ܥܙܐ,,,ܥܙܐ,ܥܙܐ,,ܥܙܐ,ܥܙܐ
,ܕܩܝܡܐ,,,ܕܩܢܬ,ܕܩܝܡܐ,,ܕܩܡܬ,ܕܩܡܐ
,ܗ̄ܘܬ,,,,ܗܘܐ,,,
,ܥܠ,,,ܥܠ,ܥܠ,,ܥܠ,ܥܠ
,ܐܘܓܐ,,,ܦܘܬܐܘܐܟܠܬ,ܐܘܓܐ,,ܦܘܬܐܘܐܟܠܬ,ܦܘܬܐܘܐܟܠܬ
,ܘܐܟܠܐܠܗ܂,,,ܡܢܗ܆,ܘܟܬܒܬ,,ܡܢܗ܂,ܡܢܗ܂
,ܘܐܡܪܠܗܐܘܓܐ܂ܡܛܠܡܢܐܐܟܠܐ,,,ܐܡܪܐܠܗܦܘܬܐ,ܘܐܡܪܠܗܐܘܓܐ܂ܡܛܠܡܢܐܐܟܠܐ,,ܐܡܪܐܠܗܦܘܬܐ,ܐܡܪܐܠܗܦܘܬܐ
,ܐܢܬܝ,,,ܗَܝ܆,ܐܝܬܝ,,ܗܝ,ܗܝ܆
,ܠܝ܂ܕܡܫܟܟܝ,,,ܥܠܡܘܢܐܟܠܬܝ,ܠܝ܂ܕܡܫܟܟܝ,,ܥܠܡܘܢܐܟܠܬܝ,ܥܠܡܘܢܐܟܠܬܝ
,,,,,,,ܠܝ,ܠܝ
,,,,ܕܗܐ,,,ܕܗܐ,ܕܗܐ
,,,,ܓܠܕܢܝ,,,ܓܠܘܕܟܝ,ܓܠܕܟܝ
,ܒܥܩܪܝ,,,ܒܥܩܪܝ,ܒܥܩܪܝ,,ܒܥܩܪܝ,ܒܥܩܪܝ
,ܦܠܚܝܢ,,,ܦܠܚܝܢ,ܦܠܚܝܢ,,ܦܠܚܟ,ܦܠܚܝܢ
,ܠܗ܂,,,ܠܗ܆,ܠܗ܂,,ܠܗ܂,ܠܗ܂
,ܐܡܪܐܠܗ,,,ܥܢܬ,ܐܡܪܐܠܗ,,ܥܢܬ,ܥܢܬ
,ܥܙܐ܂ܐܟܠܬܟܒܚ̈ܝܝ,,,ܥܙܐ,ܥܙܐ,,ܥܙܐ,ܥܙܐ
,,,,ܘܐܡܪܬܠܗ,ܐܟܠܟܒܢܝܚ,,ܘܐܡܪܬܠܗ,ܘܐܡܪܬܠܗ
,,,,ܒܚܝ̈ܐ,,,ܒܚ̈ܝ,ܒܚܝ̈ܐ
,ܘܒܡܘܬܝ,,,,ܘܒܡܘܬܝ,,,
,ܡܢܥܩܪܟܢܥܩܪܘܢܟ܂,,,ܐܟܘܠ,ܡܢܥܩܪܟܢܥܩܪܘܢܟ܂,,ܐܟܘܠ,ܐܟܘܠ
,,,,ܡܢܟܝ܆,ܘܗܘܝܬ,,ܡܢܟ܂ܒܡܘܬܢܥܩܪܘܢܟܝ,ܡܢܟܝ
,,,,ܘܒܡܘܬܝ,,,,ܘܒܡܘܬܝ
,,,,ܢܩܪܘܢܟܝ,,,,ܢܥܩܪܘܢܟܝ܂
,ܗܘܝܬ,,,ܗܘܝܬ,,,ܗܘܝܬ,ܗܘܝܬ
,ܠܝܒܪܝܐܝܟ,,,ܠܝܒܪܝܐܝܟ,ܠܝܒܪܝܐܝܟ,,ܠܝܒܪܝܐܝܟ,ܠܝܒܪܝܐܝܟ
,ܗܘ,,,ܐَܢܫ,ܗܘ,,ܐ̄ܢܫ,ܐ̄ܢܫ
,ܕܫܕܐ,,,ܕܫܕܐ,ܕܫܪܐ,,ܕܫܕܐ,ܕܫܕܐ
,ܟܐܦܐ,,,ܟܐܦܐ,ܟܐܦܐ,,ܟܐܦܐ,ܟܐܦܐ
,ܠܫܡܝܐ܉,,,ܠܫܡܝܐ܆,ܠܫܡܝܐ܂,,ܠܫܡܝܐ܂,ܠܫܡܝܐ܂
,ܘܠܫܡܝܐܠܐ,,,ܘܠܫܡܝܐܠܐ,ܘܠܫܡܝܐܠܐ,,ܘܠܫܡܝܐܠܐ,ܘܠܫܡܝܐܠܐ
,ܡܛܬ܂,,,ܡܛܬ܆,ܡܛܬ܂,,ܡܛܬ,ܡܛܬ܂
,ܘܚܛܗܐܡܢܐܠܗܐ,,,ܘܚܛܗܐܡܢܐܠܗܐ,ܘܚܛܗܐܡܢܐܠܗܐ,,ܘܚܛܗܐܡܢܐܠܗܐ,ܘܚܛܗܐܡܢܐܠܗܐ
,ܩܒܠ܂,,,ܩܒܠ܆,ܩܒܠ܂,,ܐܩܒܠ,ܩܒܠ܂
,ܗܘܝܬܠܝ,,,ܗܘܝܬܠܝ,ܗܘܝܬܠܝ,,ܗܘܝܬܠܝ,ܗܘܝܬܠܝ
,ܒܪܝ,,,ܒܪܝ܆,ܒܪܝ,,ܒܪܝ,ܒܪܝ܆
,ܐܝܟ,,,ܐܝܟ,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,ܗܘ,,,ܐَܢܫ,ܗܘ,,ܐܢܫܕܫ,ܐ̄ܢܫ
,ܕܚܙܐܠܚܒܪܗ,,,ܕܚܙܐܠܚܒܪܗ,ܕܚܙܐܠܚܒܪܗ,,ܕܚܙܐܠܚܒܪܗ,ܕܚܙܐܠܚܒܪܗ
,ܕܪܥܠ,,,ܕܪܥܠ,ـܕܪ[܂܂]ܠ,,ܕܪܥܠ,ܕܪܥܠ
,ܡܢ,,,ܡܢ,ܡܢ,,ܡܢ,ܡܢ
,ܩܘܪܫܗ܂,,,ܩܘܪܫܐ܆,ܩܘܪܫܗ܂,,ܩܘܪܫܐ,ܩܘܪܫܐ
,ܘܫܩܠ,,,ܘܫܩܠ,ܘܫܩܠ,,ܘܫܩܐܕܘܠܕܡܝܐܘܐܪܡܝ܂ܥܠܘܗܝ,ܘܫܩܠ
,ܓܪܒܐ,,,ܕܘܠܐܕܡܝ̈ܐܘܐܪܡܝ,ܥܪܒܐ,,,ܕܘܠܐܕܡܝ̈ܐܘܐܪܡܝ
,ܕܡ̈ܝܐ,,,ܥܠܘܗܝ܆,ܕܡ̈ܝܐ,,,
,ܘܕܡܐ,,,,ܘܪܡܐ,,,
,ܥܠܘܗܝ܂,,,,ܥܠܘܗܝ܂,,,ܥܠܘܗܝ܂
,ܠܘܝ,,,ܠܘܝ,ܠܘܝ,,ܠܘܝ,ܠܘܝ
,ܕܝܢ,,,,ܕܝܢ,,,
,ܒܪܝ,,,ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ
,ܡܐ,,,ܕܡܐ,ܡܐ,,ܕܡܐ,ܕܡܐ
,ܕܩܛܠܬܢܝܡܫܟܚ,,,ܕܩܛܠܬܢܝܡܫܟܚ,ܕܩܛܠܬܢܝܡܫܟܚ,,ܕܩܛܠܬܢܝܡܫܟܚ,ܕܩܛܠܬܢܝܡܫܟܚ
,ܗ̄ܘܝܬ,,,ܗܘܝܬ,ܗܘܝܬ,,ܗܘܝܬ,ܗܘܝܬ
,ܕܬܩܘܡܒܕܘܟܬܝ,,,ܕܬܡܠܐ,ܕܬܩܘܡܒܕܘܟܬܝ,,ܕܬܬܡܠܐܕܘܟܬܐ,ܕܬܡܠܐ
,܂,,,ܕܘܟܬܝ܆,܁,,,ܕܘܟܬܝ܂
,ܗܘܝܬ,,,ܬܗܘܐ,ܗܘܝܬ,,ܬܗܘܐ,ܬܗܘܐ
,ܕܝܢ,,,ܕܝܢ,ܕܝܢ,,ܕܝܢ,ܕܝܢ
,ܝܕܥ,,ܝܕܥ,ܝܕܥ,ܝܕܥ,,ܝܕܥ,ܝܕܥ
,ܐܢܬܒܪܝ܂,,ܒܪܝ,ܒܪܝ܆,ܐܢܬܒܪܝ܂,,ܒܪܝ,ܒܪܝ܆
,ܕܐܠܘ,,ܕܐܠܘ,ܕܐܢܢܐܪܟ,ܕܐܠܘ,,ܕܐܢܢܐܪܟ,ܕܐܢܢܐܪܟ
,ܢܪܒܐܕܘܢܒܐ,,ܐܪܟ,,ܢܪܒܐܕܘܢܒܐ,,,
,,,ܕܘܢܒܗ,ܕܘܢܒܗ,,,ܕܘܢܒܗ,ܕܘܢܒܗ
,ܕܚܙܝܪܐܫܒܥ,,ܕܚܙܝܪܐܫܒܥ,ܕܚܙܝܪܐܫܒܥ,ܕܚܙܝܪܐܫܒܥ,,ܕܚܙܝܪܐܫܒܥ,ܕܚܙܝܪܐܫܒܥ
,ܐܡܝ̈ܢ܂,,ܐܡܝ̈ܢ܆,ܐܡܝ̈ܢ܆,ܐܡܝܢ܂,,ܐܡܝܢ,ܐܡܝ̈ܢ܆
,ܒܕܘܟܬܣܘܣܝܐ,,ܒܕܘܟܬܗ,ܚܠܦ,ܒܕܘܟܬܣܘܣܝܐ,,ܚܠܦ,ܚܠܦ
,,,ܕܣܘܣܝܐ,ܕܣܘܣܝܐ,,,ܕܣܘܣܝܐ,ܕܣܘܣܝܐ
,ܠܐ,,ܠܐ,ܠܐ,ܠܐ,,ܠܐ,ܠܐ
,ܩܐܡ܂,,ܩܐܡ܂,ܩܐܡ܆,ܩܐܡ܂,,ܘܐܡ܂,ܩܐܡ܂
,ܘܐܢܢܗܘܐ,,ܘܐܢܢܗܘܐ,ܘܐܢܢܗܘܐ,ܘܐܢܢܗܘܐ,,ܘܐܢܢܗܘܐ,ܘܐܢܢܗܘܐ
,,,,,,,ܣܥܪܗ,
,ܪܟܝܟ,,,,ܪܟܝܟ,,ܪܟܝܟ,
,ܣܥܪܗ,,ܣܥܪܗ,ܣܥܪܗ,ܣܥܪܗ,,,ܣܥܪܗ
,ܘܩܘܙ܂,,ܕܪܟܝܟܐܝܟܒܘܨܐ,ܫܦܝܪܘܪܟܝܟ܆,ܘܩܘܙ܂,,,ܪܟܝܠ
,ܡܡܬܘܡ,,ܡܡܬܘܡ,,ܡܡܬܘܡ,,ܘܫܦܝܪ,ܘܫܦܝܪ
,,,,,,,,܆
,ܥܠܓܘܫܡܐ,,ܥܠܓܘܫܡܐ,ܥܠܓܘܫܡܐ,ܥܠܓܘܫܡܐ,,ܥܠܓܘܫܡܐ,ܥܠܓܘܫܡܐ
,ܕܒܪ,,ܕܒܢ̈ܝ,ܕܒܢܝ̈,ܕܒ̈ܢܝ,,ܕܒܢ̈ܝ,ܕܒܢ̈ܝ
,ܚܐܪ̈ܐܠܐ,,ܚܐܪ̈ܐܠܐ,ܚܐܪ̈ܐܠܐ,ܚܐܪ̈ܐܠܐ,,ܚܐܪ̈ܐܠܐ,ܚܐܪ̈ܐܠܐ
,ܣܠܩ܂,,ܣܠܩ܂,ܩܐܡ܆,ܣܠܩ܂,,ܩܐܡ܂,ܩܐܡ܂
,ܒܪܝ,,܂܂܂܂܂܂܂٦٢܆,,ܒܪܝ,,,
,ܐܢܐܐܡܪܬ,,,ܐܢܐܐܡܪܬ,ܐܢܐܐܡܪܬ,,ܐܢܐܐܡܪܬ,ܐܢܐܐܡܪܬ
,,,,,,,,ܒܪܝ
,ܕܬܗܘܐ,,,ܕܬܗܘܐ,ܕܬܗܘܐ,,,ܕܬܗܘܐ
,,,,ܒܪܝ,,,ܒܪܝ,
,ܚܠܦܝ܂,,,,ܚܠܦܝ܂,,,ܚܠܦܝ
,,,,ܚܠܦܝ̈܆,,,ܕܗܘܐܚܠܦ,
,ܘܒܝܬܝ,,,ܘܒܝܬܝ,ܘܒܝܬܝ,,ܘܒܝܬܝ,ܘܒܝܬܝ
,ܘܢܟ̈ܣܝܐܢܬ,,,ܩܢܝܢܝ̈,ܘܢܟ̈ܣܝܐܢܬ,,ܘܩܫܝܫ̈ܝ,ܘܩܢܝܬ̈ܝ
,ܬܩܢܐ,,,ܬܩܢܐ,ܬܩܢܐ,,ܬܩܢܐ,ܬܩܢܐ
,ܐܢܘܢ,,,,ܐܢܘܢ,,ܘܬܐܪܬܐ,ܘܬܐܪܬ܆
,ܘܬܐܪܬ,,,ܘܬܐܪܬ,ܘܬܐܪܬ,,,
,ܐܢܘܢ܂ܘܠܐܠܗܐ,,,ܘܠܐܫܦܪܬܠܐܠܗܐ܆,ܐܢܘܢ܂ܘܠܐܠܗܐ,,,ܘܠܐܫܦܪܬܠܐܠܗܐ܆
,ܠܐ,,,,ܠܐ,,ܠܐ,
,ܫܦܪ,,,,ܫܦܪ,,ܫܦܝܪܠܐܠܗܐ,
,ܘܠܐܫܡܥ,,,ܘܠܐܫܡܥ,ܘܠܐܫܡܥ,,ܘܠܐܫܡܥ,ܘܠܐܫܡܥ
,ܒܩܠܟ܂,,,ܒܩܠܟ܆,ܒܩܠܟ܂,,ܒܩܠܟ܂,ܒܩܠܟ܂
,ܗܘܝܬܠܝܒܪܝܐܝܟܐܪܝܐܕܦܓܥ,,ܗܘܝܬܠܝܒܪܝܐܝܟܐܪܝܐܕܦܓܥ,ܗܘܝܬܠܝܒܪܝܐܝܟܐܪܝܐܕܦܓܥ,ܗܘܝܬܠܝܒܪܝܐܝܟܐܪܝܐܕܦܓܥ,,ܗܘܝܬܠܝܒܪܝܐܝܟܐܪܝܐܕܦܓܥ,ܗܘܝܬܠܝܒܪܝܐܝܟܐܪܝܐܕܦܓܥ
,ܒܚܡܪܐ,,ܒܚܡܪܐ,ܒܚܡܪܐ܆ܐܝܟܫܠܡܐܕܝܠܝܢܗܘܐܫܠܡܐܩܘܪܢܠܝܣ܆,ܒܚܡܪܐ,,ܒܚܡܪܐ܂ܐܡܪ,ܒܚܡܪܐ܂ܐܡܪ
,ܡܢܨܦܪܗܕܝܘܡܐܘܐܡܪܠܗ܂,,ܒܥܕܢܨܦܪܐ܂,,ܡܢܨܦܪܗܕܝܘܡܐܘܐܡܪܠܗ܂,,,
,,,ܘܐܡܪ,ܘܐܡܪ,,,,
,,,ܠܗ,ܠܗ,,,ܠܗ,ܠܗ
,,,ܐܪܝܐ,ܚܡܪܐ܆,,,ܐܪܝܐ,ܐܪܝܐ
,ܬܐ,,ܬܐ,,ܬܐ,,ܬܐ,ܬܐ
,ܒܫܠܡ,,ܒܫܠܡ,,ܒܫܠܡܐ,,ܒܫܠܡܐ,ܒܫܠܡܐ
,ܡܪܝ,,ܡܪܝ,,ܡܪܝ,,ܡܪܝ,ܡܪܝ
,ܩܘܪܝܣ܂,,ܩܘܪܝܘܣ܂,,ܩܘܪܝܣ,,ܩܘܪܝܣ,ܩܘܪܢܠܝܘܣ܆ܘܐܡܪܠܗܚܡܪܐ܆
,ܗܘܕܝܢܐܡܪܠܗ܂,,ܥܢܐ,,ܗܘܕܝܢܐܡܪܠܗ܂,,ܥܢܐ,
,,,ܚܡܪܐ,,,,ܡܪܐ,
,,,ܘܐܡܪ,,,,ܘܐܡܪ,
,,,ܠܗ܆ܗܢܐ,,,,ܠܐܪܝܐ,
,ܐܝܟ,,,ܐܝܟ,ܐܝܟ,,ܐܝܟ,ܐܝܟ
,,,,,ܫܠܡ,,,
,ܫܠܡܐ,,ܫܠܡܐ,ܫܠܡܐ,ܫܠܡܐ,,ܫܠܡܐ,ܫܠܡܐ
,ܕܝܗܒܐܢܬܠܝ܂,,ܢܐܪܥܠܓܒܪܐ,ܕܝܠܝ,ܕܝܗܒܐܢܬܠܝ܂,,ܕܝܠܝ,ܕܝܠܝ
,ܢܗܘܐ,,,ܢܗܘܐ,ܢܗܘܐ,,ܢܗܘܐ,ܢܗܘܐ
,ܠܗܘ,,,ܫܠܡܐ,ܕܗܘ,,ܫܠܡܗ,ܫܠܡܐ
,ܕܐܣܪܢܝ,,ܕܐܣܪܢܝ,ܕܓܒܪܐ,ܕܐܣܪܢܝ,,ܕܓܒܪܐ,ܕܓܒܪܐ
,ܒܪܡܫܐ,,ܒܪܡܫܐ܂,ܕܣܪܚ,ܒܪܡܫܐ,,ܕܐܣܪܚ,ܕܣܪܚ
,ܘܠܐ,,ܘܠܐ,ܘܠܐ,ܘܠܐ,,ܘܠܐ,ܘܠܐ
,ܚܝܨܗ,,ܚܨܗ,ܚܠܨܢܝ܆,ܚܨܗ,,ܚܠܨܢܝܗܘܝܬ܂܂܂ܒܩܩܠܬܐܘܐܫܟܚܗ,ܚܠܝܨܢܝ܂
,ܠܐܣܘܪܝ܂,,شدّܠܐܣܪܝ܆,,ܠܐܣܘܪܝ܂,,,
,ܕܐܦܝ̈ܟ,,ܘܐܦܝ̈ܟ,ܘܐܦܝ̈ܟ,ܘܐܦܝܟ,,,ܘܐܦܝ̈ܟ
,,,ܚܙܝܬ܀٦٣܆,ܕܝܠܟ,,,,ܕܝܠܟ
,ܠܐ,,,ܠܐ,,,,ܠܐ
,ܚܙܝܬ܂ܒܪܝܦܚܐܨܠܐ,,,ܚܙܐ,ܚܙܝܬ܂ܒܪܝܦܚܐܨܠܐ,,,ܚܙܐ
,ܗ̄ܘܐܒܩܩܠ̄ܬܐ܂,,,ܗܘܝܬ܆,,,,ܗ̄ܘܝܬ܂
,,,ܗܘܝܬܠܝܒܪܝܐܝܟܦܚܐ,ܗܘܝܬܠܝܒܪܝܐܝܟܦܚܐ,,,,ܗܘܝܬܠܝܒܪܝܐܝܟܦܚܐ
,,,ܗܘ,,,,,ܕܨܠܝܐܗ̄ܘܬܒܩܩ̱ܠܬܐ܂ܘܐܫܟܚܗ
,,,ܕܨܠܐ,ܕܨܠܐ,,,,
,,,ܗܘܐܒܩܩܠܬܐ܂,ܗܘܬܒܩܩܠܬܐ܆ܘܐܫܟܚܗ,ܗܘܐܒܩܩܠܬܐ܂,,,
