162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
omisit,ܒܪܝ܂,omisit,٦٠܆,ܒܪܝܒܝܕ,ܒܪܝ܂,omisit,ܒܪܝܒܝܕ,ܒܪܝܒܝܕ
,,,,ܡܠܐ,ܒܡܠܝ,,ܡܠܐ,ܡܥܠܐ
,ܒܡܥܠܝ,,,ܕܝܠܝ,ܒܡܥܠܝ,,ܕܝܠܝ,ܕܝܠܝ
,ܘܒܡܦܩܝ܂,,,ܘܡܦܩܐ܆,ܘܒܡܦܩܝ,,ܘܡܦܩܐ,ܘܡܦܩܐ܂
,ܘܥܢܝܬ,,,ܘܥܢܝܬܘܐܡܪܬܡܢܗܕܐ,ܘܥܢܝܬ,,ܘܥܢܝܬܘܐܡܪܬܡܢܗܕܐ,ܘܥܢܝܬܘܐܡܪܬܡܢܗܕܐ
,,,,ܟܘܟܬܐ,,,ܕܘܟܬܐ,ܕܘܟܬܐ
,,,,ܐܣܪܚܥܠܘܗܝ,,,ܐܣܪܚܥܠܘܗܝ,ܐܣܪܚܥܠܘܗܝ
,,,,ܝܘܠܦܢܐ,,,ܝܘܠܦܢܐ,ܝܘܠܦܢܐ܂
,,,,ܕܐܠܦܗ,,,ܕܐܠܦܗ,ܕܐܠܦܗ
,,,,ܗَܘܐ,,,ܗܘܐ,ܗ̄ܘܐ
,,,,ܡܢܩܕܝܡܐܚܝܩܪ,,,ܡܢܩܕܝܡܐܚܝܩܪ,ܡܢܩܕܝܡܐܚܝܩܪ
,,,,ܠܢܕܢ,,,ܠܢܕܢ,ܠܢܕܢ
,,,,ܒܪ,,,ܒܪܟܬܗ,ܒܪ
,,,,ܚܬܗ,,,,ܚܬܗ܂
,ܘܐܡܪܬܠܗ,,,ܘܐܡܪܬܠܗ,ܘܐܡܪܬܠܗ,,ܘܐܡܪܬܠܗ,ܘܐܡܪܬܠܗ
,ܠܢܕܢ,,,,ܠܢܕܢ,,,
,ܒܪܝ܂,,ܒܪܝ܂,,ܒܪܝ܂,,,
,ܒܪܝ,,,ܒܪܝ,,,ܒܪܝ,ܒܪܝ
,,,,,,,,ـ
