433,Sachau_336
ܒܫܡܝܠܦܪܥܘܢܡܠܟܐ,ܒܫܡܝܠܦܪܥܘܢܡܠܟܐ
ܕܐܝܬܒܡܨܪܝܢ܂,ܕܡܨܪܝܢ܂
ܘܗܟܢܐܟܬܒܒܗ܂ܟܕܐܓܪܬܐܬܡܛܐܠܘܬܟ܂,ܘܗܟܢܐܟܬܒܒܗ܂ܟܕܐܓܪܬܐܬܡܛܐܠܘܬܟ܂
ܦܘܩܠܐܘܪܥܝ,ܦܘܩܝܠܐܘܪܥܝ܂
ܠܦܩܥܬܐܕܒܬܝܡܢܐ܂ܒܝܘܡ,ܠܦܩܥܬܐܕܒܬܝܡܢܐ܂ܒܝܘܡ
ܥܣܪ̈ܝܢ,ܥܣܪܝܢ
ܘܚܡܫܐܒܐܒܝܪܚܐ܂ܘܐܢܐ,ܘܚܡܫܐܒܐܒܝܪܚܐ܂ܘܐܢܐ
ܡܥܠܐ̄ܢܐܠܟܠܢܝܢܘܐ܂,ܐܥܠܟܢܝܢܘ̈ܐ܂
ܘܬܐܚܘܕܒܗܡܠܟܘܬܐܕܠܐܩܪܒܐ܂ܘܕܡܝܐܢܝܢ,ܘܬܐܚܘܕܒܗܡܠܟܘܬܐܕܠܐܩܪܒܐ܂ܘܕܡܝܐܢܝܢ
,ܐܓܪ̈ܬܐ
ܠܟܬܝ̈ܒܬܝ,ܠܟܬܝ̈ܒܬܝ
ܒܐܝ̈ܕܝ܂ܘܛܒܥ,ܒܐܝܕ̈ܝ܂ܘܛܒܥ̈
ܐܢܝܢ,ܐܢܝܢ
ܒܥܙܩܬܝ,ܒܥܙܩܬ
ܕܝܠܝ܂ܘܫܕܐܐܢܝܢܒܚܕܡܢ,ܕܝܠܝ܂ܘܫܕܐܐܢܝܢܒܚܕܡܢ
ܬܘܢܘ̈ܗܝ,ܬܘܢܘܗ̈ܝ
ܕܡܠܟܐ܂ܟܕܟܬܒܢܕܢܐܓܪܬܐܠܐܚܝܩܪܐܒܘܗܝܥܠܦܘܡ,ܕܡܠܟܐ܂ܟܕܟܬܒܢܕܢܐܓܪܬܐܠܐܚܝܩܪܐܒܘܗܝܥܠܦܘܡ
ܡܠܟܐ,ܡܠܟܐ܂
ܘܬܘܒܟܬܒܐܓܪܬܐ,ܘܬܘܒܟܬܒܐܓܪܬܐ
ܐ̄ܚܪܬܐ,ܐَܚܪܬܐ܂
ܐܝܟܕܡܢܡܪܝ,ܐܝܟܕܡܢܡܪܝ
ܡܠܟܐ,ܡܠܟܐ܂
ܡܢܣܪܚܕܘܡܠܐܚܝܩܪܣܦܪܐܕܡܪܝܫܠܡ܂ܟܕܐܓܪܬܐܗܕܐ,ܡܢܣܪܚܕܘܡܠܐܚܝܩܪܣܦܪܐܕܡܪܝܫܠܡ܂ܟܕܐܓܪܬܐܗܕܐ
ܬܬܩܒܠ܂,ܐܬܩܒܠܬ܂
ܟܢܫܚܝܠܐܟܠܗܠܛܘܪܐ܂ܘܡܢܬܡܢܦܘܩܠܦܩܥܬ,ܟܢܫܚܝܠܐܟܠܗܠܛܘܪܐ܂ܘܡܢܬܡܢܦܘܩܠܦܩܥܬ
ܢܫܪܝܢ܂ܒܝܘܡ܂ܟܗ܂,ܢܫܪ̈ܐܒܝܘܡܥܣܪܝܢܘܚܡܫܐ
ܒܝܪܚܐ,ܒܝܪܚܐ
,ܕܐܒ܂
ܘܡܐܕܚܙܐ,ܘܡܐܕܚܙܐ
ܐܢ̄ܬ,ܐܢَܬ
ܠܝܕܡܬܩܪܒ,ܠܝܕܡܬܩܪܒ
ܐ̄ܢܐ,ܐَܢܐ
ܠܘܬܟ܂ܣܕܘܪܚܝܠܐܠܘܩܒܠܝ܂ܐܝܟܓܒܪܐ,ܠܘܬܟ܂ܣܕܘܪܚܝܠܐܠܘܩܒܠܝ܂ܐܝܟܓܒܪܐ
ܕܥܬܝܕܠܩܪܒܐ܂,ܕܡܛܝܒܠܩܖܒܐ܂
ܡܛܠܕܐܝܙ̈ܓܕܐܕܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܐܬܘܠܘܬܝ܂ܕܢܕܥܘܢ,ܡܛܠܕܐܝܙ̈ܓܕܐܕܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܐܬܘܠܘܬܝ܂ܕܢܕܥܘܢ
ܡܢܐ,ܟܡܐ
ܚܝܠܐܐܝܬܠܝ܂,ܚܝܠܐܐܝܬܠܝ܂
ܘܫܕܪܗ,ܘܫܕܪܘܗܠܡ
ܠܝ,ܠܝ
ܗܕܐ,
ܥܡܬܪܝܢܓܒܪ̈ܝܢ܂ܟܕ,ܥܡܬܪܝܢܓܒܪ̈ܝܢ܂ܟܕ
ܝܗ̄ܒ,ܝܗَܒ
ܢܕܢܒܪܝܠܡܠܟܐܐܓܪܬܐ܂ܗܝܕܟܬܒܥܠܦܘܡܐܚܝܩܪ܂ܗܝܕܝܢܠܒܟܗܒܪܝܢܕܢܠܚܕܐܡܢ,ܢܕܢܒܪܝܠܡܠܟܐܐܓܪܬܐ܂ܗܝܕܟܬܒܥܠܦܘܡܐܚܝܩܪ܂ܗܝܕܝܢܠܒܟܗܒܪܝܢܕܢܠܚܕܐܡܢ
ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ܂
ܐܝܟܗܘ,ܐܝܟܗܘ
ܕܡܫܟܚܘܗ,ܕܡܫܟܚܘ
ܐܫܟܚܗ܂ܘܩܪܗܩܕܡܡܠܟܐ܂ܘܟܕܫܡܥܣܓܝ,ܐܫܟܚܗ܂ܘܩܪܗܩܕܡܡܠܟܐ܂ܘܟܕܫܡܥܣܓܝ
ܪܓܙ,ܪܓ
ܟܕܐܬܚܡܬܡܠܟܐܥܠܐܚܝܩܪ܂ܘܗܟܢܐ,ܟܕܐܬܚܡܬܡܠܟܐܥܠܐܚܝܩܪ܂ܘܗܟܢܐ
ܐܡܪ,ܐܡܪ܂
ܐܘܢܐܠܗܐ,ܐܘܢܐܠܗܐ
,ܐܠܗܐ܂
ܡܢܐ,ܡܢܐ
ܚܛܝܬ܆ܠܗ,ܚܛܝܬܠܟܘܠܗ
ܠܐܚܝܩܪܕܗܟܢܐܨܒܐܕܢܥܒܕ,ܠܐܚܝܩܪܕܗܟܢܐܨܒܐܕܢܥܒܕ
ܠܝ܂,ܠܝ
ܟܕܡܦܢܐܢܕܢܠܡܠܟܐܡܛܠܐܚܝܩܪ܂,ܟܕܡܦܢܐܢܕܢܠܡܠܟܐܡܛܠܐܚܝܩܪ܂
ܗܝܕܝܢ,ܗܝܕܝܝܢ
ܥܢܐܢܕܢܘܐܡܪܠܡܠܟܐ܂ܠܐܬܩܨܘܦܡܪܝ,ܥܢܐܢܕܢܘܐܡܪܠܡܠܟܐ܂ܠܐܬܩܨܘܦܡܪܝ
ܡܠܟܐ܂,ܡܠܟܐ
ܢܐܙܠܢܦܘܩܠܦܩܥܬܢܫܪܝܢܐܝܟܕܟܬܝܒ,ܢܐܙܠܢܦܘܩܠܦܩܥܬܢܫܪܝܢܐܝܟܕܟܬܝܒ
ܒܐܓܬܐ,ܒܐܓܪܬܐ
ܗܕܐ܂,ܗܕܐ܂
ܘܡܢ,ܕܡܢ
ܬܡܢܝܕܥܝܢܢܫܪܪܐܕܗܠܝܢ܂ܘܟܠܕܦܩܕ,ܬܡܢܝܕܥܝܢܢܫܪܪܐܕܗܠܝܢ܂ܘܟܠܕܦܩܕ
ܐܢ̄ܬܢܗܘܐ܂,ܐܢَܬܢܗܘܐ܁
ܟܕܕܝܢܦܩܕܡܠܟܐ,ܟܕܕܝܢܦܩܕܡܠܟܐ
ܕܢܬܛܝܒ̈ܘܢ,ܕܢܬܛܝܒܘܢ
ܕܢܣܩܘܢܠܦܩܥܬܐ܂ܕܢܚܙܘܢܫܪܪܐܕܝܠܗܕܣܘܥܪܢܐܘܕܒܪܢܕܢܒܪܝܠܡܠܟܐ܂ܘܐܬܘ,ܕܢܣܩܘܢܠܦܩܥܬܐ܂ܕܢܚܙܘܢܫܪܪܐܕܝܠܗܕܣܘܥܪܢܐܘܕܒܪܢܕܢܒܪܝܠܡܠܟܐ܂ܘܐܬܘ
ܘܢܫܟܚܘܢܢܝ܂,ܕܢܫܟܚܘܢܢܝ
ܘܠܚܝܠܐ,ܘܠܚܝܠܐ
ܕܥܡ,ܕܥܡܝ
ܒܦܩܥܬ,ܒܦܩܥܬ
ܢܫܪܝܢ܂,ܢܫܪ̈ܝܢ܂
ܘܟܕܚܙܝܬܗ,ܘܟܕܚܙܝܬܗ
ܘܐܬܐ,ܕܐܬܐ
ܠܘܩܒܠܝܣܕܪܬܚܝܠܐܠܩܘܒܠܗܐܝܟܕܠܩܪܒܐܥܠܬܘܟܠܢܐܕܐܓܪܬܐܗܝܕܫܕܪܠܝܒܪܝ܂ܘܐܡܪ,ܠܘܩܒܠܝܣܕܪܬܚܝܠܐܠܩܘܒܠܗܐܝܟܕܠܩܪܒܐܥܠܬܘܟܠܢܐܕܐܓܪܬܐܗܝܕܫܕܪܠܝܒܪܝ܂ܘܐܡܪ
ܠܗ,
ܒܪܝܠܡܠܟܐ܂ܙܠܠܒܝܬܟ,ܒܪܝܠܡܠܟܐ܂ܙܠܠܒܝܬܟ
ܒܢܝܚܐܡܪܝ܁,ܒܢܝܚܐ܂ܐܘܡܪܝ܂
ܘܐܢܐܠܐܚܝܩܪܐܒܝܡܝܬܐ,ܘܐܢܐܠܐܚܝܩܪܐܒܝܡܝܬܐ
ܐ̄ܢܐ,ܐَܢܐ
ܠܗܠܩܕܡܝܟ܂ܘܡܠܟܐܐܙܠܠܒܝܬܗ܂ܟܕܕܝܢܐܬܐܢܕܢܒܐܝܙܓܕܘܬܐܠܘܬ,ܠܗܠܩܕܡܝܟ܂ܘܡܠܟܐܐܙܠܠܒܝܬܗ܂ܟܕܕܝܢܐܬܐܢܕܢܒܐܝܙܓܕܘܬܐܠܘܬ
ܐܚܝܩܪ,ܐܚܝܩܖ
ܐܒܘܗܝ܂ܗܝܕܝܢܢܕܢܒܪܝܐܬܐܠܘܬܝ܂ܘܥܢܐܘܐܡܪܠܝ܂ܡܪܝܡܠܟܐܫܕܪܢܝܠܘܬܟ,ܐܒܘܗܝ܂ܗܝܕܝܢܢܕܢܒܪܝܐܬܐܠܘܬܝ܂ܘܥܢܐܘܐܡܪܠܝ܂ܡܪܝܡܠܟܐܫܕܪܢܝܠܘܬܟ
ܘܐܡܪ,ܕܐܡܪ
ܠܟܟܠ,ܠܟܟܠ
ܕܥܒܕܬ,ܕܥܒܪܬ
ܫܦܝܪܥܒܕܬ܂ܘܣܓܝܫܒܚܟܡܠܟܐ܂ܘܗܫܐܐܦܛܪܘ,ܫܦܝܪܥܒܕܬ܂ܘܣܓܝܫܒܚܟܡܠܟܐ܂ܘܗܫܐܐܦܛܪܘ
ܚܝܠܘ̈ܬܐܘܐ̄ܢܫܐܙܠ,ܚܝ̈ܠܘܬܐܟܠܢܫܢܐܙܠ
ܠܒܝܬܗ܂,ܠܒܝܬܗ܂
ܘܐܢ̄ܬ,ܘܐܢَܬ
ܕܝܢܒܠܚܘܕܝܟܬܐ,ܕܝܢܒܠܚܘܕܝܟܬܐ
ܠܘܬܝ܂,ܠܘܬܟ܂
ܟܕܐܬܐܐܚܝܩܪܣܦܪܐܕܝܠܝܘܒܥܠܬܪܥܝܬܐܕܝܠܝܘܕܐܬܘܪ,ܟܕܐܬܐܐܚܝܩܪܣܦܪܐܕܝܠܝܘܒܥܠܬܪܥܝܬܐܕܝܠܝܘܕܐܬܘܪ
ܘܢܝܢܘܐ,ܘܕܢܝܢܘ̈ܐ
ܐܢܐ,ܐܢܐ
ܐܦܛܪܬܟ,ܫܒܩܬܟ
ܠܐܝܩܪܐܘܠܢܝܚܐ,ܠܐܝܩܪܐܘܠܢܝܚܐ
ܘܐܢ̄ܬܗܦܟܬ,ܘܐܢَܬܗܦܟَܬ
ܘܗܘܝܬܡܢܒܥܠܕܒܒܝ̈܂,ܘܗܘܝܬܡܢܒܥܠܕܒܒܝ̈܂
ܘܝܗ̄ܒܠܝ,ܘܝܗَܒܠܝ
ܐܓܪܬܐ,ܐܓܪܬܐ
ܗܝܕܒܟܬܝܒܬܝܐܝܕ̈ܝ,ܗ݀ܝܕܒܟ̈ܬܒܬܝܐܝܕܝ
ܡܕܡܝܐ,ܡܕܡܝܐ
ܗ̄ܘܬ܂,ܗَܘܬ܂
ܘܒܥܙܩܬܐܕܝܠܝܚܬܝܡܐ,ܘܒܥܙܩܬܐܕܝܠܝܚܬܝܡܐ
ܗ̄ܘܬ܂,ܗَܘܬ܂
ܘܐܡܪܠܝ,ܘܐܡܪܠܝ
ܡܠܟܐ܂,ܡܠܟܐ
ܩܪܝܗܠܐܓܪܬܐܗܕܐ܂ܘܟܕܩܪܝܬܗܐܫܬܪܝܘ,ܩܪܝܗܠܐܓܪܬܐܗܕܐ܂ܘܟܕܩܪܝܬܗܐܫܬܪܝܘ
ܗܕܡܝ̈ܘܐܬܠܥܓܠܫܢܝ,ܗܕܡܝ̈܂ܘܐܬܠܥܠܝܠܫܢܝ܂
ܘܒܥܝܬܚܕܐܡܢ,ܘܒܥܝܬܚܕܐܡܢ
ܡ̈ܠܐܚܟܝܡ̈ܬܐ,ܡܢܡܠ̈ܐܚܟܝ̈ܡܬܐ
ܘܠܐܐܫܟܚܬ܂,ܘܠܐܐܫܟܚܬ܂
ܘܟܕܝܗ̄ܒ,ܟܕܝܗَܒ
ܠܗܐܓܪܬܐ,ܠܗܐܓܪܬܐ
ܕܗܝ,ܗܝ
ܕܥܠ,ܕܥܠ
ܦܘܡܗ,ܦܘܡܗ܂
ܐܬܟܬܒܬ,ܐܬܟܬܒܬ
ܕܢܩܪܐ܂,ܕܢܩܪܐ
ܘܩܪܗܘܐܒܕܬ,ܘܩܪܗܘܐܒܕܬ
ܚܟܡ̱ܬܗ,ܚܟܡِܬܗ
ܡܢ,ܡܢ
ܬܗܪܐ,ܬܗܖܐ
ܕܐܪܥܗ܂ܗܝܕܝܢܦܩܕܡܠܟܐܕܢܬܩܛܠܒܒܝܬܗ܂ܘܥܢܝܬܐܢܐܐܚܝܩܪܘܠܡܠܟܐ,ܕܐܪܥܗ܂ܗܝܕܝܢܦܩܕܡܠܟܐܕܢܬܩܛܠܒܒܝܬܗ܂ܘܥܢܝܬܐܢܐܐܚܝܩܪܘܠܡܠܟܐ
ܐܡܪܬܡܪܝܡܠܟܐܠܥܠܡܚܝܝ܂,ܐܡܪܬ܂ܡܪܝܡܠܟܐܠܥܠܡܚܝ܂
ܡܟܝܠ,ܡܟܝܠ
,ܕܝܢ
ܕܨܒܐ,ܕܨܒܐ
ܐܢܬ,ܐܢَܬ
ܕܬܩܛܠܢܝ܂ܨܒܝܢܟܢܗܘܐ܂ܘܐܢܐܝܕܥ,ܕܬܩܛܠܢܝ܂ܨܒܝܢܟܢܗܘܐ܂ܘܐܢܐܝܕܥ
ܐ̄ܢܐ,ܐَܢܐ
ܕܠܐܚܛܝܬܠܟ܂ܐܠܐܦܩܘܕܡܪܝܡܠܟܐ,ܕܠܐܚܛܝܬܠܟ܂ܐܠܐܦܩܘܕܡܪܝܡܠܟܐ
ܕܒܬܪܥ,ܕܢܬܪܥ
ܒܝܬܝܢܩܛܠܘܢܢܝ܂ܘܢܬܠܘܢܦܓܪܝܠܩܒܘܪܬܐ܂ܘܦܩܕܡܠܟܐܕܗܟܢܐ,ܒܝܬܝܢܩܛܠܘܢܢܝ܂ܘܢܬܠܘܢܦܓܪܝܠܩܒܘܪܬܐ܂ܘܦܩܕܡܠܟܐܕܗܟܢܐ
ܢܗܘܐܘܕܫܠܝܚ,ܢܗܘܐ܂ܘܫܠܚ
ܐܚܝܩܪ,ܐܚܝܩܪ
ܠܐܫܦܓܢܝܐܢܬܬܗ,ܠܘܬܐܫܦܓܥܝܐܢَܬܬܗ
ܡܛܠܩܛܠܗ܂ܘܐܢܐܐܚܝܩܪ,ܡܛܠܩܛܠܗ܂ܘܐܢܐܐܚܝܩܪ
ܫܠܚܬ,ܫܠܚ
ܠܘܬ,ܠܘܬ
ܐܢܬܬܝ,ܐܢَܬܬܐ
ܕܬܦܘܩ,ܕܬܦܘܩ
ܠܐܘܪܥܝ܂ܘܬܦܩ,ܠܐܖܪܥܝ܂ܘܬܦܘ
ܥܡܗ,ܥܡܗ
ܡܢܒܢܬܝ̈,
ܐܠܦ,ܐܠܦ
ܒܬܘ̈ܠܢ܂ܘܕܢܗܘܝܢ,ܒܬܘ̈ܠܢ܂ܘܢܗܘ̈ܝܢ
ܠܒܝܫ̈ܢ,ܠܒܝܫ̈ܢ
ܒܘ̈ܨܐܘܐܪ̈ܓܘܢܐ,ܒܘܨ̈ܐܘܐܪܓܘܢܐ
ܘܟܪ̈ܡܠܐ܂ܘܢܗ̈ܘܝܢܡܪ̈ܩܕܢܠܐܘܪܥܝ,ܘܟܪ̈ܡܠܐ܂ܘܢܗ̈ܘܝܢܡܪ̈ܩܕܢܠܐܘܪܥܝ
ܘܢܚܘ̈ܝܢ,ܘܢܚ̈ܘܝܢ
