433,Sachau_336
ܗܪܟܐܩܦܣܐܚܝܩܪܡ̈ܠܐ,ܗܪܟܐܩܦܣܐܚܝܩܪܡ̈ܠܐ
ܕܚܟܡ̱ܬܗ,ܕܚܟܡِܬܗ
ܕܠܢܕܢܡܠܦ܂ܟܕܡܚܘܐܐܚܝܩܪܠܡܠܟܐܟܠ,ܕܠܢܕܢܡܠܦ܂ܟܕܡܚܘܐܐܚܝܩܪܠܡܠܟܐܟܠ
ܕܥܒܕ,ܥܒܕ
ܢܕܢܠܩܢܝܢܘ̈ܗܝ,ܢܕܢܠܩܢܝܢܘ̈ܗܝ
ܘܠܢܟܣܘ̈ܗܝ܂,ܘܠܢܟܣܘܗ̈ܝ܂
ܗܝܕܝܢܐܢܐܐܚܝܩܪܗܢܐܝܘܠܦܢܐܐܠܦܬܗܠܢܕܢܒܪܚܬܝ܂ܟܕܣܒܪ,ܗܝܕܝܢܐܢܐܐܚܝܩܪܗܢܐܝܘܠܦܢܐܐܠܦܬܗܠܢܕܢܒܪܚܬܝ܂ܟܕܣܒܪ
ܗ̄ܘܝܬ,ܗَܘܝܬ
ܕܟܠܗܝܘܠܦܢܐܕܐܠܦܬܗܢܚܕܝܘܗܝ,ܕܟܠܗܝܘܠܦܢܐܕܐܠܦܬܗܢܚܕܝܘܗܝ
ܒܠܒܗ܂,ܒܠܒܗ
ܘܢܩܘܡܒܬܪܥܡܠܟܐܘܠܐܝܕܥܬܕܠܐܫܡܥ,ܘܢܩܘܡܒܬܪܥܡܠܟܐܘܠܐܝܕܥܬܕܠܐܫܡܥ
ܐܢ̈ܝܢܠܡܠܝ̈܂,ܐܢܝܢܠܡ̈ܠܝ
ܐܠܐܕܪܐܐܢܝܢܐܝܟ,ܐܠܐܕܪܐܐܢܝܢܐܝܟ
ܕܒܪܘܚܐ܂,ܕܒܪܘܚܐ
ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒܠܗ܂ܘܐܗܦܟܗܪܥܝܢܗ܂ܘܐܩܦܢܕܢܒܪܝ,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒܠܗ܂ܘܐܗܦܟܗܪܥܝܢܗ܂ܘܐܩܦܢܕܢܒܪܝ
ܥܠ,
ܢܟܣ̈ܝܘܩܢܝܢ̈ܝܡܒܕܪܘܠܐܚܐܣܥܠ,ܢܟܣ̈ܝܘܩܢܝܢ̈ܝܡܒܕܪܘܠܐܚܐܣܥܠ
ܥܒ̈ܕܝ,ܥܒ̈ܕ̈ܝ
ܟܫܝܪ̈ܐ,ܟܫܝܪ̈ܐ
ܘܢܢܓܕ,ܕܢܓܕ
ܐܢܘܢ,ܐܢܘܢ
ܩܕܡܝ܂ܘܥܠܪ̈ܟܫܝܘܘܟܘܪܫܘܬܐ,ܩܕܡܝܥܠܪ̈ܟܫ̈ܝܘܒܘܕܢ̈ܝܬܝ
ܕܡܩܛܠ܂ܘܟܕܚܙܝܬ,ܕܡܩܛܠ܂ܘܟܕܚܙܝܬ
ܠܥܒܝ̈ܕܬܗ,ܠܥܒܝܕ̈ܬܗ
ܐܡܪܬܠܗ,ܐܡܪܬܠܗ
ܕܠܢܟܣܝ̈,
ܒܪܝ,ܒܪܝ
,ܠܢܟܣ̈ܝ
ܠܐ,ܠܐ
ܬܬܩܪܒ,ܬܬܩܪܒً
ܐܡܝܪܒܡܬܠ̈ܐܕܐܝܕܐܕܠܐܩܢܝܬܥܝܢܐ,ܐܡܝܪܒܡܬܠ̈ܐܕܐܝܕܐܕܠܐܩܢܝܬܥܝܢܐ
ܠܐܚܣܬ,ܚܣܬ܂
ܘܚܘܝܬܐܢܝܢܗܠܝܢ,ܘܚܘܝܬܐܢܝܢܗܠܝܢ
ܠܡܪܢ,ܠܡܪܝ
ܡܠܟܐ܂,ܡܠܟܐ܂
ܘܟܕܦܩܕ,ܟܕܢܦܩܕ
ܡܠܟܐܕܠܐܢܬܩܪܒ,ܡܠܟܐܕܠܐܢܬܩܪܒ
ܐ̄ܢܫܠܩܢܝܢ̈܏ܘ܇ܠܩܢܝܢ̈ܘܗܝܘܠܢܟܣܘ̈ܗܝ,ܐَܢܫܠܩܢܝܢܘܗ̈ܝ
ܕܐܚܝܩܪܣܦܪܐ܂ܗܟܢܐܕܐܟܡܐܕܐܚܝܩܪ,ܕܐܚܝܩܪܣܦܪܐ܂ܗܟܢܐܕܐܟܡܐܕܐܚܝܩܪ
ܒܚܝܘܗ̈ܝ܂ܐ̄ܢܫ,ܒܚ̈ܝܐܐܝܬܘܗܝܐَܢܫ
ܠܢܟܣܘ̈ܗܝ,ܠܢܟܣܘ̈ܗܝ
ܘܠܒܝܬܗ,ܘܠܒܝܬ
ܠܐܢܬܩܪܒ܂ܟܕܢܣܒܐܚܝܩܪܠܐܚܘܗܝ,ܠܐܢܬܩܪܒ܂ܟܕܢܣܒܐܚܝܩܪܠܐܚܘܗܝ
,ܕܢܕܢܕܢܪܒܝܘܗܝ܂ܗܝܕܝܢܟܕܚܙܐܠܐܚܘܗܝ
ܙܥܘܪܐܕܢܣܒܬܗ,ܙܥܘܪܐܕܢܣܒܬܗ
ܘܪܒܝܬܗܘܗܐ,ܘܕܒܝܬܗܗܐ
ܩܐܡܩܕܡܝܒܒܝܬܝܘܐܬܒܐܫܠܗ܂ܘܩܨܦܟܕܣܡܢܕܢܒܬܪܥܝܬܗ,ܩܐܡܩܕܡܝܒܒܝܬܝܘܐܬܒܐܫܠܗ܂ܘܩܨܦܟܕܣܡܢܕܢܒܬܪܥܝܬܗ
ܡ̈ܠܐܕܒܝܫܘܬܐ܂,ܡܠ̈ܐܕܒܝܘܬܐ
ܠܗܕܐܐܡܪܗܟܢܐ܂ܐܚܝܩܪܐܒܝܣܐܒ܂,ܠܗܕܐܐܡܪܗܟܢܐ܂ܐܚܝܩܪܐܒܝܣܐܒ܂
ܘܚܟܡ̱ܬܗܥܒܪܬ܂,ܘܚܟܡِܬܗܥܒܪܬ
ܘܡܠܘܗ̈ܝܫܛܝ̈܂ܕܠܡܐܢܬܠܢܟܣܘܗ̈ܝ,ܘܡܠܘܗ̈ܝܫܛܝ̈܂ܕܠܡܐܢܬܠܢܟܣܘܗ̈ܝ
ܠܐܚܝ,ܠܐܚܝ܂
ܘܠܝܢܪܚܩܡܢܒܝܬܗ܂ܘܫܡܥܐܚܝܩܪܡܠܘܗ̈ܝܕܢܕܢܗܝܕܝܢܐܬܚܫܒ܂ܦܢܝ,ܘܠܝܢܪܚܩܡܢܒܝܬܗ܂ܘܫܡܥܐܚܝܩܪܡܠܘܗ̈ܝܕܢܕܢܗܝܕܝܢܐܬܚܫܒ܂ܦܢܝ
ܗ̄ܘܐ,ܗَܘܐ
ܐܚܝܩܪܠܢܕܢܘܗܟܢܐܐܡܪܠܗ܂,ܐܚܝܩܪܠܢܕܢܘܗܟܢܐܐܡܪܠܗ܂
ܚܒܠܝܗ,ܚܒܝܠܝܗ
ܠܚܟܡܬܝܒܪܝܐܝܟܢܦܟܗܬܠܘܬܟ܂ܘܟܕܗܠܝܢܫܡܥܒܪܝܣܓܝ,ܠܚܟܡܬܝܒܪܝܐܝܟܢܦܟܗܬܠܘܬܟ܂ܘܟܕܗܠܝܢܫܡܥܒܪܝܣܓܝ
ܪܓܙܘܒܝܤܬܐ,ܪܓܙ܂ܘܒܝܫܝܐ
ܒܠܒܗܥܬܕܥܠܝ܂ܘܐܙܠܠܗ,ܒܠܒܗܥܬܕܥܠܝ܂ܘܐܙܠܠܗ
ܠܬܪܥ,ܠܬܕܥ
ܡܠܟܐܕܗܝܒܝܫܬܐܕܒܠܒܗܠܥܒܕܐ,ܡܠܟܐܕܗܝܒܝܫܬܐܕܒܠܒܗܠܥܒܕܐ
ܢܝܬܝܗ܂,ܢܝܬܐ܂
ܟܕܟܬܒ,ܟܕܟܬܒ
ܒܐܚܝܩܪ,ܐܚܝܩܪܐܘܟܝܬܒܫܡܗ
ܐܓܪܬܐ,ܐܓܪܬܐ
ܕܒܝܫܬܐܘܠܬܪܥܡܠܟܐܐܬܐܕܢܚܘܐܐܢܝܢ܂ܘܟܬܒܐܓܪ̈ܬܐ,
ܕܒܝܫܬܐ܂ܘܠܬܪܥܡܠܟܐܐܬܐܕܢܚܘܐ,ܕܒܝܫܬܐ܂ܘܠܬܪܥܡܠܟܐܐܬܐܕܢܚܘܐ
ܐܢܝܢ܂ܘܟܬܒ,ܐܢܘܢ܂ܘܟܕ
ܐܓܪ̈ܬܐܬܪ̈ܬܝܢܒܫܡܝ,ܐܓܪ̈ܬܐܬܪ̈ܬܝܢܒܫܡܝ
ܠܡܠܟ̈ܐܒܥܠܕܒܒܘܗ̈ܝ,ܠܡܠܟܐܒܥܠܕܒܒܘ̈ܗܝ
ܕܣܢܚܪܝܒܡܠܟܐ܂ܕܡܢܚܕܐܡܢܗܝܢܠܐܦܝ̈ܡܠܟܐܕܦܪܣܘܕܥܝܠܡ܂ܘܗܟܢܐܟܬܒ,ܕܣܢܚܪܝܒܡܠܟܐ܂ܕܡܢܚܕܐܡܢܗܝܢܠܐܦܝ̈ܡܠܟܐܕܦܪܣܘܕܥܝܠܡ܂ܘܗܟܢܐܟܬܒ
ܒܗ,ܒܗ܂
ܡܢܐܚܝܩܪܣܦܪܐܘܥܙܩܬܐ,ܡܢܐܚܝܩܪܣܦܪܐܘܥܙܩܬܐ
ܕܣܪܚܕܘܡܡܠܟܐ܂,ܕܣܖܚܕܘܡܕܣܪܚܕܘܡ
ܫܠܡ,
ܠܟ,
ܡܠܟܐ,ܡܠܟܐ
,ܫܠܡ
ܕܦܪܣܘܕܥܝܠܡ܂,
,ܠܟ܂
ܟܕܐܓܪܬܐܗܕܐܬܩܒܠܒܥܓܠ,ܟܕܐܓܪܬܐܗܕܐܬܩܒܠܒܥܓܠ
ܦܘܩ,ܦܘܘ
ܘܬܐܠܐܬܘܪ܂ܘܐܢܐܡܫܠܡ,ܘܬܐܠܐܬܘܪ܂ܘܐܢܐܡܫܠܡ
ܐ̄ܢܐ,ܐَܢܐ
ܠܗ,ܠܗ
,ܠܟ
ܠܐܬܘܪ܂,ܠܐܬܘܪ܂
ܠܟ,
,ܘܡܠܟܘܬܗ
ܘܡܠܟܘܬܐ,
ܬܐܚܘܕܕܠܐ,ܬܐܚܘܕܕܠܐ
ܩܪܒܐ,ܩܪܒܐ܂
ܘܕܠܐܩܐܪܣܐ܂ܘܬܘܒܟܬܒܐܓܪܬܐ,ܘܕܠܐܩܐܪܣܐ܂ܘܬܘܒܟܬܒܐܓܪܬܐ
ܐ̄ܚܪܬܐ,ܐَܚܪܬܐ
