433,Sachau 336
ܐܣܪܢܝܒܥܕܢܐܕܪܡܫܐ܂ܘܠܐܚܙܩܚܒܠܐܕܐܣܪܐܥܠܝ܂ܟܒܪܠܐܚܙܐܗ̄ܘܝܬܐܦܝ̈ܟ܂ܘܐ,ܐܣܪܠܝܒܪܡܫܐ܂ܘܠܐܐܬܝܬܠܒܠܗܕܢܐَܕܣܢܝܘܥܕܡܐܠܗܫܐܕܚܙܝܬܐܦܝ̈ܟ܆
ܒܪܝܗܘܝܬܠܝܐܝܟܦܚܐ,ܒܪܝܗܘܝܬܠܝܐܝܟܦܚܐ
ܕܛܡܝܪ,ܕܡܬܛܡܪ
ܒܙܒܠܐ܂ܘܐܬܐܨܦܪܐܚܕ,ܒܙܒܠܐ܂ܘܐܬܐܨܦܪܐܚܕ
ܘܐܫܟܚ,ܘܚܙܐܗܝ
ܦܚܐ܂,ܦܚܐ܂
ܘܐܡܪܠܦܚܐ,ܘܐܡܪܬܠܗܦܚܐ
ܡܢܐ,
ܬܥܒܕ,
ܐܘܐܚܝ,ܐܘܐܚܝ
,ܡܢܐ
,ܥܒܕܬ
ܗܪܟܐ܂ܘܐܡܪ,ܗܪܟܐ܂ܘܐܡܪ
ܦܚܐܐܙܠܐ,ܨܦܪܐܗܐܚܐܪܢܐܒܟܝ܂ܘܐܡܪܬܦܚܐܨܠܐ
ܠܐܠܗܐܫܘܒܚܐ,ܠܐܠܗܐܫܘܒܚܐ
ܠܗ,ܠܗ܂
ܘܫܐܠܗ,ܘܫܐܠܗ
,ܙܒܢَܬܐܐَܚܪܬܐ
ܨܦܪܐܘܐܡܪܠܗ܂,ܨܦܪܐܘܐܡܪܠܗ܂
ܡܢܐܗ̄ܘ,ܘܡܢܐܐܝܬܘܗܝ
,ܗܢܐ
ܩܝܣܐ,ܩܝܣܐ
ܗܢܐ,
,ܕܐܣܝܪܒܟܝ܂ܘܐܡܪܪܬ
ܕܐܚܝܕܐܐܢ̄ܬܠܗ܂ܘܐܡܪܬ,
ܦܚܐܠܨܦܪܐܗܕܐ,ܦܚܐܠܨܦܪܐܗܕܐ
ܗ̄ܝܚܘܛܪܝܕܐܣܬܡܟ,ܗَܝܫܒܛܝܘܟܪܘܠܝܕܡܣܬܡܟܐܐَܢܐ
ܥܠܝܗ,ܥܠܝܗ
ܒܥܕܢܐܕܨܠܘܬܐ܂ܘܐܡܪܨܦܪܐܡܢܘܗܢܐܒܓܘܦܘܡܟ܂,ܒܥܕܢܨܠܘܬܝ܂
ܘܐܡܪ,ܘܐܡܪ
ܦܚܐܗܢܘܠܚܡܐܘܡܐܟܘܠܬܐ܂,ܨܦܪܐ܂ܘܡܢܐܐܝܬܝܗܗܝܚܛܬܐܕܐܝܬܝܗܒܦܘܡܟܝ܂ܐܡܪܬܠܓܦܚܐ܂ܗܢܐܗَܘܡܐܟܠܐܘܠܚܡܐ܂ܕܝܗܒܚܝܠܐܠܟܦܝܢ̈ܐ܂
ܘܐܢܐ,ܘܐܢܐ
ܛܝܝܢܐܢܐ,ܣܡܬ
ܠܗ,ܠܗ
ܠܟܠܟܦܢܐܘܡܣܟܢܐ܂ܗܢܘܢܕܢܐܬܘܢܘܢܬܥܬܕܘܢ,ܒܦܘܡܝ܂ܕܢܗܘܐܐܘܟܠܐܠܐܝܠܝܢܕܟܦܢܝܢ܂ܘܐܬܝܢܘܨܝܒܝܢ
ܠܘܬܝ܂,ܠܘܬܝ܂
ܘܐܡܪܬܨܦܪܐܐܢܐܐܬܩܪܒܘܐܟܠܢܐܐܢܐ,ܘܐܡܪܨܦܪܐ܂ܒܪܡܐܢܐܗܫܐܟܦܝܢܐ
ܐܝܬܝ,ܐܝܬܝ
ܟܦܢܐ܂ܘܐܡܪܬܦܚܐܐܬܩܪܒ,ܣܓܝ܂ܡܩܕܡܐَܢܐܘܐܟܠܐَܢܐܠܗ܂ܥܢܬܘܐܡܪܬܠܗܦܚܐ܂ܩܕܡ
ܐܘܐܚܝ,ܐܘܐܚܝ
ܠܐ,ܘܠܐ
ܬܕܚܠ܂,ܬܕܚܠ܂
ܘܫܪܝ,ܟܕܐܬܛܝܒ
ܨܦܪܐ,ܨܦܪܐ
