433,Sachau 336
ܐܡܪܝܢܥܠܢܦܫܗܪܓܙ܂ܕܠܐܡܩܒܠܐܝܩܪܐ܂ܐܠܐܐܟܬܐ܂,ܐܡܪܝܢܥܠܢܦܫܗܪܓܙ܂ܕܠܐܡܩܒܠܐܝܩܪܐ܂ܐܠܐܐܟܬܐ܂
ܫܪܝܗܝ,ܕܫܪܝܗܝ
ܠܡܬܠܐܕܐܡܪ܂ܕܝܠܕܬܩܪܝ,ܠܡܬܠܐܕܐܡܪ܂ܕܝܠܕܬܩܪܝ
ܒܪܟ,ܒܪܟ܂
ܘܕܪܒܝܬܩܪܝ,ܘܕܪܒܝܬܩܪܝ
ܥܒܕܟ܂,ܥܒܕܟ܀
ܒܪܝܛܒܡܢ,ܒܪܝܛܒܡܢ
ܟܠܗܝܢܡ̈ܠܐ,ܟܠܗܘܢܡܠ̈ܐ
ܗܕܐ,ܗܕܐ
ܐܫܪ܂,ܐܫܪ
ܘܕܒܪܚܬܟܬܚܝܬܫܚܬܟܠܒܘܟܘܛܪܘܦܠܟܐܦܐ܂ܗܘ,ܘܕܒܪܚܬܟܬܚܝܬܫܚܬܟܠܒܘܟܘܛܪܘܦܠܟܐܦܐ܂ܗܘ
ܕܐܚܝܫ܂,ܕܐܚܝܫܝ
ܒܪܝ,ܒܪܝ
ܘܐܢ̄ܬܐܘܒܪܝ,ܗܘ
ܐܠܗܐ,ܐܠܗܐ
ܗܘܝܕܥܟܣܝ̈ܬܐ܂,ܝܕܥܟܠܡܕܡ܂ܘܝܗܒ
ܘܦܪܥ,ܘܦܪܥ
ܠܟܠܢܫ,ܠܟܠܐَܢܫ
ܐܝܟ,ܐܝܟ
ܥܒܕܘܗ̈ܝ܂ܘܗܘܕܐܢܒܝܢܝܘܠܟ,ܥܒܕܘ̈ܗܝܗܘܝܕܥܘܕܐܢܒܝܤܝ̈ܘܠܟ܀ܘܐܢܐܠܐܐܡܪܢܐܠܟܡܕܡ܂ܐܠܗܐܦܪܥܠܟܐܝܟܥܒܕ̈ܝܟ܀
