433,Sachau_336
ܒܪܝܐܝܟܐܝܠܢܐ,ܒܪܝܐܝܟܐܝܠܢܐ
ܦܐܝܬܐ,ܗܕܝܪܬܐ
ܒܓܘܦܐܪ̈ܝܗ,ܒܓܘܦܐܪ̈ܝܗ
ܘܣܘ̈ܟܝܗܘܛܪ̈ܦܝܗ܂,ܘܛܪ̈ܦܝܗܘܣܘ̈ܟܝܗ܂
ܗܟܢܐܓܒܪܐ,ܗܟܢܐܓܒܪܐ
ܒܐܢ̄ܬܬܐ,ܒܐܢَܬܬܐ
ܛܒܬܐ,ܛܒܬܐ
ܘܒܢ̈ܝܐܘܐܚܘ̈ܬܐ܂,ܘܦܐܪ̈ܘܗܝܘܦܐܪ̈ܘܗܝܘܒܢܘܗ̈ܝܘܐܚܘ̈ܗܝ܂
ܓܒܪܐܕܠܝܬܠܗ,ܓܒܪܐܕܠܝܬܠܗ
ܐܢ̄ܬܬܐ,ܠܐܐܢَܬܬܐ
ܘܠܐ,ܘܠܐ
ܒܢ̈ܝܐ,ܒܢܝ̈ܐ
ܘܠܐܐܚ̈ܐ,ܘܠܐܐܚ̈ܐ
ܫܥܠܡܐܡܚܣܕܐܢܗܘܐ܂ܕܒܥܠܕܒܒܘܗܝܘܣܢܝܐ,ܒܒܪܝܬܐ܂ܘܗܘܐܣܥܪܐܠܒܥܠܕܒܒܘ̈ܗܝܘܣܢܐܐ
ܠܘܬܗܘܢ܂ܐܝܠܢܐ,ܠܘܬܗܘܢ܂ܐܝܠܢܐ
ܗܝ,
ܕܐܝܬܝܗ,ܕܐܝܬܝܗ
ܒܠܒܗܕܐܪܥܐ܂ܘܟܠܡܢܕܢܥܒܪ,ܥܠܝܣܐܘܪܚܐ܂ܟܠܕܥܒܕ
ܥܠܝܗ,ܥܠܝܗ
,ܕܐܫ
ܠܗ,ܠܗ
ܐܟܠ,ܘܐܟܠ
ܡܢܦܐܪ̈ܝܗ܂ܘܚܝܘܬܒܪܐ,ܡܢܦܐܪ̈ܝܗ܂ܘܚܝܘܬܒܪܐ
ܛܪ̈ܦܝܗ,ܡܬܪܐܘܡܦܠܐܛܪ̈ܦܐ܀
ܒܪܝܠܐܬܐܡܪ,ܒܪܝܠܐܬܐܡܪ
ܘܐܦܚܟܝܡܐܐܢ,ܕܡܪܝܠܠܐ܂ܘܐܢܐܚܟܝܡܐ܂ܐܠܐ
ܘܠܐܕܢܗܘܐܠܘܬܟ,ܘܠܐܕܢܗܘܐܠܘܬܟ
ܡܝܩܪܐ܂ܘܐܦܢܕܐܝܬܘܗܝܡܚܣܕܐ܂ܘܐܦܐܢ̄ܬܬܗܘܐܡܚܒܐܘܠܐ,ܡܝܬܪܐ܂ܐܦܢܢܗܘܐܒܗܡܘܡܐ܂ܬܗܘܐܠܟܪܚܝܡܐܡܢܗ܂ܠܐ
ܬܚܫܘܒ,ܬܚܫܘܒ
ܢܦܫܟ,ܢܦܫ
ܡܢܡܢܝܢܐܕܚܟܝܡ̈ܐ܂,ܡܢܡܢܝܢܐܕܚܟܝܡ̈ܐ܂
ܐܢܠܐܬܗܘܐ,ܟܕܠܐܐܝܬܝܟ
ܠܘܬ,ܠܘܬ
ܒܢܝܢܫ̈ܐ,ܐَܢܫܐ
ܒܗܕܐܨܘܪܬܐ܂ܒܪܝܠܐ,ܒܗܕܐܨܘܪܬܐ܂ܒܪܝܠܐ
ܬܬܪܘܪܒ,ܬܘܪܟܡ̈ܠܐ
ܩܕܡܡܪܟ,ܩܕܡܡܪܟ
ܒܡܠܬܐ܂ܙܥܝܦܬܐ܂ܕܠܐܬܗܘܐܒܥܝܢܘ̈ܗܝܡܣܠ̱ܝܐܒܪܝܕܠܐ,ܡ̈ܠܐܕܣܟܠܘܬܐܘܠܠܘܬܐ܂ܠܐ
ܬܗܘܐ,ܬܗܘܐ
ܡܢܗܢܘܢܕܐܡܪܠܗܘܢ,ܒܥܝܢ̈ܘܗܝܡܩܠܩܠܐ܀ܒܪܝܠܐܬܗܘܐܕܡܬܐِܡܪܠܗܘܢܡܢ
ܡܪܗܘܢ,ܡܪܗܘܢ
ܙܠܘ,ܙܠܠܟ
ܡܢܩܕܡܐܦܝ̈܂,ܡܢܩܕܡܐܦܝ̈܂
ܐܠܐܡܢܗܢܘܢܕܐܡܪܠܗܘܢܬܘ,ܒܪܡܡܢܐܝܠܝܢܕܡܬܐِܡܪܠܗܘܢܩܪܘܒܘܬܐܠܟ
ܠܘܬܝ܂ܒܪܝܒܝܘܡܐ,ܠܘܬܝ܂ܒܪܝܒܝܘܡܐ
ܕܚܫܟ,ܕܐܒܠܟ
ܘܒܝܫܬܟܘܥܩܬܟܠܐ,ܘܒܝܫܬܟܘܥܩܬܟܠܐ
ܬܓܕܦܘܬܨܚܐܠܡܪܟ܂ܕܠܡܐ,ܬܣܪܘܒܘܬܨܚܐܠܡܪܟܕܠܐ
ܢܫܡܥ,ܢܫܡܥ
ܡܠܬܟ,ܡ̈ܠܝܟ
ܘܢܪܓܙܥܠܝܟ܂ܒܪܝܐܢ,ܘܢܪܓܙܥܠܝܟ܂ܒܪܝܐܢ
ܢܗܘܘܢܥܒ̈ܕܝܟܩܝܡܝܢ܂,ܩܝܡܝܢܥܒ̈ܕܝܟ܂
ܠܐܬܪܚܡ,ܠܐܬܪܚܡ
ܠܚܕ܂,ܠܚܕ
ܘܬܣܢܐܠܐܚܪܝܢ܂,ܘܬܣܢܐܠܐܚܪܝܢ܂
ܠܐ,ܡܛܠܕܠܐܝܕܥܬ܂
ܐܝܢܐܡܢܗܘܢ,ܐܝܢܐܡܢܗܘܢ
ܬܚܒ,ܬܓܒܐ
ܠܟܒܚܪܬܐ܂ܒܪܝܥܒܕܐܕܫܒܩ,ܠܟܒܚܪܬܐ܂ܒܪܝܥܒܕܐܕܫܒܩ
ܒܝܬܐܕܡܪ̈ܘܗܝܩܕ̈ܡܝܐ,ܒܝܬܡܪ̈ܘܗܝ
ܘܐܙܠܠܘܬ,ܘܐܙܠܠܘܬ
ܐ̄ܚܪ̈ܢܐܠܐܢܨܠܚܥܒܕܘܗܝ܂,ܐَܚܪ̈ܝܐ܂ܠܐܡܨܠܚܣܘܥܪܢܗ܂
ܒܪܝܥܙܐ,ܒܪܝܥܙܐ
ܬܗܠܟܘܬܣܓܐܦܣ̈ܥܬܗܡܐܟܘܠܬܐܠܕܐܒܐܬܗܘܐ܂ܒܪܝܫܠܝܛܐ,ܕܚܕܪܐܘܡܣܓܝܐܦܣܥ̈ܬܗ܂ܡܐܟܠܐܗܘܝܐܠܕܐܒܐ܂ܒܪܝܕܝܢܐ
ܬܪܝܨܐ,ܬܪܝܨܐ
ܘܛܒܐ܂ܗܘܝܕܬܫܬܠܛܥܕܡܐܕܬܣܐܒ,ܘܛܒܐܕܘܢ܂ܕܪܣܒܘܬܚܙܐ
ܣܝܒܘܬܐ,ܣܝܒܘܬܐ
ܡܝܩܪ̈ܬܐ,ܡܝܩܬܐ
ܘܬܬܢܝܚ,ܘܬܬܢܝܚ
ܒܪܒܘܬܟ܂ܒܪܝܐܚܠܝ,ܒܣܝܒܘܬܟ܀ܒܪܝܚܠܐ
ܠܫܢܟ,ܠܫܢܟ
ܒܡܠܬܐܕܐܠܗܐ,ܒܡ̈ܠܐܕܐܠܗܐ܂
ܘܐܛܐܒ,ܘܐܛܐܒ
ܡܠܬ,ܡ̈ܠܝ
ܦܘܡܟ܂ܘܡܠܠܥܡ,ܦܘܡܟ܂ܘܡܠܠܥܡ
ܐ̄ܢܫܐܒܗܢܝܐܘܬܐ܂ܘܒܛܒܬܐ܂,ܐَܢܫܐܒܛܒܬܐܘܫܘܦܪܐ܂ܡܛܠ
ܕܘܢܒܐܕܟܠܒܐ,ܕܘܢܒܐܕܟܠܒܐ
ܢܬܠ,ܝܗَܒܬܝܗܒܬ
ܠܗܠܚܡܐ܂ܘܦܘܡܗ,ܠܗܠܚܡܐ܂ܘܦܘܡܗ
ܢܬܠ,ܡܬܠ
ܠܗ,ܠܗ
ܡܚܘܬܐܘܟܐܦܐ܂ܒܪܝ,ܡܚ̈ܘܬܐܘܟܐ̈ܦܐ܀ܒܪܝܠܐܬܫܒܘܩ
ܚܒܪܟ,ܚܒܪܟ
ܠܐܬܫܒܩܝܘܗܝܘܕܢܕܘܫܪܓܠܟܕܠܡܐ,ܕܠܐ
ܢܕܘܫܥܠ,ܢܕܘܫܥܠ
ܚܨܟ܂܏ܗ܆unclearܒܥܠܕܒܒܟ,ܚܕܝܟ܂ܗܢܘ܂ܒܥܠܕܒܒܐ
ܣܛܢܐܠܐ,ܣܛܢܐܠܐ
ܬܫܒܩܝܘܗܝܕܢܥܒܕܒܟܪܒܬܐ܂,ܬܫܒܘܘܝܗܝܕܢܚܛܝܟܚܛܗܐܙܥܘܪܐ܂ܕܠܐܢܚܛܝܟܚܛܗܐܪܒܐ܀
ܒܪܝܡܚܝܠܓܒܪܐܚܟܝܡܐ,ܒܪܝܡܚܝܠܓܒܪܐܚܟܝܡܐ
ܒܡܠܬܐܕܚܟܡ̱ܬܐܘܬܗܘܐܒܠܒܗܐܝܟ,ܘܗܘܐܐܢَܬ
ܐܫܬܐ,ܐܫܬܐ
ܒܬܕܐܐ܂,ܒܠܒܗ܂
ܘܐܢܬܡܚܐܠܣܟܠܐ,ܘܐܢܬܡܚܐܠܣܟܠܐ
ܒܚܘܛܪܐ܂,ܚܘܛܪ̈ܐܣܓܝܐ̈ܐ܂
ܠܐܝܕܥܘܠܐܡܣܬܟܠ,ܠܐܝܕܥܘܠܐܡܣܬܟܠ
,ܡܢ
ܡܕܡ,ܡܕܡ
ܡܢ,
,ܕܛܒ܆܂
ܛܒܬܐ܂,
ܒܪܝܐܢ,ܒܪܝܐܢ
ܫܕܪܬ,ܡܫܕܪܐܢَܬ
ܓܒܪܐܚܟܝܡܐ,ܓܒܪܐܚܟܝܡܐ
ܒܦܘܠܚܢܐܕܥܒ̈ܕܝܟ,ܕܣܥܪܥܒܕܟ܂
ܠܐܬܣܓܐ,ܠܐܬܣܓܐ
ܦܘܩܕ̈ܐܘܢܛܝܒܟܐܟܡܐ,ܡܠܟܗܘܙܘܗܪܗ܂ܡܛܠܕܐܝܟ
ܕܨܒܐܠܒܟ,ܕܨܒܐܠܒܟ
ܥܒܕ܂,ܥܒܕܣܘܥܪܢܟ܂
ܘܐܢܡܫܕܪܬܓܒܪܐ,ܘܐܢܡܫܕܪܬܓܒܪܐ
ܣܟܠܐ,ܠܠܐ܂
ܠܐܬܡܠܠ,ܠܐܬܡܠܠ
ܩܕܡܒܢܝܢܫ̈ܐ܂ܐܠܐܐܟܡܐܕܨܒܐܐܢ̄ܬܘܐܦܢܬܦܩܕܝܘܗܝܣܓܝ܂,ܥܡܗܩܕܡܐَܢܫܐ܀ܒܪܡܐܢَܬܙܠܘܠܐܬܫܕܪܝܘܗܝܥܠܕܡܥܒܕܣܘܥܪܢܟ܂ܐܝܟܨܒܝܢܟ܂ܘܠܐܐܦܢܡܠܟܐܢَܬܠܗ܂ܣܓܝ܀
ܒܪܝܐܢܡܫܕܪܝܢܠܟܒܬܪ,ܒܪܝܐܢܡܫܕܪܝܢܠܟܒܬܪ
ܐ̄ܢܫܐܠܒܪ,ܐَܚܪܝܢ
ܡܢܟ܂ܠܐ,ܡܢܟ܂ܠܐ
ܬܐܙܠܠܘܬܓܒܪܐ,ܬܣܟܠܒܓܒܪܐ
ܪܒܐ,ܪܒܐ
ܕܠܡܐܢܐܪܥܟܒܒܝܫܬܐܡܛܠܕܐܢ̄ܬܠܐܝܕܥܐܢ̄ܬ܂,ܕܡܐܢܕܠܩܒܒܒܝܫܬܐ܂ܡܢܐܝܟܐܕܠܐܬܕܥ܀
ܒܪܝܢܣܐܒܪܟܘܥܒܕܟ,ܒܪܝܢܣܐܒܪܟܘܥܒܕܟ
ܒܠܚܡܐ܂ܘܒܡܕܡܕܡܚܝܠܩܕܡܝܐ܂,ܒܠܚܡܐܒܡܕܡܕܙܥܘܪܩܕܡܝܑܬ܂
ܘܒܬܪܟܢܐܫܠܡܠܗ,ܘܒܬܪܟܢܐܫܠܡܠܗ
ܟܠܗܩܢܝܢܟܘܝܘܬܪܢܟ܂,ܡܕܡܕܝܠܟܘܩܢܝܢܟ܀
ܒܪܝ,ܒܪܝ
ܩܕܡܕܬܦܘܩܡܢܚܫܡܝܬܐܠܐܬܫܬܘܚܪܬܡܫܘܚܒܡܫ̈ܚܢܐܘܒܣܡܐ܂ܘܠܐܢܗܘܘܢ,ܩܕܡܝܑܬܦܘܩܡܢܚܠܘܠܐܘܚܫܡܝ̈ܬܐ܂ܘܠܐܬܘܚܪܕܬܡܫܘܚܕܠܐܒܡܫܚܐܘܒܣܡܐܪܫܟ܂ܥܠܕܠܐܗܘܐܠܟ
ܒܪܫܟ,ܒܪܫܟ
ܨܘ̈ܠܦܬ̈ܐܘܫܘ̈ܡܬܐ܂,ܨܘܠܦ̈ܬܐܘܟܘܬܡ̈ܬܐ܀
ܒܪܝܡܢܕܐܝܕܗܡܠܝܐܡܬܩܪܐܚܟܝܡܐ,ܒܪܝܡܢܕܐܝܕܗܡܠܝܐܡܬܩܪܐܚܟܝܡܐ
ܡܗܝܪܐ܂,ܘܡܝܩܪܐ܂
ܘܡܢܕܐܝܕܗ,ܘܡܢܕܐܝܕܗ
ܘܡܢܕܐܕܗܣܦܝܩܐ,ܣܦܝܩܐ܂
ܡܬܩܪܐ,ܡܬܩܪܐ
ܡܣܟܢܐܘܒܝܫܐܘܣܪܝܩܐܘܒܨܝܪܐ܂ܘܠܐܐ̄ܢܫܢܝܩܪܝܘܗܝ,ܒܝܫܐܘܡܣܟܢܐ܂ܘܣܢܝܩܐܘܚܣܝܪܐ܂ܘܠܐܐَܢܫܡܝܩܪܠܗ܂
ܒܪܝܐܢܐܟܠܬ,ܒܪܝܐܢܐܟܠܬ
ܝܘܠܦܢ̈ܐ,ܝܘܠܦܢܐ
ܘܒܠܥܬ,ܘܒܠܥܬ
ܡܣܝܒܪܢܘܬܐܠܐܐܫܟܚܬܕܘܟܬܐܠܥܡܘܪܝܐ܂ܒܪܝܫܩܠܬ,ܨܩܪܐ܂ܠܐܚܙܝܬܕܡܪܝܪܡܢܡܣܟܢܘܬܐ܂ܘܣܢܝܩܘܬܐ܀ܒܪܝܟܕܛܥܢܬ
ܦܪܙܠܐܘܐܒܪܐ,ܦܪܙܠܐܘܐܒܪܐ
,ܘܐܒܪܐ܂
ܘܠܐܚܙܝܬܐܝܟ,ܘܠܐܚܙܝܬܐܝܟ
ܡܘܝܩܐ܂,ܚܣܕܐ
ܘܡܐܟܠ,ܘܡܐܟܠ
ܩܪܨܐ܂,ܩܪܨܐ܂܂
ܒܪܝ,ܒܪܝ
ܐܢ,
ܛܥܢܬܡܠܚܐ,ܛܥܢܬܡܠܚܐ
ܘܟ̈ܐܦܐܪܘܪ̈ܒܬܐܠܐܝܩܪܘܥܠܝܐܝܟܡܢܕܡܓܚܟܘܡܝܩ,ܘܟܐ̈ܦܐܕܪܘܪ̈ܒܢ܂ܘܠܐܝܩܕܘܥܠܝ܂ܐܝܟܗܘܕܓܚܟܘܡܡܝܩ܂
ܘܗܘܝܬܒ,ܘܗܘܝܬܒ
ܒܓܘܒܝܬܚܡܘܗܝܘܣܛܪ܂,ܒܒܝܬܚܡܘܗܝ܂ܘܐَܚܪ̈ܢܐܕܐܟܘܬܗܘܢ܀
ܒܪܝܐܠܦ,ܒܪܝܐܠܦ
ܒܪܟ,ܠܒܪܟ
ܟܦܢܐܘܨܗܝܐܕܢܕܒܪ,ܟܦܢܐܘܨܗܝܐܕܢܕܒܪ
ܒܝܬܗ܂ܒܪܝ,ܒܝܬܗ܀ܒܪܝ܆
ܠܐܬܐܠܦ,ܠܐܬܐܠܦ
ܠܣܟܠܐܡܠܬܐܕܚܟܡ̱ܬܐܘܕܝܕܥܬܐ܂ܡܠܬܐܕܚܟܡܬܐܠܘܬܗܐܝܟܡܢܕܡܕܒܩܡܫܚܐ,ܠܠܠܐܡ̈ܠܐܕܚܟܡِܬܐܘܝܕܥܬܐ܂ܡܛܠܕܡܠܝ̈ܠܘܬܗܘܢܐܝܟܗܘܕܡܛܦܐܩܝܪܐ
ܠܓܘܫܡܗ,ܠܓܘܫܡܗ
ܕܢܫܡܢ܂,ܕܢܫܡܢ܀
ܒܪܝܐܢ,ܒܪܝܐܢ
ܣܢܝܩܬܐܘܢܟܝܬ,ܣܢܩܬܘܐܬܡܣܟܢܬ܂
ܠܐܬܓܠܐ,ܠܐܬܓܠܐ
ܐ̄ܪܙܟܠܚܒܪܟ,ܣܘܥܪܢܟܠܚܒܪܟ܂
ܕܠܐܬܗܘܐܠܘܬܗ,ܕܠܐܬܗܘܐܠܘܬܗ
ܩܠܘܛܐ܂,ܩܠܘܛ̈ܐ܂
ܒܪܝܣܡܝܘܬܥܝܢܐ,ܒܪܝܣܡܝܘܬܥܝܢܐ
,ܛܒ
ܡܢܣܡܝܘܬܠܒܐ܂,ܡܢܣܡܝܘܬܠܒܐ܂
,ܡܛܠܣܡܝܘܬ
ܥܝܢܐ,ܥܝܢܐ
ܬܗܕܐ,ܡܫܒܠܐ
ܠܐܘܪܚܐ,ܠܐܘܪܚܐ
ܬܪܝܨܬܐ܂,ܕܚܝ̈ܐ܂
ܘܣܡܝܘܬܠܒܐ,ܘܣܡܝܘܬܠܒܐ
ܢܐܙܠ,ܐܙܠܐ
ܒܐܘܪܚܐ,ܒܐܘܪܚܐ
ܡܥܩܡܬܐ܂,ܥܡܝܩܬܐ܇
ܒܪܝ,ܒܪܝ
ܬܘܩ̱ܠܬܐ,ܫܘܪܥܬܐ
ܕܒܪܢܫܐ,ܕܒܪܢܫܐ
ܒܪ̈ܓܠܐܛܒܡܢܬܘܩ̱ܠܬܐܕܠܒܐ܂ܥܠܝܡܐܡܐܬܒܬܘܩ̱ܠܬܐ,ܒܪܓܠܗ܂ܛܒܐܗَܝܡܢܫܘܪܥِܬܐ
ܕܠܫܢܗ܂,ܕܠܫܢܗ܂
ܘܠܐ,ܒܪܡܐܢ
ܡܐܬ,ܡܐܬ
ܒܬܘܩ̱ܠܬܐܕܪܓܠܗ܂,ܒܫܘܪܥِܬܐܕܪܓܠܗܡܦܨܐܡܢܓܐܪ̈ܐܕܢܣܝܘܢ̈܂ܘܐܢܫܪܥܒܠܫܢܗܢܦܠܒܢܣܝܘܢ̈ܐ܀
ܒܪܝܪܚܡܐܩܪܝܒܐܛܒܡܢܐܚܐܪܚܝܩܐ܂ܘܫܡܐܛܒܐ,ܒܪܝܪܚܡܐܩܪܝܒܐܛܒܡܢܐܚܐܪܚܝܩܐ܂ܘܫܡܐܛܒܐ
ܛܒܡܢܡܫܚܐܛܒܐ܂ܡܫܚܐܛܠܩܘܐܒܕ܂,ܝܬܝܪܡܢܥܬܝܪܘܬܐܕܥܠܡܐ܂ܡܛܠܕܥܬܝܪܘܬܐܬܒܛܠܘܬܬܒܕܪ܂
ܘܫܡܐܛܒܐ,ܘܫܡܐܛܒܐ
ܐܡܝܢܐܢܗܘܐܥܕܡܐܠܥܠܡ܂,ܩܐܡܠܥܠܡ܀
ܒܪܝܫܘܦܪܐ,ܒܪܝܫܘܦܪܐ
ܒܠܐܘܡܬܚܒܠ܂,ܐܒܕܘܡܬܚܒܠܘܡܘܦܐ
ܘܥܠܡܐܒܛܠ,ܘܥܠܡܐܒܛܠ
ܘܥܒܪ܂,ܘܐܙܠܘܥܒܕ܂
ܘܫܡܐ,ܘܫܡܐ
ܛܒܐ܂ܠܐܥܒܪܘܠܐܒܛܠ܂,ܛܒܐܠܐܥܒܕܘܠܐܒܛܠܘܠܐܡܘܦܐ܂܀
ܒܪܝܓܒܪܐܕܠܝܬܠܗܢܝܚܐ,ܒܪܝܓܒܪܐܕܠܝܬܠܗܢܝܚܐ
ܒܥܠܡܐܡܘܬܗ,ܒܚܝܘ̈ܗܝܡܘܬܐܠܗܛܒܡܢܚܝܘܗ̈ܝ܀ܒܪܝܩܠܐܕܒܟܝܐܘܐܠܝܐ
ܛܒܡܢܩܠܐ,ܛܒܡܢܩܠܐ
ܕܙܡܪܐܘܚܕܘܬܐ܂,ܕܪܘܙܐܘܕܡܫܝܘܬܐ܂
ܡܛܠܕܩܠܐ,ܡܛܠܕܩܠܐ
ܕܒܟܝܐܘܕܐܒܠܐܐܝܕܐܐܝܬܝܗܕܚܝܠܬܐ܂ܒܪܡܐܢܢܚܫܒܪܢܫܐ,ܘܫܡܥܐܡܕܒܟܝܐܕܒܟܝܐܡܚܟܡܠܗܠܒܪܢܫܐ
ܥܠ,ܥܠ
ܚܛܗܘ̈ܗܝ܂ܒܪܝܓܪܝܨܬܐ,ܚܛܝܬܗܘܡܒܛܠܠܗ܀ܒܪܝܓܪܘܣܬܐ
ܕܠܚܡܐ,ܕܠܚܡܐ
,ܕܝܗܒܐܢَܬܠܗ
ܒܐܝܕܟ,ܒܐܝܕܟ
ܛܒܡܢܟܟܪ̈ܐܒܓܘܩܕܣܐܕܠܒܪܡܢܟ܂ܘܢܩܝܐ,ܠܡܣܟܢܐܒܡܣܟܢܘܬܟ܂ܛܒܡܢܟܟܪܐܚܕܐܕܝܗܒܐܢܬܒܥܬܝܪܘܬܟ܀ܘܚܕܐܥܙܐ
ܩܪܝܒܬܐܛܒܡܢܬܘܪܐܪܚܝܩܐ܂,ܩܪܝܒܬܐܛܒܡܢܬܘܪܐܪܚܝܩܐ܂
ܘܨܦܪܐ,ܘܚܕܨܦܪܐܕܬܐܚܘܕܠܗ
ܒܐܝܕܟܛܒܡܢ,ܒܐܝܕܟܛܒܡܢ
ܨܦܪ̈ܐܣܓܝܐ̈ܐܦܪ̈ܚܐ܂ܝܘܬܪܢܐܩܠܝܠܛܒܡܢܝܘܬܪܢܐ,ܡܐܐܨܦܪ̈ܝܢܕܦܪܚܝܢܒܐܐܪ܀ܐܢܬܗܘܐܣܢܝܩܐ܂ܘܗܘܝܢܟܢܝܫܝܢܒܢ̈ܝܟܠܘܬܘܟ܂ܛܒܡܢܥܘܬܪܐ
ܣܓܝܐܐ,ܣܓܝܐܐ
ܕܢܬܒܕܪ܂,ܕܢܬܒܕܪܘܢܒܗܒܢܝ̈ܟ܂
ܘܬܥܠܐܚܝܐܛܒܡܢܐܪܝܐܡܝܬܐ܂,ܘܬܥܠܐܚܝܐܛܒܡܢܐܪܝܐܡܝܬܐ܂
܏ܗ܆unclear,ܐܘܟܝܬ
ܒܪܢܫܐ,ܒܪܢܫܐ
ܚܠܫܐܘܥܒܕܛܒ̈ܬܐܛܒܡܢܥܬܝܪܐ܂,ܡܚܝܠܐܕܥܒܕܪܚܡܐ܂ܛܒܡܢܥܬܝܪܐܩܠܘܛܐ܂ܘܒܝܫܐ܂
ܘܗܘ,ܘܗܘ
ܡܝܬܐ,ܡܝܝܬ
ܒܚܛܝܬܐ܂ܒܪܝܟܟܪܐܕܥܡܪܐܛܒܡܢ,ܒܚܛܝܬܐ܂ܒܪܝܟܟܪܐܕܥܡܪܐܛܒܡܢ
ܟܟܪ̈ܐ,ܛܒܐܗَܝܡܢܘܙܢܐ
ܕܕܗܒܐ,ܕܕܗܒܐ
ܘܕܣܐܡܐ܂ܘܕܗܒܐ,ܘܣܐܡܐ܂ܡܛܠܕܕܗܒܐ
ܘܣܐܡܐ,ܘܣܐܡܐ
ܢܛܡܪܘܢܗܘܢܟܣܘܢܗܘܠܐܢܬܚܙܐ܂,ܡܛܫܝܢܠܗܘܢܘܚܡܠܝܢܠܗܘܢܒܥܓܠܘܣܩܡ̈ܐ܂ܘܠܐܡܬܚܙܝܢܡܢܐَܢܫܢܘܟܪܝ܂
ܘܥܡܪܐ,ܘܥܡܪܐ
ܦܐܫܒܓܘܫܘܩ̈ܐ܂ܘܗܝܕܝܢܢܬܚܙܐܘܗܘܐܛܒܐܠܡܢܕܠܒܫܠܗ܂,ܡܦܩܝܢܠܗܘܡܙܒܢܝܢܠܗܒܓܘܫܘܩ̈ܐܘܒܦܠܛܘ̈ܬܐ܂ܘܐܦܚܫܚܠܠܒܘܤܐܘܡܬܚܙܐܫܦܝܪܐ܀
ܒܪܝܛܡܘܪ,ܒܪܝܛܡܘܪ
ܡܠܬܐܒܓܘܠܒܟ܂,ܘܟܣܐܠܠܬܐܒܠܒܟ܂
ܘܠܐܬܓܠܐ,ܘܠܐܬܓܠܐ
ܐ̄ܪܙܚܒܪܟ܂ܘܐܢܓܠܝܬܝܗܝܫܚܠܦܬܚܘܫܒܐܕܗܢܝܐܘܬܗ܂ܒܪܝܠܐܬܦܘܩܡܠܬܐܡܢܦܘܡܟܥܕܡܐܕܬܡܠܟܒܗܒܓܘܠܒܟܡܛܠܕܛܒܘܠܟܕܬܬܩܠ,ܠܗܐَܪܙܐܕܚܒܪܟ܂ܘܐܢܬܓܠܝܘܗܝܐܪܚܘܬܪܚܡܘܬܗܡܢܟ܀ܒܪܝܠܐܬܦܩܡܠܬܐܡܢܦܘܡܟ܂ܒܬܪܟܢܢܟܐܒܠܒܟܡܢܗ܂ܛܒܘܠܟܕܬܟܫܘܠ
ܒܪܓܠܟ,ܒܪܓܠܟ
ܛܒܡܢܡܐܕܒܠܫܢܟ܂,ܘܠܐܒܠܫܢܟ܀
ܒܪܝܐܢܫܡܥܬ,ܒܪܝܐܢܫܡܥܬ
ܡܠܬܐܡܢܚܕܛܡܘܪܝܗܒܓܘܠܒܟܐܝܟܕܒܐܪܥܐ܂ܒܪܡܒܟܠܨܦܪܐܬܩܒܪܝܗܘܬܘܒܕܝܗ܂ܒܪܝܒܝܢܬܗܠܝܢܕܢܨܝܢ,ܡܠܐܡܢܪܫܐ܂ܟܣܝܗܘܛܫܝܗܒܠܒܟ܂ܟܡܐܕܐܝܬܝܟܒܚܝ̈ܐܕܗܢܐܕܗܢܐܥܠܡܐ܂ܟܡܐܕܪܢܐܐܢَܬܒܗܒܠܒܟ܂ܩܒܪܝܗܒܓܘܚ̈ܟܠܓܘܒܪܝܠܘܘܒܠܐܝܠܝܢܕܦܪܝܫܝܢܘܩܕܝܡܝܢܥܠܪܒܘܬܐܘܪܫܢܘܬܐ
ܠܐ,ܠܐ
ܬܩܘܡ܂,ܬܩܘܡܠܘܩܒܠܗܘܢܒܕܝܢܟ܂
ܡܛܠܕܡܢܓܘܚܟܐ,ܡܛܠܕܡܢܓܘܚܟܐ
ܬܗܘܐܡܠܬܐܒܝܫܬܐ܂ܘܡܢ,ܘܡ̈ܠܐܕܒܙܚܐܗܘܐܪܘܓܙܐܘܚܪܝܢܐ܀
ܡܠܬܐ,ܡܠܬܐ
ܒܝܫܬܐܬܗܘܐܡܨܘܬܐ܂,ܙܥܝܦܬܐܡܓܪܓܐܘܡܩܝܡܐܪܘܓܙܐ܂
ܘܡܢ,ܘܡܢ
