162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
omisit,ܗܢܐ,omisit,omisit,ܗܪܟܐܩܦܣܐܚܝܩܪܡܠ̈ܐ,,omisit,ܗܪܟܐܩܦܣܐܚܝܩܪܡܠ̈ܐ,ܗܪܟܐܩܦܣܐܚܝܩܪܡܠ̈ܐ
,,,,ܕܚܟܡܬܗ,,,ܕܚܟܡܬܗ,ܕܚܟܡ̱ܬܗ
,,,,ܕܠܢܕܢ,,,ܕܠܢܕܢ,ܕܠܢܕܢ
,,,,ܐܠܦ܆,,,ܡܠܦܟܕܡܚܘܐ܂܂܂ܐܚܝܩܪܠܡܠܟܐܟܠܕܥܒܕܢܕܢܠܩܢܝܢܘܗ̈ܝܘܠܢܟܣܘܗ̈ܝ܂܂,ܐܠܦ܂
,,,,ܗܝܕܝܢܐܢܐܐܚܝܩܪ,,,ܗܝܕܝܢܐܢܐܐܚܝܩܪ,ܗܝܕܝܢܐܢܐܐܚܝܩܪ
,,,,ܗܢܐ,,,,ܗܢܐ
,ܝܘܠܦܢܐ,,,ܝܘܠܦܢܐ,,,ܝܘܠܦܢܐ,ܝܘܠܦܢܐ
,ܕܐܠܦܐܚܝܩܪ,,,ܐܠܦܬܗ,,,ܐܠܦܬܗ,ܐܠܦܬܗ
,ܠܢܕܢܒܪ,,,ܠܢܕܢܒܪ,,,ܠܢܕܢܒܪ,ܠܢܕܢܒܪ
,ܚܬܗ܀ܐܢܐܕܝܢܐܚܝܩܪ,,,ܚܬܝ,,,ܚܬܝ܂,ܚܬܝ܂
,,,,ܟܕ,,,ܟܕ,ܟܕ
,ܣܒܪ,,,ܣܒܪ,,,ܣܒܪ,ܣܒܪ
,ܗ̄ܘܝܬ܉ܕܟܠܡܕܡ,,,ܗܘܝܬ,,,ܗܘܝܬ,ܗ̄ܘܝܬ
,,,,ܕܟܠܗܝܘܠܦܢܐ,,,ܕܟܠܗܝܘܠܦܢܐ,ܕܟܠܗܝܘܠܦܢܐ
,ܕܐܠܦܬܗ,,,ܕܬܠܦܬܗ,,,ܕܐܠܦܬܗ,ܕܐܠܦܬܗ
,ܠܢܕܢܠܒܟܠܗܒܠܒܗ܂ܘܩܐܡܚܠܦܝܒܬܪܥܗܕܡܠܟܐ܂,,,ܢܐܚܕܝܘܗܝ,,,ܠܐܚܕܝܘܗܝ܂܂,ܢܐܚܕܝܘܗܝ
,,,,ܒܠܒܗ,,,ܒܠܒܗ,ܒܠܒܗ܆
,ܘܠܐ,,,,,,,
,ܝܕܥܗ̄ܘܝܬܕܢܕܢܒܪܝܡ̈ܠܝܠܐܫܡܥ܂,,,ܘܢܩܘܡܒܬܪܥ,,,ܘܢܩܘܡܒܬܪܥ,ܘܢܩܘܡܒܬܪܥ
,,,,ܡܠܟܐ܆,,,ܡܠܟܐ,ܡܠܟܐ܂
,ܐܠܐ,,,,,,,
,,,,ܘܠܐ,,,ܘܠܐ,ܘܠܐ
,,,,ܝܕܥܬܕܠܐܫܡܥܐܢܝܢ,,,ܝܕܥܬܕܠܐܫܡܥܐܢܝܢ,ܝܕܥܬܕܠܐܫܡܥܐܢܝܢ
,,,,ܠܡܠܝ̈܂,,,ܠܡܠܝ̈,ܠܡܠܝ̈܇
,,,,ܐܠܐ,,,,ܐܠܐ
,ܕܪܐܐܢܝܢܐܝܟ,,,ܕܪܐܐܢܝܢܐܝܟ,,,ܕܪܐܐܢܝܢܐܝܟ,ܕܪܐܐܢܝܢܐܝܟ
,ܕܒܪܘܚܐ܂,,,ܕܒܪܘܚܐ܆,,,ܕܕܒܪܘܚܐ,ܕܒܪܘܚܐ܂
,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒ,,,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒ,,,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒ,ܘܗܦܟܘܐܡܪܕܐܚܝܩܪܐܒܝܣܐܒ
,ܠܗ܉ܘܥܠܬܪܥܩܒܪܗܩܐܡ܂ܘܗܦܟܠܗ,,,,,,,
,ܪܥܝܢܗ܂,,,,,,,
,ܘܙܥܪܬ,,,,,,,
,ܠܗ,,,ܠܗ,,,ܠܗ,ܠܗ
,ܬܪܥܝܬܗ܂ܘܫܪܝܢܕܢ,,,ܘܐܗܦܟܗ,,,ܘܐܗܦܟܗ,ܘܐܗܦܟܗ
,,,,,,,,ܪܥܝܢܗ܂
,,,,ܪܥܝܢܗ܆,,,ܪܥܝܢܗܘܐܦܩܢܕܢܒܪܝ܂,
,ܒܪܝ,,,,,,,
,ܒܥܒ̈ܕܝܟܕܡܚܐܠܗܘܢ܉ܘܢܟܣܘܡܘܒܕ,,,ܘܐܩܦ,,,,ܘܐܩܦ
,,,,,,,,ܒܪܝ
,,,,ܒܪ,,,,
,,,,ܢܕܢ,,,,ܢܕܢ
,,,,ܥܠ,,,ܥܠ,ܥܠ
,,,,ܢܟܣܝ̈,,,ܢܟܣܝ̈,ܢܟܣ̈ܝܘܥܠܩܢܝܢ̈ܝܡܒܕܪ܂
,,,,ܘܥܠܩܫܝܫ̈ܝܡܒܕܪ܆,,,ܩܢܝܢ̈ܐܡܫܕܪ,
,ܘܠܐ,,,ܘܠܐ,,,ܘܠܐ,ܘܠܐ
,ܚܐܣ,,,ܚܐܣ,,,ܚܐܣ,ܚܐܣ܂
,ܗ̄ܘܐ,,,,,,,
,ܥܠ,,,ܥܠ,,,ܥܠ,ܥܠ
,ܥܒ̈ܕܝܘܥܠܐܡ̈ܗܬܝ,,,ܥܒܕܝ,,,ܥܒܕܝ̈,ܥܒܕ̈ܝ
,ܟܫܝܪ̈ܐ,,,ܟܫܝܪ̈ܐ,,,ܟܫܝܪ̈ܐ,ܟܫܝܪ̈ܐ
,ܘܚܒܝܒ̈ܐܪܘܪ̈ܒܐ܂ܘܪ̈ܟܫܝܩܛܠ܂ܘܟܘܕܢ̈ܘܬܝܛܒ̈ܐܦܣܩ܂,,,ܕܢܫܓܕܘܢ,,,ܕܚܓܕ,ܕܢܢܓܕ
,,,,ܐܢܘܢ,,,ܐܢܘܢ,ܐܢܘܢ
,,,,ܩܕܡܝ܆ܘܥܠ,,,ܩܕܡܝܘܥܠܪ̈ܟܫܝ̈ܘܩܢܝܢܝ̈ܘܟܘܕܢܝܬܝ̈ܕܡܩܛܠ,ܩܕܡܝ܂ܥܠ
,,,,ܪ̈ܟܫܝ,,,,ܪ̈ܟܫܝ
,,,,ܘܩܫܝܫ̈ܝܘܟܘܕܢ̈ܝܬܝܕܡܩܛܠ܆,,,,ܘܩܢܝܢ̈ܝܘܟܘܕܢܝ̈ܬܝܕܡܩܛܥ܂
,ܘܟܕ,,,ܘܟܕ,,,ܘܟܕ,ܘܟܕ
,ܚܙܝܬ,,,ܚܙܬܠܥܒܝ̈ܕܬܗܐܡܪܬܠܗ,,,ܚܙܝܬ,ܚܙܝܬ
,ܠܝܕܢܕܢ,,,,,,ܥܒܕܘܗܝ̈ܘܐܡܪܬܠܗܕܠܢܟܣܝ̈ـ܂,ܠܥܒܝܕ̈ܬܗܐܢܪܬܠܗ܂
,ܒܪܝ,,,ܕܠܢܟܣ̈ܝܠܐ,,,ܒܪܝ,ܕܠܢܟܣ̈ܝܠܐ
,ܥܒܝ̈ܕܬܗܐܣܟܝܐܢܝܢ܂ܥܢܝܬܘܐܡܪܬܠܗ܂ܢܕܢܒܪܝܠܢܟ̈ܣܝ,,,ܬܬܩܪܒ܆,,,,
,ܠܐ,,,,,,ܠܐ,ܠܐ
,ܬܬܩܪܒ܂,,,,,,ܬܬܩܪܒ,ܬܬܩܪܒ܂
,ܒܪܝ,,,ܐܡܝܪ,,,ܐܡܝܪ,ܐܡܝܪ
,ܒܡܬܠ̈ܐ,,,ܒܡ̈ܬܠܐ,,,ܒܡܬܠܐ,ܒܡܬܠ̈ܐ
,ܐܡܝܪ܂,,,,,,,ܐܝܕܐ
,ܕܐܝܕܐ,,,ܕܐܝܕܐ,,,ܕܐܝܕܐ,
,ܕܠܐ,,,ܕܠܐ,,,ܕܠܐ,ܕܠܐ
,ܩܢܬ܂ܥܝܢܗ,,,ܩܢܬ,,,ܩܢܝܬ,ܩܢܬ
,,,,ܥܝܢܐ,,,ܥܝܢܐ,ܥܝܢܐ
,ܠܐܚܣܬ܂,,,ܚܣܬ,,,ܠܐܚܣܬ܂,ܠܐܚܣܬ܂
,ܘܚܘܝܬ,,,ܘܚܘܝܬ,,,ܘܚܘܝܬ,ܘܚܘܝܬ
,ܠܣܢܚܪܝܒܡܪܝܟܠܗܝܢܡ̈ܠܐܗܠܝܢ܂ܘܗܟܢܐܡܪܗܘܡܪܝ܂,,,ܐܢܝܢ,,,ܐܢܝ̈ܢ,ܐܢܝܢ
,,,,ܠܡܪܝ,,,ܠܡܪܝ,ܠܡܪܝ
,,,,ܡܠܟܐ܆,,,ܡܠܟܐܟܕܢܦܩܕ,ܡܠܟܐ܂
,,,,ܘܕܢܦܩܕ,,,,ܘܕܢܦܩܕ
,,,,ܡܠܟܐܕܠܐ,,,ܡܠܟܐܕܠܐ,ܡܠܟܐܕܠܐ
,,,,ܢܬܩܪܒ,,,ܬܬܩܪܒܐ̄ܢܫܠܩܢܝܢܘܗܝ̈ܕܐܚܝܩܪ܂܂ܣܦܪܐ,ܢܬܩܪܒ
,,,,ܐَܫܠܩܢܝܢܘ̈ܗܝ,,,,ܐܢܫܠܩܢܝܢ̈ܘܗܝܕܐܚܝܩܪܣܦܪܐ܂
,,,,,,,ܗܟܢܐ,ܗܟܢܐ
,ܕܟܡܐ,,,,,,ܕܟܡܐ,ܕܟܡܐ
,ܕܐܚܝܩܪ,,,ܕܐܚܝܩܪ,,,ܕܐܚܝܩܪ,ܕܐܚܝܩܪ
,ܚܝ܉,,,ܣܦܪܐ܆,,,,
,,,,ܗܟܢܐ,,,,
,,,,ܐܚܝܩܪ,,,,
