Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
omisit,فلماسمعنادان,فلماسمعنادان,فلماسمعنادان,فلماسمعنادان,omisit,فلماسمعنادان,فلماسمعنادان,(فلما)سمعنادان,omisit
,هذا,هذا,هدا,هذا,,هذا,هذا,هذا,
,الكلاممنخالهحيقار,الكلاممنخالهحيقار,الكلاممنخالهحيقار,الكلاممنخالهحيقار,,الكلاممنخالهحيقار,الكلاممنخالهحيقار,الكلاممنخالهحيقار,
,_,,,علمانهمابقييعفىعنهفانقهروتمرمروورم,,_,,,
,انتفخ,انتفخ,انتفخ,,,انتفخ,انتفخ,انتفخ,
,لوقته_,لوقته,لوقته,لوقته,,لوقته,لوقته,وبقي,
,وبقى,وبقى,وبقا,وانفتحبطنهكالضرف,,وبقى,وبقا,,
,مثل,مثل,مثل,,,مثل,مثل,مثل,
,الزق,الزق,الضرف,,,الزق,الزق,الزق,
,المنفوخ,المنفوخ,المنفوخ,,,المنفوخ_,المنفوخ,المنفوخ,
,وورمت,وورمت,وورم,وورمت,,وورمت,وورمت,وورمت,
,اعضاه,اعظاه,اعضاه,اعضاه,,اعضاه,اعضاه,اعضاه,
,وساقيهورجليه,وساقيهورجليه,وساقيهورجليه,وجانبهمناخصارهانمزق,,وساقيهورجليه,وساقيهورجليه,وساقيهورجليه,
,وجنابه,واجنابه,واجنابه,,,واجنابه_,واجنابه,واجنابه,
,وتمزق,واتمزق,وتمزق,,,وتمزّقوانشّق,وتمزق,وتمزق,
,وانشقت,وانشق,وانشق,وانشق,,,وانشق,وانشق,
,بطنه,بطنه,بطنه,,,بطنه,بطنه,بطنه,
,وتبددت,وتبددت,وتبددت,وتبددت,,وتبدّدت,وتبددت,وتبددت,
,مصارينه,مصارينه,امعاه,امعاه,,مصارينه,مصارينه,مصارينه,
,,,,ومات,,,,,
,وهلك,وهلك,وهلك,وهلك,,وهلك,وهلك,وهلك,
,ومات,ومات,ومات,,,ومات,ومات,ومات,
,,,,وراحالى,,,,,
,,,وبئس,,,_,,,
,وصارتاخرتهللهلاك,وصارتاخرتهللهلاك,,,,وصارتاخرتهللهلاك_,وصارتاخرتهللهلاك,وصارتاخرتهللهلاك,
,ومضىالى,ومضىالى,,,,ومضىالى,ومضيالي,ومضيالي,
,جهنم,جهنم,,جهنم,,جهنم,جهنم,جهنم,
,,وبيس,,وبيس,,وبيس,وبيس,وبيس,
,,المسير,المصير,المصير,,المصير_,المسير,المسير,
,,كماقيل,هاكذا,حسبماقالالكتاب,,كماقيل,كماقيل,كماقيل,
,,فىالكتب,,,,فيالكتب_,فيالكتب,فيالكتب,
,ان,ان,,ان,,ان,ان,ان,
,الذي,الذى,من,من,,الذى,الذي,الذي,
,يحفر,يحفر,يحفر,حفر,,يحفر,يحفر,يحفر,
,لاخيه,لاخيه,لاخيه,لاخيهحفرهيقع,,لاخيه,لاخيه,لاخيه,
,حفره,حفره,حفره,,,,حفره,حفره,
,,,,,,حفيره,,,
,يقع,يقع,يقع,,,يقع,يقع,يقع,
,فيها,فيها,فيها,,,فيها,فيها,فيها,
,والذي,والذى,والدي,,,والذى,والذي,والذي,
,ينصب,ينصب,ينصب,,,ينصب,ينصب,ينصب,
,فخاخيعلق,فخًا,المصيده,,,فخًا,فخًا,فخًا,
,,لغيره,لغيره,,,لغيره,لغيره,لغيره,
,,يقع,يسقطفيهاوالدييلاصقالغيرلابدمايلزق,,,يقع,يقع,يقع,
,فيه,فيه_,فيه,,,فيه_,فيه_,فيه_,
,هذا,وهذا,هاكذايكونمعلومكم,,,وهذا,وهذا,وهذا,
,ما,ما,,,,ما,ما,ما,
,جرىووجدنا,وجدناه,,,,وجدناه,وجدناه,وجدناه,
,من,من,من,,,من,من,من,
,خبرحيقار,خبرحيقار,افعالاولادالزناهاكذايفعلوا,,,خبرحيقار,خبرحيقار,خبرحيقار,
,والحمد,الحكيم,,,,الحكيم,الحكيم,الحكيم_,
,,,,,,,,والمجد,
,,تمت,,,,,تمت,,
,لله,,,,,,,لله,
,,بالخير,,,,,بالخير,,
,,لله,,,,,لله,,
,دايمًا,,,,,,,دايمًا,
,,المجد,,,,,المجد,,
,امين,,,,,,,امين,
,,,تمت,,,,,تمت,
,,امين,,,,,امين,,
,,,بالخير,,,,,,
