Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
,,,كتابقصة,هذهقصت,,,,,
,,,حيقار,,,,,حيقار,
,,,وزيرسينحاريبالملك,,,,,الحكيم,
,بسم,بسم,بسم,,,بسم,بسم,بسم,بسم
,الله,الله,الله,,,الابوالابنوروحالقدسالاهًواحدلهُالمجد,الله,الله,الله
,الخالق,الرحمن,الخالق,,,,الرحمان,الرحمان,الخالق
,,الرحيم,,,,,الرحيم,الرحيم,
,الحي,الحىالابدىالسرمدى,الحي,,,,الحي,الحي,الحي
,الناطق,,الناطق,,,,الابديالسرمدي,الابديالسرمدي,الناطق
,وبهِ,وبه,وبه,,,,وبهِ,وبهِ,وبهِ
,,نستعين,نستعين,,,,نستعين,نستعين,نستعين
,,نبتدى,,,,,,,امين
نبتدي,نبتدي,,نبتدي,,نبتدي,نبتدي,نبتدي,نبتدي,نبتدي
بعون,بعون,بعون,بعون,,بعون,بعون,بعون,بعون,بتأيدالقدرهالالهيهنكتبقصة
الباري,الله,الله,الله,,الباري,الله,الله,الله,
تعالى,تعالى,تعالى,تعالى,,تعالى,,تعالي,تعالي,
جلّ,وحسنتوفيقه,وحسنتوفيقه,وحسنتوفيقه,,جل,وحسنتوفيقه,وحسنتوفيقه,وحسنتوفيقه,
اسمهوتعالىذكرهالىالابد,,وارشاده,,,اسمهوتعالىذكرهالىالابد_,وارشاده,وارشاده,وارشاده,
اعلمايهاالقاريحكمةالذيفيهذاالكتابليستوجدفيكلمكانايضًانكتب,ونكتب,ونكتب,ونكتب,,ونكتب,ونكتب,ونكتب,ونكتب,
خبر,خبر,خبر,قصة,,خبر,خبر,خبر,خبر,
,حيقار,حيقار,حيقار,حيقار,,حقار,حيقار,حيقار,حيقار
الحكيم,الحكيم,الحكيم,الحكيم,الحكيم,الحكيم,الحكيم,الحكيم,الحكيم,الحكيم
الماهر,,,,,الماهر,,,,
الفيلسوف,,الفيلسوف,,,الفيلسوف,الفيلسوف,الفيلسوف,الفيلسوف,
الشاطر,,ووزير,,,الشاطر,,,,
حيقار,,,,,,,,,
وزير,وزير,,وزير,وزير,وزير,وزير,وزير,وزير,وزير
,سنحاريب,سنحاريب,,سنخاريب,,سنحاريب,سنحاريب,سنحاريب,
,,,,الملك,,,,,الملك
,,,سينحاريب,,,,,,سينحاريب
,الملك,الملك,الملك,,,الملك,الملك,الملك,وماجري
,ونادان,ونادان,وماجرا,,,ونادان,ونادان,ونادان,
,,,لهمعنادانابناختهقال,,,,,,لهمعنادانابناختهقال
,,,الراوي,,,,,,الراوى
,,,كانملكًامنالملوك,,,,,,كانملكًامنالملوك
,,,فيايام,,,,,,اسمه
,,,سينحاريب,,,,,,سينحاريب
,,,الملك,,,,,,
,ابن,ابن,,,,ابن,ابن,ابن,ابن
,,,ابن,,,,,,
,اختحيقارالحكيم,اختهذكروا,,,,اخته_ذكروا,اختهذكروا,اختهذكروا,
,,,,,,,,,سريحادوم
,,,سريحادوم,,,,,,
,,انه,,,,انكانفى,انه,انهُ,
,كان,فى,,كان,,,كان,كان,
,وزيرًا,,,,,,,,
,في,,,في,,,في,في,
