Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
,ايام,زمان,,ايام,,ايام,زمان,زمان,
,الملك,الملك,,سنخاريبالملك,,الملك,الملك,الملك,
سنحاريب,سنحاريب,سنحاريب,,,سنحاريب,سنحاريب,سنحاريب,سنحاريب,
ابن,ابن,,,ابن,ابن,,,,
سرحادوم,سرحادوم,,,سرخادوم,سرحادوم,,,,
,_,,,,,,,,
ملك,ملك,ملك,ملك,ملك,ملك,ملك,ملك,ملك,ملك
اثور,اتور,اثور,اتور,اتور,اتور,اتور,اتور,اتور,اتور
ونينوى,ونينوى,ونينوى,ونينوي,ونينوي,ونينوى,ونينوى,ونينوي,ونينوي,ونينوى
والموصل,,رجلًا,,والموصل,والموصل,رجلًا,,رجلًا,وكانفيايامه
,,,,رجلاويقال,_,,,,
وما,,,,,وما,,,,
جرى,,,,,جرا,,,,
منهومنابناخته,,,,,منهومنابناخته,,,,
ناثان,,,,,نادان_,,,,
كانفيايامالملكابنسرحادومملكارض,,,,,كانفيايامالملكابنسرحادومملكارض,,,,
اثور,,,,,اتور,,,,
ونينوىوبلادها,,,,,ونينوىوبلادها_,,,,
رجل,رجل,,رجل,,رجل,,رجل,,رجل
حكيميقال,حكيميقال,حكيميقال,حكيميقال,,حكيميقال,حكيميقال,حكيميقال,حكيميقال,حكيميقال
له,له,له,له,لهُ,له,له,لهُ,لهُ,له
حيقار,حيقار,حيقار,حيقار,حيقار,حيقار,حقار,حيقار,حيقار,حيقار
,,_,,,_,_,_,_,
وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان
,وزي,,,هذاالرجل,,,,,
وزيرالملك,وزيرالملك,وزيرالملك,وزيرالملك,وزيرالملك,وزيرالملك,وزيرالملك,وزيرالملك,وزيرالملك,وزيرالملك
سنحاريب,سنحاريب,سنحاريب,سينحاريب,,سنحاريب,سنحاريب,سنحاريب,سنحاريب,سينحاريب
وكاتبه,لهمالًا,وكاتبه,,وكاتبه,وكاتبه,وكانكاتبه_,وكاتبه_,وكاتبه_,
,,,,ومدبردولته,,,,,
,جزيل_ورزق,,,,,,,,
,كتير,,,,,,,,
وكان,وكان,وكان,وكان,,وكان,وكان,وكان,وكان,وكان
ذو,ماهر,ذو,ذو,,ذو,ذو,ذو,ذو,ذو
مالًا,,مالٍجزيل,مالٍجزيل,,مال,مالٍجزيل,مالٍجزيل,مالٍجزيل,مال
جزيل,,,,,جزيل,,,,
,,,,,,,,,جزيل
ورزق,,,,,ورزق,,,,
,,ورزقًا,ورزقًا,,,ورزقًا,ورزقًا,ورزقًا,ورزقًا
كثير,,كثير_,كثير,,كثير_,كثير_,كثير_,كثير_,كتير
وكان,,وكان,وكان,,وكان,وكان,وكان,وكان,وكان
ماهر,,ماهرًاحكيمًا,ماهرًاحكيمًا,,ماهر,ماهرًاحكيمًا,ماهرًاحكيمًا,ماهرًاحكيمًا,ماهر
حكيم,حكيم,,,حكيم,حكيم,,,,حكيم
فيلسوف,فيلسوف,فيلسوف,فيلسوف,فيلسوف,فيلسوف,فيلسوف,فيلسوف,فيلسوف,فيلسوف
ذو,ومعرفة_,ذو,ذو,ماهرعارفعالمبجميعالاموروكانغنياجدًاوعندهمنالسرايوالعبيدوالاماوالخيلوالبغالوالجمالوالدوابوالجنودوغيرذلكشيًالايوصف,ذو,ذو,ذو,ذو,ذو
معرفة,,معرفه,معرفة,,معرفه,معرفه,معرفه,معرفه,معرفه
وراي,وراي,وراى,وراي,,وراي,وراي,وراي,وراي,وراى
وتدبير,وتدبير,وتدبير,وتدبير,,وتدبير,وتدبير,وتدبير,وتدبير,وتدبير
وحزم,,_,,,_,_,_,_,
وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان
,,,هذاحيقار,له,,,,,هذاحيقار
قد,قد,قد,قد,,قد,قد,قد,قد,قد
تزوّج,تزوج,تزوج,تزوج,,تزوج,تزوّج,تزوج,تزوج,تزوج
,منالنسا,,منالنسا,,,ستّين,,,منالنسا
ستين,ستين,ستين,ستين,ستين,ستين,,ستين,ستين,ستين
امراة,امراه,امراه_,امراه,امراه,امراه,امراه_,امراه,امراه_,امرآة
وبنا,وبنا,وبنا,وبنا,متزوجبهنوكان,وبنى,وبنا,وبنا,وبنا,وبنا
لكل,لكل,لكل,لكل,لكل,لكل,لكل,لكل,لكل,لكل
واحدمنهامقصورة,واحده,واحده,واحده,واحده,واحده,امراه,واحده,واحده,واحده
,منهم,منهم,منهم,منهن,منهن,منهم,منهم,منهم,منهنَّ
,قصر,مقصوره,مقصوره,قصر,مقصوره_,مقصوره_,مقصوره_,مقصوره_,مقصوره
,,وع,يوم_,بمفردها,,,,,
ومع,ومع,,ومع,,ومع,ومع,ومع,ومع,ومع
هذا,هذا,ذلك,هذا,,هذا,هذا,ذلك,ذلك,كلهذا
كله,كله,كله,كله,,كله,كله,كله,كله,
لم,ولم,لك,لم,ولم,لم,لم,لم,لم,لم
يكن,يكن,يكن,يكن,يرزق,يكن,يكن,يكن,يكن,يكن
له,له,لهُ,له,,له,له,لهُ,لهُ,له
ولدٍ,ولدًا,ولدًا,ولدانيرثهُ_,,ولد,ولدًا,ولدًا,ولدًا,ولد
يرثه,من,يربيه_,,من,يرثه_,يربيه_,يربيه_,يربيه_,من
,جميعهذهالنسوان,,,جميعهمولادنليرثعلمهوحكمتهومالهفلماكانبعضالايام,,,,,كلهولاالنسا
,حتى,,,,,,,,حتى
,انهيرته_,,,,,,,,يفرحفيهويرثموضعهوملكه
وكان,وكان,وكان,وكان,,وكان,وكان,وكان,وكان,وكان
كثير,كتير,كثير,كثير,,كثير,كثير,كثير,كثير,كثير
الهم,الهمّ,الهم,الهم,,الهم,الهمّ,الهم,الهم,الهم
لاجلذلك,لاجلذلك,لاجلذلك_,لاجلذلك,,لاجلذلك,لاجلذلك_,لاجلذلك,لاجلذلك_,لاجلذلك
,,وانهُ,_,,,,,وانهُ,
وانه,وانه,,وانه,,وانه,وانه,وانه,,وانه
,,كان,,,,كان,كان,كان,
في,,فى,,,في,في,في,في,
ذاتيوم,ذاتيوم,ذاتيوم,ذاتيوم,,ذاتيوم,ذاتيوم,ذاتيوم,ذاتيوم,
جمع,جمع,جمع,جمع,جمع,جمع,جمع,جمع,جمع,جمع
المنجمين,المنجمين,المنجمين,المنجمين,السحراوالمنجمين,المنجمين,المحبّين,المنجمين,المنجمين,المنجمين
,,,,,,,,,والعزامين
,,,,,,,,,والسحرا
,والعرافين,والعرافين,والعرافين,والعرافين,,والعرافين,والعرافين,والعرافين,والعرافين
,,والسحرا_,,,,والسحرا,والسحرا,والسحرا,
والسحره,والسحره,,والسحره,,والسحره,,,,
والعارفين,واحكا,واحكا,,,والعارفين_,واحكا,واحكا,واحكا,واحكا
,لهم,لهم,,,,لهم,لهم,لهم,لهم
واشكا,,واشكا,واشكا,واشكا,واشكا,واشكا,واشكا,واشكا,قصته
لهم,,,لهم,,لهم,,,,
,,,,لهمحالةعقريتهفقالوله,,,,,
حاله,حاله,حاله,حاله,,حاله,حاله,حاله,حاله,
وامر,وامر,بامر,وامر,,وامر,بامر,بامر,بامر,وامر
عقوريتهفقالوا,عقوريتهفقالوا,عقوريتهفقالوا,عقوريته_فقالوا,,عقوريتهفقالوا,عقوريته_فقالوا,عقوريته_فقالوا,عقوريته_فقالوا,عقوريتهفقالوا
له,له,له,له,,له,له,لهُ,لهُ,له
ادخل,امضي,ادخل,ادخل,ادخل,ادخل,ادخل,ادخل,ادخل,امضي
اذبح,ادبح,ادبح,ادبح,,ادبح,اذبح,ادبح,ادبح,اذبح
للالهه,للالهة,للالهه,للالهه,الي,للالهه,للالها,للالهه,للالهة,الي
واستجير,واستفيتواستغيت,واستخبرهم,واستجير,عندالاصناموقدملهمالقرابينوالبخورواتضرعاليهملعلان,واستجير,واستخبرهم,واستخبرهم,واستخبرهم,الالههذبايحواستغيث
بهم,بهم,,بهم,,بهم,,,,بهم
لعلهم,لعلهم,لعلهم,لعلهم,,لعلهم,لعلهم,لعلهم,لعلهم,لعلهم
يرزقوك,يرزقوك,يرزقوك,يرزقوك,يرزقوك,يرزقوك,يرزقوك,يرزقوك,يرزقوك,يرزقوك
ولدًا,ولدًا,ولدًا_,ولدًا,ولدنيفرحبهقلبك,ولدًا_,ولدًا_,ولدًا,ولدًا,ولدًا
,,,_,,,,_,_,
ففعلكما,ففعلكما,ففعلكما,ففعلكما,ففعلكما,ففعلكما,ففعلكما,ففعلكما,ففعلكما,ففعلكما
قالوا,قالوا,قالوا,قد,,قالوا,قالوا,قالوا,قالوا,
,,,قالو,قالو,,,,,
له,له,له_,له,لهُ,له_,له,لهُ,لهُ,
وقدّم,وقدم,وقدم,وقدم,وقدم,وقدم,وقدّم,وقدم,وقدم,
القرابين,القرابين,القرابين,القرابين,القرابين,القرابين,القرابين,القرابين,القرابين,
للاصنام,للاصنام,للاصنام,للاصنام,اليالاصنام,للاصنام,للاصنام,للاصنام,للاصنام,
واستغاث,واستغات,واستغات,واستغات,,واستغاث,واستغاث,واستغات,واستغات,
بهم,بهم,بهم,بهم,,بهم_,بهم,بهم,بهم,
وتضرع,وتضرع,وتضرع,وتضرع,وتضرع,وتضرّع,وتضرع,وتضرع,وتضرع,
اليهم,,اليهم,اليهم,اليهم,اليهم,اليهم,اليهم,اليهم,
بالطلبة,بالطلبه,بالطلبه,بالبكا,,بالطلبه,بالطلبه,بالطلبه,بالطلبه,
والدعا,والدعا,والدعا,والدعا,,والدعا_,والدعا,والدعا,والدعا,
فلم,فلم,فلم,فلم,فلم,فلم,فلم,فلم,فلم,
يجيبوه,يجيبوه,يجيبوه,يجيبوه,يعينوهبشيفبقيحيرانمفتكرًا,يجيبوه,يجيبوه,يجيبوه,يجيبوه,
بكلمه,بكلمةٍ,بكلمة,بكلمه,,بكلمه_,بكلمةٍ,بكلمة,بكلمة,
,واحده,واحده,,,,واحده_,واحده_,واحده_,
فخرج,فخرج,فخرج,فخرج,,فخرج,فخرج,فخرج,فخرج,
حيقار,,وهو,,,يحزانندمان,وهو,وهو,وهو,
حزين,حزين,حزين,حزين,حزين,,حزين,حزين,حزين,
كائب,كايب,خايب,كايب,القلبثمانهرجع,خايب,خايب,خايب,خايب,
وانصرف,وانصرف,وانصرف,وانصرف,,وانصرف,وانصرف,وانصرف,وانصرف,
متالّم,,وهو,,,,وهو,وهو,وهو,
,متالم,متالم,متالم,,متالم,متالّم,متالم,متالم,
القلب,القلب,القلب_,القلب,,القلب_,القلب_,القلب_,القلب_,
ورجع,ورجع,فرجع,ورجع,,ورجع,فرجع,فرجع,فرجع,
بالتضرع,بالتضرع,بالتضرع,بالتضرع,,بالتضرع,بالتضرع,بالتضرع,بالتضرع,
الى,الى,الى,الي,الي,الى,الى,الي,الي,
الله,الله,الله,الله,الله,الله,الله,الله,الله,
تعالى,تعالى,تعالى,تعالي,عزوجلبالبكاوالخشوعوالتنهدقايلا,تعالى_,تعالى,تعالي,تعالي,
وامن,وامن,وامن,وامان,,وامن,وامن,وامن,وامن,
واستعانبه,,,واستعانبه,,واستعانبه,واستغاث,بهِ,,
,واستغات,واستغات,,,,,واستغات,واستغات,
,به,به,,,,بهِ,بهِ,بهِ,
بحرقة,بحرقة,بحرقت,بحرقة,,بحرقة,بحرقة,بحرقة,بحرقة,
قلب,القلب,قلب,قلب,,قلب,قلب,قلب,قلب,
قايلًا,قايلًا,وقال,قايلًا,,قايلًا_,وقال,وقال,وقال,
,يااللهتعالى,بصوت,,,,بصوطٍ,بصوت,بصوت,
,,عالى,,,,عالي,عالي,عالي,
يا,يا,يا,يا,يا,يا,يا,يا,يا,
اله,خالقالسماوات,الاه,الاه,إلهالسموات,الاه,الاه,الاه,الاه,
السما,,السما,السما,,السما,السما,السما,السما,
والارض,والارض_,والأرض,والارض,والارض,والارض_,والارض_يا,والارض,والارض,
يا,يا,يا,يا,يا,يا,,يا,يا,
خالقالخلايق,خالقالخلايق,خالقالخلايق,خالقالخلايق,خالقالخلايق,خالقالخلايق,خالقالخلايق,خالقالخلايق,خالقالخلايق,
كلّها,كلها_,كلها,كلها,كلها,كلها_,كلها,كلها,كلها,
انا,,,,,انا,,,,
اطلباليكان,اطلباليكان,اطلباليكان,اطلباليكان,اطلباليكان,اطلباليكان,اطلباليكان,اطلباليكان,اطلباليكان,
توهبني,تعطينى,توهبنى,توهبني,توهبني,توهبني,توهبني,توهبني,توهبني,
ولدًا,ولدًا,ولدًا,ولدًا,ولدًا,ولدًا,ولدًا,ولدًا,ولدًا,
حتى,حتى,حتى,حتي,حتي,حتى,حتى,حتي,حتي,
اتعزّا,اتعزَّا,اتعزا,اتعزا,اتعزا,اتعزا,اتعزا,اتعزا,اتعزا,
به,بهِ,به,به,بهِ,به,بهِ_,بهِ,بهِ,
ويرثني,,,,,ويرثني,,,,
ويحضر,ويحضر,ويحضر,ويحضر,ويحضر,ويحضر,ويحضر,ويحضر,ويحضر,
موتي,موتي_,موتىويرتنى,موتي,دفني,بموتي,موتي,موتي,موتي,
,,,,,,ويرثني,,,
ويغمّض,ويغمّض,,ويرتني,ويرتني,,,ويرتني,ويرتني,
,,ويغمض,ويغمض,,ويغمض,ويغّمض,ويغمض,ويغمض,
عيناي,عيناى_,عيناى,عيناي,,عيناي,عيناي,عيناي,عيناي,
ويدفنني,ويدفننى,ويدفنى,ويدفنني_,,ويدفنني_,ويدفني_,ويدفني_,ويدفني_,
فعند,عند,فعند,عند,عند,فعند,فعند,فعند,فعند,
ذلكاتاه,ذلكاتاه,ذلكاتاه,ذلكاتاه,ذلكاتاه,ذلكاتاه,ذلكاتاه,ذلكاتاه,ذلكاتاه,
صوت,صوت,صوت,صوت,صوت,صوت,صوط,صوت,صوت,
منالسما,,,,فيالحلم,منالسما,,,,
قايلًا,يقول,يقول,يقول,يقول,قايلا_,يقول,يقول,يقول,
,له,له,له,له,,له_,لهُ,لهُ_,
بحيث,حيث,حيث,حيث,بحيث,بحيث,حيث,حيث,حيث,
,انك,انك,انك,انك,,انك,انك,انك,
اتّكلت,اتكلت,اتكلت,اتكلت,اتكلت,اتكلت,اتّكلت,اتكلت,اتكلت,
اوّلًا,اولًا,اولًا,اولًا,,اولًا,اولًا,اولًا,اولًا,
على,على,على,علي,علي,على,على,علي,علي,
الاصنام,الاصنام,الاصنام,الاصنام,الاصنام,الاصنام,الاصنام,الاصنام,الاصنام,
المنحوته,المنحوته_,المنحوته,المنحوته,النجسهوقربت,المنحوته_,المنحوته,المنحوته,المنحوته,
وقدّمت,وقدَّمت,وقدمت,وقدمت,,وقدمت,وقدّمت,وقدمت,وقدمت,
لهمالقرابين,لهمالقرابين,لهمالقرابين,لهمالقرابين,لهمالقرابين,لهمالقرابين_,لهمالقرابين_,لهمالقرابين,لهمالقرابين,
لذلك,لاجلذلك,كذلك,كذلك,لاجلذلك,لذلك,كذلك,كذلك,كذلك,
تبقا,تبقا,تبقا,تبقا,تبقا,تبقا,تبقى,تبقا,تبقا,
بلا,بلا,بلا,بلا,بلا,بلا,بلا,بلا,بلا,
ولد,ولد_,ولد,ولد,,ولد_,ولد,ولد,ولد,
ولا,وطولعمرك,ولا,ولا,,,ولا,ولا,ولا,
بنينولابنات,,بنينولابنات_,بنينولابنات,بنينولابنات,,بنينولابنات_,بنينولابنات_,بنينولابنات_,
بل,بل,بل,بل,بل,بل,بل,لكن,بل,
انناثان,,قم,,هوا,ان,قوم,قم,قم,
,خد,خد,خذ,,,خذ,خد,خد,
,,,نادان,,,,,,
,نادان,,,نادان,نادان,نادان,,,
ابناختك,ابناختك_,ابناختك,ابناختك,ابناختك,ابناختك,ابناختك,ابناختك,ابناختك,
,,نادان,,,,,نادان,نادان,
خذه,,,خذه,خده,خذه,,,,
واجعلهلك,واجعلهلك,واجعلهلك,واجعلهلك,واجعلهلك,واجعلهلك,واجعلهلك,واجعلهلك,واجعلهلك,
ولدًا,ولدًا_,ولدًا,ولدًا,عوضابنًا,ولدًا_,ولدًا_,ولدًا,ولدًا,
وعلّمه,وعلمه,وعلمه,وعلمه,وعلمه,وعلمه,وعلمه,وعلمه,وعلمه,
علمك,علمك,علمك,علمك,علمك,علمك,علمك,علمك,علمك,
وادبك,وادبك_,وادبك,وادبك,,وادبك,وادبك,وادبك,وادبك,
وحكمتك,,وحكمتك,وحكمتك,وحكمتك,وحكمتك,وحكمتك,وحكمتك,وحكمتك,
,,,,ومعرفتك,,,,,
وهو,وهو,وهو,وهو,وهو,وهو,وهو,وهو,وهو,
يرثك,يدفنكعند,يرتك,يرتك,يرتك,يرثك_,يرثك,يرتك,يرتك,
,,بعد,بعد,,,بعد,بعد,بعد,
,موتك_,موتك,موتك,,,موتك_,موتك_,موتك_فعند,
عند,عند,فعند,عند,عند,عند,فعند,فعند,,
ذلك,ذلك,ذلك,ذلك,ذلك,ذلك,ذلك,ذلك,ذلك,
اخذ,اخد,اخد,اخذ,اخد,اخذ,اخذ,اخد,اخد,
ناثان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
ابناخته,ابناخته_,ابناخته,ابناخته,اليه,ابناخته,ابناخته,ابناخته,ابناخته,
وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,وكان,
صغير,صغير,صغير,صغير,ولدًاصغيرًاوسلمه,صغير,صغير,صغير,صغير,
يرضع,يرضع,بيرضع,يرضع,,يرضع_,بيرضع_,يرضع,بيرضع_,
فسلّمه,فسلمه,فسلمه,فسلمه,,فسلمه,فسلمه,فسلمه,فسلمه,
الى,الى,الى,الي,الي,الى,الى,الي,الي,
ثمانية,تمانية,تمانية,تمانية,المرضعاتوالمربياتليربوه,تمانية,ثمان,تمانية,ثمانية,
نسا,,نسا,نسا,,نسا,نسا,نسا,نسا,
مرضعاتليرضعوه,مرضعاتليرضعوه,مرضعاتليرضعوه,مرضعاتليرضعوه,,مرضعاتليرضعوه,مرضعاتليرضعوه,مرضعاتليرضعوه,مرضعاتليرضعوه,
ويربّوهفربّوه,ويربوه_,ويربوه_,ويربوه,,ويربوه_,ويربّوه_فربّوه,ويربوه_,ويربوه_,
,فربوه,فربوه,فربوه,فربوه,فربوه,,فربوه,فربوه,
بالاكل,بالاكل,بالاكل,بالاكل,بالحشمهوالدلالوالاكولاتالمفتخرهالطيبهواللبوس,بالاكل,بالاكل,بالاكل,بالاكل,
الطيّب,الطيّب,الطيب,الطيب,,الطيب,الطيّب,الطيب,الطيب,
والتربية,والتربية,والتربية,والتربيه,,,والتربية,والتربية,والتربية,
اللطيفةوالبسه,اللطيفه,اللطيفه,اللطيفه,,,اللطيفه_,اللطيفه_,اللطيفه_,
,والبسوه,والبسوه,والبسوه,,والبسوه,والبسوه,والبسوه,والبسوه,
الحريروالارجوان,الحريروالارجوان,الحريروالارجوان,الحريروالارجوان,الحريروالارجوان,الحريروالارجوان,الحريروالارجوان,الحريروالارجوان,الحريروالارجوان,
والقرمزوكانجلوسه,والقرمزوكانجلوسه,والقرمزوكانجلوسه,والقرمزوكانجلوسه,والمخاملوغيرذلك,والقرمزوكانجلوسه,والقرمز_وكانجلوسه,والقرمز_وكانجلوسه,والقرمز_وكانجلوسه,
على,على,على,علي,,على,على,على,علي,
الطنافسالحرير,الطنافسالحرير_,الطنافسالحرير_,الطنافسالحرير_,,الطنافسالحرير_,الطنافسالحرير_,الطنافسالحرير_,الطنافسالحرير_,
فلماكبر,فلماكبر,فلماكبر,فلماكبر,فلماكبر,فلماكبر,فلماكبر,فلماكبر,فلماكبر,
ناثان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
ومشي,ومشى,ومشى,ومشي,ومشا,ومشى,ومشى,ومشي,ومشي,
ونمي,ونما,ونمى,ونمي,ونمي,ونمى,ونمى,ونمي,ونمي,
مثل,مثل,مثل,مثل,مثل,مثل,مثل,مثل,مثل,
الارزالعالي,الارزالعالي,الأرزالعالى_,الارزالعالي,ارزلبنان,الارزالعالي,الارزالعالي,الارزالعالي_,الارزالعالي_,
فعلّمه,علمه,,علمه,علمه,,_,,,
,,فعلمه,,,فعلمه,فعلمه,فعلمه,فعلمه,
الكتابه,الادب,الادب,الادب,الادب,الكتابه,الادب,الادب,الادب,
,والكتابه,والكتابه,والكتابه,,,والكتابه,والكتابه,والكتابه,
والقرااهوالتاديب,,,,,والقرااهوالتاديب,,,,
,,,والقرااهوالتاديب,,,,,,
,والعلم,والقراء,,والعلم,,والقرآهوالادب,والقراء,والقراء,
,,,,والقرا,,,,,
والفلسفه,والفلسفه,والفلسفه,والفلسفه,والفلسفه,والفلسفه_,والفلسفه,والفلسفه,والفلسفه,
فلماكان,فلماكان,وجميعالعلوم_,فلماكان,جميعًاثمانهفيبعضالايامدعاالملكلحيقاروقال,فلماكان,وجميعالعلوم_,وجميعالعلوم_,وجميعالعلوم_,
,,وفى,,,,وفى,وفي,وفي,
بعض,بعض,بعض,بعض,,بعض,بعض,بعض,بعض,
الايّام,الايام,الأيام,الايام,,الايام,الايام,الايام,الايام,
نضر,نظر,نظر,نضر,,نظر,نظر,نظر,نظر,
سنحاريبالملك,سنحاريبالملك,سنحاريبالملك,سنحاريبالملك,,سنحاريبالملك,سنحاريبالملك,سنحاريبالملك,سنحاريبالملك,
فراىحيقاروزيرهوكاتبهوهو,الى,الى,الي,,فراىحيقاروزيرهوكاتبهوهو,الى,الي,الي,
,حيقار,حيقار,حيقار,,,حقار_,حيقار,حيقار,
,فراه,فرااه,فرااه,,,فرااه,فرااه,فرااه,
قد,قد,قد,قد,,قد,قد,قد,قد,
بقي,بقى,بقى,بقي,,بقى,بقى,بقي,بقي,
رجل,,,,,رجل,شيخً,,,
شيخ,شيخ,شيخ,شيخ,,شيخ,,شيخ,شيخ,
كبيرفقال,كبيرفقال,كبير_فقال,كبيرفقال,,كبيرفقال,كبير_فقال,كبير_فقال,كبير_فقال,
له,له,له,له,له,له,له,لهُ,لهُ,
ايّها,ايضا,,,,,,,,
,,,,يا,,,,,
,يا,,,,,,,,
,,ايها,ايها,ايها,ايها,ايها,ايها,ايها,
الصاحب,صاحب,الصاحب,الصاحب,الصاحب,الصاحب,الصاحب,الصاحب,الصاحب,
المجيد,,المجيد,المجيد,العزيزوالمحب,,المجيد,الجيد,الجيد,
المحب,,,,,المحب,المكرّم,المكرّم,,
المكرم,المكرم,المكرم,المكرم,المكرم,المكرم,,,المكرم,
الماهر,الماهر,الماهر,الماهر,وزيري,الماهر,الماهر,الماهر,الماهر,
,الامين,,,,,المدبّر,,,
,الحكيم_,,,,,,,,
المدبر,المدبر,المدبر,المدبر,,المدبر,,المدبر,المدبر,
الحكيم,,الحكيم,الحكيم,,الحكيم,الحكيم_,الحكيم,الحكيم,
,كاتبىووزيرى,,,,,,,,
كاتبي,,وكاتمىووزيري,كاتبي,وكاتبي,كاتبي,وكاتمي,وكاتمي,وكاتبي,
ووزيري,,,ووزيري,,ووزيري,ووزيري,ووزيري,ووزيري,
وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,
سري,سرى,سرى,سري,سري,سري,سرّيومدبّر,سري,سري,
ومدبر,ومدبرى,ومدبر,ومدبر,ومدبر,ومدبر,,ومدبر,ومدبر,
دولتي,,دولتى,دولتي,اموريودولتي,دولتي,دولتي,دولتي,دولتي,
,_,_,,,_,_,_,_,
ها,ها,هوذاانت,ها,ها,ها,هوذاانت,هوذاانت,هوذاانت,
قد,قد,قد,قد,قد,قد,قد,قد,قد,
كبرتوطعنت,كبرتوطعنت,كبرتوطعنت,كبرتوطعنت,طعنت,كبرتوطعنت,كبرتوطعنت,كبرتوطعنت,كبرتوطعنت,
في,في,في,في,في,في,فى,في,في,
السن,السن_,السن,السن,السن,السن,السن_,السن,السن,
,وقدقربوفاكمنهذاالعالم_,,,وكبرت,,,,,
وشخت,,,,وشخت,وشخت_,,,,
وقرب,,وقرب,وقرب,وقرب,وقرب,وقرب,وقرب,وقرب,
وقت,,,,وفاتكفقلليالان,وقت,,,,
موتكووفاتك,,موتكووفاتك,موتكووفاتك,,موتكووفاتك_,موتكووفاتك_,موتكووفاتك_,موتكووفاتك_,
فقول,فقول,فقول,فقول,,فقول,فقول,فقول,فقول,
لي,لى,لى,لي,,لي,لي,لي,لي,
من,من,من,من,من,من,من,من,من,
