Brit_Libr_Or_9321,Brit_Mus_Add_7209,Cod_Arab_236,DFM_00614,Mingana_Syr_258,Sachau_290_Sachau_339,Vat_sir_159
وهناقطعاحيقارعباراتحكمتهالتيكانيعلمهاالىنذانابناخته_حينئذٍانااحيقارمنبعدتعليميهذاالعلملنذانابناختي,تمت,ثمتامثالحيقارالحكيموكملتفلمَّا,تمَّت,اِنْتمَّتْ,,
,هذه,ثم,هذه,هذه,,ثم
,الامثال,,الأمثالوالوصاياأناحقاركنتأظن,الامثال,انا,انا
,واناحيقر,,,والوصاياتبعوناللهوانا,,حيقاركنتُ
,,حيقار,,حيقار,حيقار,
كنت,كنت,الحكيمكلامه,,كنت,كنت,
اظن,اظن,,,اظن,اظن,اظن
بانّماعلمتهمنالعلمسيحفظهكله,ان,,,ان,,ان
,كلشي,,كلشي,كل,كل,كلشى
في,,,,,,
,,,علّمت,شي,شيءعلمتُ,
قلبه,,,,,,
ويقفببابالملكويكونليمنهراحةوفرحوحياةطيبة_,علمت,,,علمت,,علمت
,لنادن,لنادان,لنادن,لنادان,لنادان,نادان
,ابناختي,_طنانهقد,ابناختي,ابناختي,ابناختي,
,حفظه,حفظه,حفظه,حفظه,وحفظه,حفظه
,ومسكه,وتعلمه,ومسكه,ومسكه,ومسكه,واستفاد
,,في,,في,,
,بقلبه,,بقلبه,,فى,
,,قلبه,,قلبه,قلبه_,
,وكثير,وانه,وكثير,وكثيرً,وكثير,
,استفاد,,استفاد,استفاد,استفاد,
,به,,منهوهو,به,بهِ_,به
,وهو,,,وهو,وهو,وهو
,,,,ان,,
,يريد,يريد,,يريد,يريد,يريد
,,,,,ان,ان
,يكون,يكون,يكون,يكون,يكون,يكون
,عوضي,مكانه,عوضي,موضعي,عوضي,عوضي
,قدام,قدام,قدَّام,قدام,قدام,قدام
,سنحاريبالملك,سنحاريبالملك_,سنحاريبالملك,سنحاريبالملك,سنحاريبالملك,سنحاريبالملك
,ويخدمه,,,ويخدمه,ويخدمهُ_,
,وما,وما,وما,وما,وما,وما
,عرفت,علمبان,أعرفإنكلشي,عرفت,عرفتُانكلَّشيءعلمتهُ,عرفت
,ان,,,ان,,ماقد
,,,,,وما,
,كلشي,كلشي,,كلشي,,
,علمته,علمهاياه_,علمته,علمتوه,,
,ما,ما,ما,ما,,
,حفظه,حفظه,حفظه,حفظ,حفظه,حفظ
,وما,,,,,
,,,,منه,,
,افاده,,,,,
,شي,,,شي,,شي
,ولا,ولا,ولا,ولا,ولا,ولا
,,استفاد,,استفاد,استفاد,
,,منه,,ولا,منه,
,,شي_,,,,
,,,,,شيئًا_,
,,,,,ولا,
لكن,,لكن,,,,
فعلبالعكسفلميسمعاقوالي,سمع,,سمع,سمع,سمع,سمع
,كلامي,,كلامي,كلامى,كلامي_,امري
,ولاحفظ,,ولاحفظ,ولاحفظ,ولاحفظ,
,اوامري,,أوآمري,اوامري,اوامري,
بل,بل,,بل,بل,بل,بل
أخذهاكهبآءمنثوربالرياح_فعادراجعًاقائلًابانّابياحيقارقدشاخواختل,بدا,بدا,بدا,,بدا,يتهزا
,يستهزا,يستهزي,وقالالهزوا,يستهزي,يستهزي,
,بي,به_,بي,,بي_,بي
,ويقول,ويقول,إنحقار,ويقول,ويقول,ويقول
,ان,ان,,ان,ان,
,حيقر,خاليحيقار,,حيقار,حيقار,حيقار
,قد,قد,,,,قدضاععن
,كبروشاخ,كبروشاخ,كبروشاخ,كبروشاخ,كبروشاخ,
,وضاع,وخرف,وخرف,وضاع,وضاع,
,,وظاع,ومابقى,,,
عقله_,عقله,عقله,,عقله,عقله,عقله
فواصلنذآنابنيبان,وسهى,,,وسهى,وسهي,وسهى_
,وزاغولم,,,وزاغولم,وزاغ_ولم,
,يعرف,,يعرف,يعرف,يعرف,
,شي,,شي,شيًا_,شيء_,
,وبدا,وبدا,وبدا,وبدا,وبدا_,وبدا
,نادن,نادان,نادان,نادان,نادان,يفرق
يبدد,يبدد,يبدد,يبدد,يبدَّدماليورزقي,يبدد,
بدونشفقةاموالى,مال,المال_,المال,,المال,المال
,ورزق,ويظرب,,,ورزق,
,حيقر,,,,حيقار_,
,ويضرب,,ويضرب,ويضرب,ويضرب,ويضرب
,العبيد,العبيد,العبيد,العبيد,العبيد_,العبيد
,والجوار,والجوار_,والجوار,والجوار,والجواري_,
,ويبيعالخيل,ويبيعالخيل,والخيل,ويبيعالخيل,ويبيعالخيل,ويبيعالخيل
,والابغال,والبغال_,والبغال,والابغال,والابغال,
,ويتصرّف,,يبيعهم,,,
,,ويتصرف,ويتصرف,ويتصرف,ويتصرف,ويتصرف
,في,في,في,في,في,فى
,الاثاث,جميعما,جميعما,الاثاث,جميعما,جميعما
,والخرثي,يتملكخاله_حيقارالحكيم,تملكت,والوراثه,,ملكحيقار
وجميع,وجميع,فلما,فلما,وجميع,,فلما
مقتنياتي_فكانيجلداماميخداميالنشيطينويقتلدوابيويبيعبغالي_ولماشاهدتانّاعمالههكذاهي,ما,رايحيقار,,ما,,ريتما
,يمتلك,,,كنتامتلك_,يمتلك,
,حيقر,,,,حيقار_فلما,
,فلمارايت,,رأيت,فلمارايت,رأيت,
,انا,,أناحقارإن,انا,انا,
,حيقر,,,حيقار,حيقار,
,ان,ان,,ان,ان,
,,,,,نادان,
,ليس,ليس,ليس,ليس,ليس,
,له,له,له,له,له,له
,شفقه,شفقه,شفقه,شفقه,شفقة,شفقه
,علي,علي,إلى,على,على,على
,رزقي,رزقه,رزقي,رزقي,رزقي_,اهلبيتى
,وعلي,وعلي,ولاعلىأهل,وعلى,وعل,
,اهل,اهل,,اهل,اهل,
,بيتي,بيته_فمظيواخبرسنحاريبالملك_بكلماصنعنادان,بيتي,بيتي,بيتي,
قلت,قلت,,وأنا,فقلت,فقلت,قلت
لهلا,لهلا,,,لهلا,لهلا,لهلا
تدنومناموالييابني_لانّهقدقيلبالامثال_اليدالتيلمتكسبفعينهاماتشفق_وعرضتهذهالاموربينيديسيديالملكفأمر,تقرب,,,تقرب,تقرب,تقرب
,لجميعما,,,لما,لما,الىَّ
,اقتني,,,اقتنيه,اقتني_,
,ولا,,,ولا,لا,
,تعيقلاهلبيتيوعبيدي,,,تعيقلاهلبيتيوعبيدي,تعيقلاهلبيتيوعبيدي,
,كلما,,,كل,كلما,كلما
,انا,,,انا,انا,انا
,حي,,حي,حي,حيّوعرفَّتللملكسنحاريببكلما,حي
,وعرفت,,وعرَّفتالملككلَّما,ولايتسلَّط,,وعرفت
,الملك,,جرىمننادان,,جرىمننادان,
,سنحاريب,,,,فيبيتي_,سنحاريب
,كلماجري,,,,,بماجرا
,مننادن,,,,,مننادن
,وماسمعتمنه,_,,,,_
,فقال,فقال,فقال,,فقال,فقال
,له,,له,,له,
,الملك,الملك,الملك,,الملك,الملك
ان,ان,لنادان_ليسلك,إن,,فما,ان
لايدنواحدمناموالاحيقارالكاتبما,كلما,,كلما,,,كلما
,,سلطان,,,,
دام,,عليرزقخالكحيقاركلماهوحيَّ_ولاتتصرففيكلشيًاله_عندذلكمظاحيقاروكانلهابناختيسمانبوزردان_اخونادان_فاخدهاليهوعلمه_وجعلهمكان,حقار,,دام,حيقارباقي
فيقيد,هو,,,,حيقارفي,هو
الحيوة,حيقر,,,,الحيوة,مالاحد
,,,,,,سلطان
وبعدذلكاخذاحيقارلنابوزرداناخينذآنحتىيربيهفيدارهولماشاهدنذآنحينئذٍبانياخذتنابوزردانواقمتهبينيديفيالبيتسآءهالامرجدًافاعتراهالحسدوقصدنذآن,حي,,حي,,,
,ويعيش,,طيبأحد,,,
,احد,,,احد,احد,
,لا,,لا,على,لا,على
,يتسلط,,يتسلط,ماليورزقيفاخذت,يتصرف,ماله
في,عليمقتناه,,علىشيئه,,في,
نيتهكلامالسوءولاجل,ورزقه,,ورزقه,,بيتهوماله_وليسلاحدعليهمحكم_وكان,
,واخذت,,عند,,,واخذت
ذلك,انا,,ذلك,انا,,انا
